"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom","Phylum","sub_kingdom"
"61","x1128","X3300044942.Pre_drought_6hr",0.000407385945679675,"PreDrought","Site3","6hr","PreDrought_6hr","Eukaryota","Ascomycota","fungi"
"62","x3004","X3300048094.Pre_Drought_48hr",0.000406847440892385,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota","Basidiomycota","fungi"
"63","x1128","X3300048095.Drought_6hr",0.000404353647062944,"Drought","Site1","6hr","Drought_6hr","Eukaryota","Ascomycota","fungi"
"64","x3004","X3300048100.Pre_drought_6hr",0.000401647083161854,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota","Basidiomycota","fungi"
"65","x3004","X3300044943.Pre_Drought_48hr",0.00038387064342726,"PreDrought","Site3","48hr","PreDrought_48hr","Eukaryota","Basidiomycota","fungi"
"66","x3004","X3300048099.Pre_drought_0hr",0.000381718254063688,"PreDrought","Site1","0hr","PreDrought_0hr","Eukaryota","Basidiomycota","fungi"
"67","x3004","X3300045462.Pre_drought_6hr",0.000364190262451661,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota","Basidiomycota","fungi"
"68","x3004","X3300048096.Drought_48_hr",0.000362690359191249,"Drought","Site1","48hr","Drought_48hr","Eukaryota","Basidiomycota","fungi"
"69","x3004","X3300044942.Pre_drought_6hr",0.000361754321534718,"PreDrought","Site3","6hr","PreDrought_6hr","Eukaryota","Basidiomycota","fungi"
"70","x1128","X3300045458.Pre_Drought_48hr",0.000325876859809813,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota","Ascomycota","fungi"
"71","x1198","X3300045469.Drought_0hr",0.000325708051769418,"Drought","Site2","0hr","Drought_0hr","Eukaryota","Chytridiomycota","fungi"
"72","x3004","X3300045472.Drought_48_hr",0.000304384010196445,"Drought","Site3","48hr","Drought_48hr","Eukaryota","Basidiomycota","fungi"
"73","x1198","X3300048093.Pre_drought_6hr",0.000283197409763418,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota","Chytridiomycota","fungi"
"74","x3004","X3300048093.Pre_drought_6hr",0.000266933565811645,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota","Basidiomycota","fungi"
"75","x3004","X3300045458.Pre_Drought_48hr",0.000253542636922967,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota","Basidiomycota","fungi"
"76","x1128","X3300048051.Drought_0hr",0.000253170383668209,"Drought","Site1","0hr","Drought_0hr","Eukaryota","Ascomycota","fungi"
"77","x1198","X3300048099.Pre_drought_0hr",0.00024356285379935,"PreDrought","Site1","0hr","PreDrought_0hr","Eukaryota","Chytridiomycota","fungi"
"78","x1198","X3300049511.Drought_6hr",0.000229808604273455,"Drought","Site2","6hr","Drought_6hr","Eukaryota","Chytridiomycota","fungi"
"79","x3004","X3300049628.Drought_0hr",0.000206509770325887,"Drought","Site1","0hr","Drought_0hr","Eukaryota","Basidiomycota","fungi"
"80","x1198","X3300048094.Pre_Drought_48hr",0.000203837183292628,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota","Chytridiomycota","fungi"
"81","x1198","X3300045462.Pre_drought_6hr",0.000186484044865804,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota","Chytridiomycota","fungi"
"82","x1198","X3300048092.Pre_drought_0hr",0.000184179471078571,"PreDrought","Site1","0hr","PreDrought_0hr","Eukaryota","Chytridiomycota","fungi"
"83","x1198","X3300045463.Pre_Drought_48hr",0.000180258559302087,"PreDrought","Site2","48hr","PreDrought_48hr","Eukaryota","Chytridiomycota","fungi"
"84","x1198","X3300045460.Drought_48_hr",0.000178551254598506,"Drought","Site1","48hr","Drought_48hr","Eukaryota","Chytridiomycota","fungi"
"85","x1198","X3300044943.Pre_Drought_48hr",0.000174090994751592,"PreDrought","Site3","48hr","PreDrought_48hr","Eukaryota","Chytridiomycota","fungi"
"86","x1198","X3300048095.Drought_6hr",0.000167472455397723,"Drought","Site1","6hr","Drought_6hr","Eukaryota","Chytridiomycota","fungi"
"87","x3004","X3300048095.Drought_6hr",0.000152826575267884,"Drought","Site1","6hr","Drought_6hr","Eukaryota","Basidiomycota","fungi"
"88","x1198","X3300045467.Pre_drought_6hr",0.000137307807880847,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota","Chytridiomycota","fungi"
"89","x1198","X3300048053.Pre_Drought_48hr",0.000117698600040541,"PreDrought","Site3","48hr","PreDrought_48hr","Eukaryota","Chytridiomycota","fungi"
"90","x1198","X3300045461.Pre_drought_0hr",0.000115770462137814,"PreDrought","Site2","0hr","PreDrought_0hr","Eukaryota","Chytridiomycota","fungi"
"91","x1198","X3300048054.Drought_0hr",0.000108613011838818,"Drought","Site3","0hr","Drought_0hr","Eukaryota","Chytridiomycota","fungi"
"92","x1198","X3300049628.Drought_0hr",0.000108044072786457,"Drought","Site1","0hr","Drought_0hr","Eukaryota","Chytridiomycota","fungi"
"93","x3004","X3300048051.Drought_0hr",0.00010644663858777,"Drought","Site1","0hr","Drought_0hr","Eukaryota","Basidiomycota","fungi"
"94","x154","X3300048053.Pre_Drought_48hr",0.000104620977813814,"PreDrought","Site3","48hr","PreDrought_48hr","Eukaryota","Blastocladiomycota","fungi"
"95","x1198","X3300044942.Pre_drought_6hr",9.6431167168981e-05,"PreDrought","Site3","6hr","PreDrought_6hr","Eukaryota","Chytridiomycota","fungi"
"96","x1198","X3300045473.Drought_48_hr",8.88496080095584e-05,"Drought","Site2","48hr","Drought_48hr","Eukaryota","Chytridiomycota","fungi"
"97","x154","X3300044944.Pre_drought_0hr",8.43854693441509e-05,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota","Blastocladiomycota","fungi"
"98","x1198","X3300045471.Drought_6hr",8.21951647265824e-05,"Drought","Site3","6hr","Drought_6hr","Eukaryota","Chytridiomycota","fungi"
"99","x1198","X3300045464.Drought_0hr",7.96989604849546e-05,"Drought","Site2","0hr","Drought_0hr","Eukaryota","Chytridiomycota","fungi"
"100","x1198","X3300049512.Drought_0hr",7.80073745508234e-05,"Drought","Site3","0hr","Drought_0hr","Eukaryota","Chytridiomycota","fungi"
"101","x1198","X3300049557.Drought_48_hr",6.87903908422792e-05,"Drought","Site3","48hr","Drought_48hr","Eukaryota","Chytridiomycota","fungi"
"102","x1198","X3300045459.Drought_6hr",6.70248491466662e-05,"Drought","Site1","6hr","Drought_6hr","Eukaryota","Chytridiomycota","fungi"
"103","x1198","X3300045472.Drought_48_hr",5.82773793626803e-05,"Drought","Site3","48hr","Drought_48hr","Eukaryota","Chytridiomycota","fungi"
"104","x154","X3300045469.Drought_0hr",5.81189088659185e-05,"Drought","Site2","0hr","Drought_0hr","Eukaryota","Blastocladiomycota","fungi"
"105","x154","X3300045466.Pre_drought_0hr",5.68797913324227e-05,"PreDrought","Site2","0hr","PreDrought_0hr","Eukaryota","Blastocladiomycota","fungi"
"106","x154","X3300045463.Pre_Drought_48hr",5.23891956098351e-05,"PreDrought","Site2","48hr","PreDrought_48hr","Eukaryota","Blastocladiomycota","fungi"
"107","x154","X3300045461.Pre_drought_0hr",4.19570802378656e-05,"PreDrought","Site2","0hr","PreDrought_0hr","Eukaryota","Blastocladiomycota","fungi"
"108","x154","X3300049512.Drought_0hr",4.05892030183146e-05,"Drought","Site3","0hr","Drought_0hr","Eukaryota","Blastocladiomycota","fungi"
"109","x1198","X3300044945.Drought_6hr",3.88952138629025e-05,"Drought","Site3","6hr","Drought_6hr","Eukaryota","Chytridiomycota","fungi"
"110","x154","X3300045462.Pre_drought_6hr",3.36781944618359e-05,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota","Blastocladiomycota","fungi"
"111","x154","X3300048099.Pre_drought_0hr",3.27479467293244e-05,"PreDrought","Site1","0hr","PreDrought_0hr","Eukaryota","Blastocladiomycota","fungi"
"112","x1198","X3300045468.Pre_Drought_48hr",3.23208070967258e-05,"PreDrought","Site2","48hr","PreDrought_48hr","Eukaryota","Chytridiomycota","fungi"
"113","x1198","X3300045465.Drought_48_hr",3.18270065790969e-05,"Drought","Site2","48hr","Drought_48hr","Eukaryota","Chytridiomycota","fungi"
"114","x154","X3300049557.Drought_48_hr",3.06332209219525e-05,"Drought","Site3","48hr","Drought_48hr","Eukaryota","Blastocladiomycota","fungi"
"115","x154","X3300049511.Drought_6hr",2.74503386421584e-05,"Drought","Site2","6hr","Drought_6hr","Eukaryota","Blastocladiomycota","fungi"
"116","x154","X3300045465.Drought_48_hr",2.47543384504087e-05,"Drought","Site2","48hr","Drought_48hr","Eukaryota","Blastocladiomycota","fungi"
"117","x154","X3300045470.Drought_6hr",2.32950298141613e-05,"Drought","Site2","6hr","Drought_6hr","Eukaryota","Blastocladiomycota","fungi"
"118","x154","X3300045467.Pre_drought_6hr",2.31146309749165e-05,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota","Blastocladiomycota","fungi"
"119","x154","X3300044943.Pre_Drought_48hr",2.132614685707e-05,"PreDrought","Site3","48hr","PreDrought_48hr","Eukaryota","Blastocladiomycota","fungi"
"120","x154","X3300048094.Pre_Drought_48hr",1.94327537824615e-05,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota","Blastocladiomycota","fungi"
"121","x154","X3300048100.Pre_drought_6hr",1.83400494594454e-05,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota","Blastocladiomycota","fungi"
"122","x154","X3300049628.Drought_0hr",1.72410754446473e-05,"Drought","Site1","0hr","Drought_0hr","Eukaryota","Blastocladiomycota","fungi"
"123","x154","X3300045473.Drought_48_hr",1.59773417911925e-05,"Drought","Site2","48hr","Drought_48hr","Eukaryota","Blastocladiomycota","fungi"
"124","x154","X3300044942.Pre_drought_6hr",1.440419942889e-05,"PreDrought","Site3","6hr","PreDrought_6hr","Eukaryota","Blastocladiomycota","fungi"
"125","x154","X3300045458.Pre_Drought_48hr",1.36714166968266e-05,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota","Blastocladiomycota","fungi"
"126","x154","X3300048092.Pre_drought_0hr",1.01279953546261e-05,"PreDrought","Site1","0hr","PreDrought_0hr","Eukaryota","Blastocladiomycota","fungi"
"127","x154","X3300048093.Pre_drought_6hr",8.77731260889353e-06,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota","Blastocladiomycota","fungi"
"128","x154","X3300044945.Drought_6hr",8.10316955477135e-06,"Drought","Site3","6hr","Drought_6hr","Eukaryota","Blastocladiomycota","fungi"
"129","x154","X3300045472.Drought_48_hr",7.12744927457241e-06,"Drought","Site3","48hr","Drought_48hr","Eukaryota","Blastocladiomycota","fungi"
"130","x154","X3300048095.Drought_6hr",5.09421917559614e-06,"Drought","Site1","6hr","Drought_6hr","Eukaryota","Blastocladiomycota","fungi"
"131","x154","X3300048096.Drought_48_hr",4.86832696901006e-06,"Drought","Site1","48hr","Drought_48hr","Eukaryota","Blastocladiomycota","fungi"
"132","x154","X3300045471.Drought_6hr",4.83500968979896e-06,"Drought","Site3","6hr","Drought_6hr","Eukaryota","Blastocladiomycota","fungi"
"133","x1198","X3300048051.Drought_0hr",0,"Drought","Site1","0hr","Drought_0hr","Eukaryota","Chytridiomycota","fungi"
"134","x154","X3300045468.Pre_Drought_48hr",0,"PreDrought","Site2","48hr","PreDrought_48hr","Eukaryota","Blastocladiomycota","fungi"
"135","x154","X3300048052.Pre_drought_0hr",0,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota","Blastocladiomycota","fungi"
"136","x154","X3300045464.Drought_0hr",0,"Drought","Site2","0hr","Drought_0hr","Eukaryota","Blastocladiomycota","fungi"
"137","x154","X3300048054.Drought_0hr",0,"Drought","Site3","0hr","Drought_0hr","Eukaryota","Blastocladiomycota","fungi"
"138","x154","X3300045459.Drought_6hr",0,"Drought","Site1","6hr","Drought_6hr","Eukaryota","Blastocladiomycota","fungi"
"139","x154","X3300048051.Drought_0hr",0,"Drought","Site1","0hr","Drought_0hr","Eukaryota","Blastocladiomycota","fungi"
"140","x154","X3300045460.Drought_48_hr",0,"Drought","Site1","48hr","Drought_48hr","Eukaryota","Blastocladiomycota","fungi"
