"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom","Phylum"
"56","x1088","X3300048054.Drought_0hr",0.0639333197293861,"Drought","Site3","0hr","Drought_0hr","Bacteria","Bacteroidetes"
"1717","x343","X3300048100.Pre_drought_6hr",0.0634323317557971,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Firmicutes"
"382","x1627","X3300049628.Drought_0hr",0.0630271001406893,"Drought","Site1","0hr","Drought_0hr","Bacteria","Acidobacteria"
"44","x1088","X3300044944.Pre_drought_0hr",0.0628863798550113,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Bacteroidetes"
"42","x1088","X3300049511.Drought_6hr",0.0622428433861507,"Drought","Site2","6hr","Drought_6hr","Bacteria","Bacteroidetes"
"41","x1088","X3300045459.Drought_6hr",0.0613121234032297,"Drought","Site1","6hr","Drought_6hr","Bacteria","Bacteroidetes"
"1747","x343","X3300045462.Pre_drought_6hr",0.0610238879650582,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Firmicutes"
"1731","x343","X3300049557.Drought_48_hr",0.0601391087520795,"Drought","Site3","48hr","Drought_48hr","Bacteria","Firmicutes"
"665","x2180","X3300045460.Drought_48_hr",0.0579662937448918,"Drought","Site1","48hr","Drought_48hr","Bacteria","Verrucomicrobia"
"370","x1627","X3300048096.Drought_48_hr",0.0576701229859956,"Drought","Site1","48hr","Drought_48hr","Bacteria","Acidobacteria"
"379","x1627","X3300048092.Pre_drought_0hr",0.0554361829522301,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria","Acidobacteria"
"679","x2258","X3300045467.Pre_drought_6hr",0.0532153653997052,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Planctomycetes"
"322","x1570","X3300049557.Drought_48_hr",0.0530677195805204,"Drought","Site3","48hr","Drought_48hr","Bacteria","Chloroflexi"
"58","x1088","X3300045470.Drought_6hr",0.0530581514582811,"Drought","Site2","6hr","Drought_6hr","Bacteria","Bacteroidetes"
"52","x1088","X3300045469.Drought_0hr",0.0521332752783703,"Drought","Site2","0hr","Drought_0hr","Bacteria","Bacteroidetes"
"1741","x343","X3300045473.Drought_48_hr",0.0520665696847905,"Drought","Site2","48hr","Drought_48hr","Bacteria","Firmicutes"
"2182","x555","X3300048052.Pre_drought_0hr",0.0514905834587607,"PreDrought","Site3","0hr","PreDrought_0hr","Archaea","Thaumarchaeota"
"640","x2180","X3300049511.Drought_6hr",0.0506974883049009,"Drought","Site2","6hr","Drought_6hr","Bacteria","Verrucomicrobia"
"673","x2258","X3300045469.Drought_0hr",0.0500473327332146,"Drought","Site2","0hr","Drought_0hr","Bacteria","Planctomycetes"
"671","x2258","X3300048093.Pre_drought_6hr",0.0499139795235901,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Planctomycetes"
"688","x2258","X3300048052.Pre_drought_0hr",0.0492518624388146,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Planctomycetes"
"45","x1088","X3300045462.Pre_drought_6hr",0.0481629092642662,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Bacteroidetes"
"828","x2772","X3300045461.Pre_drought_0hr",0.045790344979091,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Actinobacteria"
"53","x1088","X3300045458.Pre_Drought_48hr",0.0450610196825027,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Bacteroidetes"
"60","x1088","X3300045460.Drought_48_hr",0.0448766598380232,"Drought","Site1","48hr","Drought_48hr","Bacteria","Bacteroidetes"
"684","x2258","X3300045473.Drought_48_hr",0.044638346854668,"Drought","Site2","48hr","Drought_48hr","Bacteria","Planctomycetes"
"838","x2772","X3300045466.Pre_drought_0hr",0.0445252149748563,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Actinobacteria"
"48","x1088","X3300044943.Pre_Drought_48hr",0.0444635259720545,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria","Bacteroidetes"
"1750","x343","X3300045467.Pre_drought_6hr",0.0436636137015216,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Firmicutes"
"700","x2258","X3300048094.Pre_Drought_48hr",0.0433185841080678,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Planctomycetes"
"647","x2180","X3300045461.Pre_drought_0hr",0.0432589030025813,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Verrucomicrobia"
"807","x2772","X3300049511.Drought_6hr",0.0424330342823503,"Drought","Site2","6hr","Drought_6hr","Bacteria","Actinobacteria"
"49","x1088","X3300048053.Pre_Drought_48hr",0.0424176610030327,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria","Bacteroidetes"
"1739","x343","X3300045468.Pre_Drought_48hr",0.0421479874261485,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria","Firmicutes"
"1740","x343","X3300044944.Pre_drought_0hr",0.0417726930001115,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Firmicutes"
"645","x2180","X3300045463.Pre_Drought_48hr",0.0417599546263511,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria","Verrucomicrobia"
"682","x2258","X3300044943.Pre_Drought_48hr",0.041477356067101,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria","Planctomycetes"
"123","x1156","X3300044944.Pre_drought_0hr",0.0403919733932786,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Gemmatimonadetes"
"676","x2258","X3300044944.Pre_drought_0hr",0.0399469480654565,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Planctomycetes"
"1728","x343","X3300045470.Drought_6hr",0.0395231371501216,"Drought","Site2","6hr","Drought_6hr","Bacteria","Firmicutes"
"59","x1088","X3300045465.Drought_48_hr",0.0393561334472116,"Drought","Site2","48hr","Drought_48hr","Bacteria","Bacteroidetes"
"696","x2258","X3300045463.Pre_Drought_48hr",0.0392561284954286,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria","Planctomycetes"
"837","x2772","X3300045462.Pre_drought_6hr",0.0391722704306071,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Actinobacteria"
"822","x2772","X3300048100.Pre_drought_6hr",0.0389874859406218,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Actinobacteria"
"1746","x343","X3300045466.Pre_drought_0hr",0.0386683291082167,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Firmicutes"
"694","x2258","X3300044945.Drought_6hr",0.0379951943610359,"Drought","Site3","6hr","Drought_6hr","Bacteria","Planctomycetes"
"1735","x343","X3300045471.Drought_6hr",0.0379239716432483,"Drought","Site3","6hr","Drought_6hr","Bacteria","Firmicutes"
"37","x1088","X3300045466.Pre_drought_0hr",0.0372402243375922,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Bacteroidetes"
"830","x2772","X3300049628.Drought_0hr",0.0371488778205723,"Drought","Site1","0hr","Drought_0hr","Bacteria","Actinobacteria"
"1744","x343","X3300045460.Drought_48_hr",0.0358609928776894,"Drought","Site1","48hr","Drought_48hr","Bacteria","Firmicutes"
"1723","x343","X3300049511.Drought_6hr",0.0357992841348214,"Drought","Site2","6hr","Drought_6hr","Bacteria","Firmicutes"
"1730","x343","X3300048096.Drought_48_hr",0.0357651177169009,"Drought","Site1","48hr","Drought_48hr","Bacteria","Firmicutes"
"818","x2772","X3300045472.Drought_48_hr",0.0352953446581343,"Drought","Site3","48hr","Drought_48hr","Bacteria","Actinobacteria"
"64","x1088","X3300045473.Drought_48_hr",0.0351575732027167,"Drought","Site2","48hr","Drought_48hr","Bacteria","Bacteroidetes"
"329","x1570","X3300048096.Drought_48_hr",0.0348899693023827,"Drought","Site1","48hr","Drought_48hr","Bacteria","Chloroflexi"
"317","x1570","X3300045464.Drought_0hr",0.0343585492300019,"Drought","Site2","0hr","Drought_0hr","Bacteria","Chloroflexi"
"686","x2258","X3300045471.Drought_6hr",0.0341229075575554,"Drought","Site3","6hr","Drought_6hr","Bacteria","Planctomycetes"
"632","x2180","X3300044942.Pre_drought_6hr",0.0340987019341734,"PreDrought","Site3","6hr","PreDrought_6hr","Bacteria","Verrucomicrobia"
"657","x2180","X3300045473.Drought_48_hr",0.0339974186363728,"Drought","Site2","48hr","Drought_48hr","Bacteria","Verrucomicrobia"
"324","x1570","X3300044944.Pre_drought_0hr",0.0339553447366319,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Chloroflexi"
"668","x2258","X3300048054.Drought_0hr",0.0336619209819957,"Drought","Site3","0hr","Drought_0hr","Bacteria","Planctomycetes"
"812","x2772","X3300044943.Pre_Drought_48hr",0.0335790302928167,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria","Actinobacteria"
"680","x2258","X3300045462.Pre_drought_6hr",0.0334785403885037,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Planctomycetes"
"646","x2180","X3300045466.Pre_drought_0hr",0.0333644657719541,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Verrucomicrobia"
"246","x1558","X3300045464.Drought_0hr",0.0331944712378192,"Drought","Site2","0hr","Drought_0hr","Bacteria","Cyanobacteria"
"449","x1725","X3300048092.Pre_drought_0hr",0.0330856966649451,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria","Deinococcus-Thermus"
"690","x2258","X3300048096.Drought_48_hr",0.0322260930421656,"Drought","Site1","48hr","Drought_48hr","Bacteria","Planctomycetes"
"808","x2772","X3300048094.Pre_Drought_48hr",0.0319239442005895,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Actinobacteria"
"359","x1627","X3300045464.Drought_0hr",0.0317790858737797,"Drought","Site2","0hr","Drought_0hr","Bacteria","Acidobacteria"
"677","x2258","X3300049511.Drought_6hr",0.0317723209902884,"Drought","Site2","6hr","Drought_6hr","Bacteria","Planctomycetes"
"40","x1088","X3300048093.Pre_drought_6hr",0.0311956846220976,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Bacteroidetes"
"70","x1088","X3300048099.Pre_drought_0hr",0.0305372535018616,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria","Bacteroidetes"
"839","x2772","X3300048092.Pre_drought_0hr",0.0303047501215482,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria","Actinobacteria"
"66","x1088","X3300045472.Drought_48_hr",0.0299821393200325,"Drought","Site3","48hr","Drought_48hr","Bacteria","Bacteroidetes"
"639","x2180","X3300045462.Pre_drought_6hr",0.0298763622643965,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Verrucomicrobia"
"248","x1558","X3300045469.Drought_0hr",0.0297804837478719,"Drought","Site2","0hr","Drought_0hr","Bacteria","Cyanobacteria"
"863","x2786","X3300044943.Pre_Drought_48hr",0.0296789087149527,"PreDrought","Site3","48hr","PreDrought_48hr","Archaea","Crenarchaeota"
"1727","x343","X3300049628.Drought_0hr",0.0294326824191114,"Drought","Site1","0hr","Drought_0hr","Bacteria","Firmicutes"
"319","x1570","X3300045459.Drought_6hr",0.0293146943038483,"Drought","Site1","6hr","Drought_6hr","Bacteria","Chloroflexi"
"2175","x555","X3300045471.Drought_6hr",0.0292614721738761,"Drought","Site3","6hr","Drought_6hr","Archaea","Thaumarchaeota"
"1734","x343","X3300045463.Pre_Drought_48hr",0.0287627152939775,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria","Firmicutes"
"2188","x555","X3300045466.Pre_drought_0hr",0.0282170314376285,"PreDrought","Site2","0hr","PreDrought_0hr","Archaea","Thaumarchaeota"
"656","x2180","X3300045458.Pre_Drought_48hr",0.0276382895501341,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Verrucomicrobia"
"1736","x343","X3300045472.Drought_48_hr",0.0273743202364826,"Drought","Site3","48hr","Drought_48hr","Bacteria","Firmicutes"
"675","x2258","X3300049557.Drought_48_hr",0.0270763474814491,"Drought","Site3","48hr","Drought_48hr","Bacteria","Planctomycetes"
"318","x1570","X3300044945.Drought_6hr",0.0269942260606476,"Drought","Site3","6hr","Drought_6hr","Bacteria","Chloroflexi"
"451","x1725","X3300045470.Drought_6hr",0.0269744513902756,"Drought","Site2","6hr","Drought_6hr","Bacteria","Deinococcus-Thermus"
"344","x1570","X3300045460.Drought_48_hr",0.0266330364819395,"Drought","Site1","48hr","Drought_48hr","Bacteria","Chloroflexi"
"39","x1088","X3300045461.Pre_drought_0hr",0.0265940670186808,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Bacteroidetes"
"698","x2258","X3300048095.Drought_6hr",0.0263924768621621,"Drought","Site1","6hr","Drought_6hr","Bacteria","Planctomycetes"
"336","x1570","X3300045469.Drought_0hr",0.0262929052269036,"Drought","Site2","0hr","Drought_0hr","Bacteria","Chloroflexi"
"806","x2772","X3300044942.Pre_drought_6hr",0.0262119567343155,"PreDrought","Site3","6hr","PreDrought_6hr","Bacteria","Actinobacteria"
"678","x2258","X3300045472.Drought_48_hr",0.0261913182880831,"Drought","Site3","48hr","Drought_48hr","Bacteria","Planctomycetes"
"43","x1088","X3300048094.Pre_Drought_48hr",0.0261695562850147,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Bacteroidetes"
