"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"494","x1938","X3300045964_Drought_Site1_6hr",0.0760811858336054,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Actinobacteria"
"775","x2741","X3300045966_PreDrought_Site3_0hr",0.0755907931347826,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Planctomycetes"
"758","x2741","X3300045978_Drought_Site1_48hr",0.0752444849465712,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Planctomycetes"
"500","x1938","X3300045940_Drought_Site1_0hr",0.0736628644524484,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Actinobacteria"
"761","x2741","X3300045977_Drought_Site1_0hr",0.0734522904644391,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Planctomycetes"
"475","x1938","X3300045928_PreDrought_Site1_0hr",0.0724722586856526,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Actinobacteria"
"791","x2741","X3300049734_Drought_Site3_0hr",0.0723012769353552,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Planctomycetes"
"786","x2741","X3300046482_Drought_Site3_6hr",0.0714604655752466,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Planctomycetes"
"484","x1938","X3300045944_PreDrought_Site2_48hr",0.0707026870533304,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Actinobacteria"
"767","x2741","X3300045920_PreDrought_Site1_48hr",0.0687359507296133,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Planctomycetes"
"790","x2741","X3300045967_PreDrought_Site3_6hr",0.0686590201453016,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Planctomycetes"
"483","x1938","X3300049733_Drought_Site2_48hr",0.0659889408564081,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Actinobacteria"
"478","x1938","X3300045952_Drought_Site2_6hr",0.0656843379652967,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Actinobacteria"
"792","x2741","X3300045947_Drought_Site3_6hr",0.0648721995597524,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Planctomycetes"
"490","x1938","X3300045978_Drought_Site1_48hr",0.0631778582767264,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Actinobacteria"
"757","x2741","X3300045975_PreDrought_Site1_6hr",0.0627889062870768,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Planctomycetes"
"785","x2741","X3300045945_PreDrought_Site3_0hr",0.0623838254346481,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Planctomycetes"
