"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"1418","x2741","X3300049734_Drought_Site3_0hr",0.072175977019942,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Planctomycetes"
"1437","x2741","X3300046482_Drought_Site3_6hr",0.0713484332636897,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Planctomycetes"
"786","x1938","X3300045944_PreDrought_Site2_48hr",0.0705791695176423,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Actinobacteria"
"1407","x2741","X3300045920_PreDrought_Site1_48hr",0.0686240861942837,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Planctomycetes"
"1436","x2741","X3300045967_PreDrought_Site3_6hr",0.0685488110425075,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Planctomycetes"
"769","x1938","X3300049733_Drought_Site2_48hr",0.0658885567561999,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Actinobacteria"
"774","x1938","X3300045952_Drought_Site2_6hr",0.0655682980111953,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Actinobacteria"
"1410","x2741","X3300045947_Drought_Site3_6hr",0.0647626907553159,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Planctomycetes"
"758","x1938","X3300045978_Drought_Site1_48hr",0.0630785488004415,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Actinobacteria"
"1439","x2741","X3300045975_PreDrought_Site1_6hr",0.0626808011763518,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Planctomycetes"
"1408","x2741","X3300045945_PreDrought_Site3_0hr",0.0622807355232592,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Planctomycetes"
"773","x1938","X3300045931_Drought_Site2_0hr",0.0620828600311972,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Actinobacteria"
"1423","x2741","X3300045968_PreDrought_Site3_48hr",0.0612983349537376,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Planctomycetes"
"1420","x2741","X3300045953_Drought_Site3_48hr",0.0603764024192342,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Planctomycetes"
"1440","x2741","X3300045965_PreDrought_Site3_48hr",0.0592954481486115,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Planctomycetes"
"1435","x2741","X3300045952_Drought_Site2_6hr",0.0592726792930528,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Planctomycetes"
"1426","x2741","X3300045927_Drought_Site2_6hr",0.0587353915153795,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Planctomycetes"
"1429","x2741","X3300045934_PreDrought_Site3_6hr",0.0585300860568178,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Planctomycetes"
"757","x1938","X3300045955_Drought_Site3_0hr",0.0583917066184022,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Actinobacteria"
"784","x1938","X3300045936_Drought_Site2_0hr",0.0583313196580711,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Actinobacteria"
"1411","x2741","X3300049733_Drought_Site2_48hr",0.0573340146020032,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Planctomycetes"
"772","x1938","X3300045946_Drought_Site3_48hr",0.055453946165651,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Actinobacteria"
