"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom"
"84","x555","X3300045467.Pre_drought_6hr",0.0109608200105085,"PreDrought","Site2","6hr","PreDrought_6hr","Archaea"
"97","x555","X3300048094.Pre_Drought_48hr",0.0101534071199129,"PreDrought","Site1","48hr","PreDrought_48hr","Archaea"
"119","x596","X3300045469.Drought_0hr",0.00995286314328854,"Drought","Site2","0hr","Drought_0hr","Eukaryota"
"113","x596","X3300045461.Pre_drought_0hr",0.00960156701924859,"PreDrought","Site2","0hr","PreDrought_0hr","Eukaryota"
"126","x596","X3300048051.Drought_0hr",0.00922921125917743,"Drought","Site1","0hr","Drought_0hr","Eukaryota"
"71","x555","X3300044942.Pre_drought_6hr",0.00918295202521944,"PreDrought","Site3","6hr","PreDrought_6hr","Archaea"
"101","x555","X3300049628.Drought_0hr",0.00915424479108797,"Drought","Site1","0hr","Drought_0hr","Archaea"
"108","x596","X3300044944.Pre_drought_0hr",0.00864733572454495,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota"
"103","x555","X3300048096.Drought_48_hr",0.0084824512026289,"Drought","Site1","48hr","Drought_48hr","Archaea"
"77","x555","X3300045462.Pre_drought_6hr",0.00828734378826304,"PreDrought","Site2","6hr","PreDrought_6hr","Archaea"
"125","x596","X3300048054.Drought_0hr",0.00823131468292759,"Drought","Site3","0hr","Drought_0hr","Eukaryota"
"100","x555","X3300048095.Drought_6hr",0.00820455837099606,"Drought","Site1","6hr","Drought_6hr","Archaea"
"30","x3323","X3300048052.Pre_drought_0hr",0.00791876165886321,"PreDrought","Site3","0hr","PreDrought_0hr","Viruses"
"106","x596","X3300044942.Pre_drought_6hr",0.00758012748266273,"PreDrought","Site3","6hr","PreDrought_6hr","Eukaryota"
"139","x596","X3300049511.Drought_6hr",0.00691537377331299,"Drought","Site2","6hr","Drought_6hr","Eukaryota"
"133","x596","X3300048053.Pre_Drought_48hr",0.00663689328006382,"PreDrought","Site3","48hr","PreDrought_48hr","Eukaryota"
"89","x555","X3300048092.Pre_drought_0hr",0.00659782630713033,"PreDrought","Site1","0hr","PreDrought_0hr","Archaea"
"81","x555","X3300045463.Pre_Drought_48hr",0.00612084573542016,"PreDrought","Site2","48hr","PreDrought_48hr","Archaea"
"99","x555","X3300048100.Pre_drought_6hr",0.00611897410164936,"PreDrought","Site1","6hr","PreDrought_6hr","Archaea"
"82","x555","X3300045460.Drought_48_hr",0.00599802359993092,"Drought","Site1","48hr","Drought_48hr","Archaea"
"93","x555","X3300048093.Pre_drought_6hr",0.005986901668025,"PreDrought","Site1","6hr","PreDrought_6hr","Archaea"
"32","x3323","X3300048053.Pre_Drought_48hr",0.00585877475757358,"PreDrought","Site3","48hr","PreDrought_48hr","Viruses"
"111","x596","X3300045467.Pre_drought_6hr",0.00585766148243443,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota"
"127","x596","X3300045471.Drought_6hr",0.00578003431098694,"Drought","Site3","6hr","Drought_6hr","Eukaryota"
"110","x596","X3300044945.Drought_6hr",0.0056738393222509,"Drought","Site3","6hr","Drought_6hr","Eukaryota"
"105","x555","X3300048099.Pre_drought_0hr",0.00562804165743499,"PreDrought","Site1","0hr","PreDrought_0hr","Archaea"
"24","x3323","X3300048094.Pre_Drought_48hr",0.00551063281729035,"PreDrought","Site1","48hr","PreDrought_48hr","Viruses"
"135","x596","X3300048099.Pre_drought_0hr",0.00531642447683876,"PreDrought","Site1","0hr","PreDrought_0hr","Eukaryota"
"74","x555","X3300045458.Pre_Drought_48hr",0.00529730111320132,"PreDrought","Site1","48hr","PreDrought_48hr","Archaea"
"129","x596","X3300048092.Pre_drought_0hr",0.00517840651372643,"PreDrought","Site1","0hr","PreDrought_0hr","Eukaryota"
"19","x3323","X3300048096.Drought_48_hr",0.00478799957402139,"Drought","Site1","48hr","Drought_48hr","Viruses"
"120","x596","X3300048093.Pre_drought_6hr",0.00468501968312353,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota"
"29","x3323","X3300048092.Pre_drought_0hr",0.00340900821417934,"PreDrought","Site1","0hr","PreDrought_0hr","Viruses"
"25","x3323","X3300048054.Drought_0hr",0.00328166457198715,"Drought","Site3","0hr","Drought_0hr","Viruses"
"131","x596","X3300045472.Drought_48_hr",0.00286984648732048,"Drought","Site3","48hr","Drought_48hr","Eukaryota"
"128","x596","X3300048095.Drought_6hr",0.00275310707571124,"Drought","Site1","6hr","Drought_6hr","Eukaryota"
"20","x3323","X3300048093.Pre_drought_6hr",0.00255032562538998,"PreDrought","Site1","6hr","PreDrought_6hr","Viruses"
"86","x555","X3300048051.Drought_0hr",0.00240511864484798,"Drought","Site1","0hr","Drought_0hr","Archaea"
"27","x3323","X3300048100.Pre_drought_6hr",0.00171369422149058,"PreDrought","Site1","6hr","PreDrought_6hr","Viruses"
"23","x3323","X3300048099.Pre_drought_0hr",0.00147979784283135,"PreDrought","Site1","0hr","PreDrought_0hr","Viruses"
