"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"129","x3071","X3300045952_Drought_Site2_6hr",0.222470904207699,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Eukaryota","Basidiomycota"
"115","x3071","X3300045928_PreDrought_Site1_0hr",0.216387766878246,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Basidiomycota"
"116","x3071","X3300045929_PreDrought_Site1_48hr",0.207052441229656,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Basidiomycota"
"7","x1217","X3300045933_PreDrought_Site2_48hr",0.11851332398317,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Chytridiomycota"
"26","x1217","X3300045952_Drought_Site2_6hr",0.111459265890779,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Eukaryota","Chytridiomycota"
"30","x1217","X3300045967_PreDrought_Site3_6hr",0.111324376199616,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Eukaryota","Chytridiomycota"
"17","x1217","X3300045936_Drought_Site2_0hr",0.101515151515152,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Chytridiomycota"
"18","x1217","X3300045953_Drought_Site3_48hr",0.0923355461677731,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Chytridiomycota"
"14","x1217","X3300045910_PreDrought_Site1_0hr",0.0915855752718947,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Chytridiomycota"
"9","x1217","X3300045884_Drought_Site1_6hr",0.088955223880597,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Eukaryota","Chytridiomycota"
"1","x1217","X3300045926_Drought_Site2_48hr",0.0888733379986004,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Eukaryota","Chytridiomycota"
"34","x1217","X3300045968_PreDrought_Site3_48hr",0.0885650224215247,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Eukaryota","Chytridiomycota"
"12","x1217","X3300045934_PreDrought_Site3_6hr",0.0884125920964501,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Eukaryota","Chytridiomycota"
"10","x1217","X3300045955_Drought_Site3_0hr",0.0870667793744717,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Eukaryota","Chytridiomycota"
"19","x1217","X3300045944_PreDrought_Site2_48hr",0.0869367319071461,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Chytridiomycota"
"8","x1217","X3300045928_PreDrought_Site1_0hr",0.0865551067512983,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Chytridiomycota"
"36","x1217","X3300049731_Drought_Site1_48hr",0.0849629130141605,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Eukaryota","Chytridiomycota"
