"","p.Weighted","q.Weighted","cor.Weighted","Z.Weighted","p.Standard","q.Standard","cor.Standard","Z.Standard"
"KO:K12941",6.11735773148325e-09,1.64616397288178e-07,-0.810821795608313,-7.83658768731218,2.99041382323395e-07,1.37004003495984e-05,-0.751692743812507,-6.44750483020095
"KO:K12942",0.104575141704593,0.309807854820564,-0.28321427704604,-1.67049764290843,0.0111426849493985,0.0192224784684101,-0.429996003936358,-2.69421994380776
"KO:K12957",0.792040308319029,0.999953272735984,0.0469488444741764,0.26587595310949,0.396850205602304,0.243049495314445,0.150092285509566,0.858778432899197
"KO:K12960",0.727709263303159,0.999953272735984,-0.0619719815158848,-0.351241592140199,0.711571835588373,0.352329157091101,0.0658034267938855,0.373048938628847
"KO:K12972",0.547685533455567,0.928841938710528,-0.106809907440857,-0.607684361770265,0.647113867661044,0.33105767864076,-0.0814228027538756,-0.462131365069778
"KO:K12979",0.659157234049008,0.999104398313326,0.0784620982939637,0.445221227829576,0.148840795190463,0.124992790963343,0.25299646610514,1.47928956198523
"KO:K12989",0.948968261199719,0.999953272735984,-0.0114024967059089,-0.0645064555476521,0.679924705098925,0.341789768989305,0.0734045200927147,0.416361912064175
"KO:K12992",0.564860520877565,0.937931578001652,0.102287404679892,0.581675895154879,0.139231548307826,0.118921354270548,0.258925292941792,1.51641646201593
"KO:K12994",0.900348493337936,0.999953272735984,-0.0223069814707268,-0.126218750148384,0.486762557739486,0.276339653324663,-0.123431181919101,-0.703612637238673
"KO:K12995",0.987443836975642,0.999953272735984,0.00280382781556124,0.0158609076382946,0.797689640670556,0.374550604648164,0.0456461166953545,0.258482852911251
"KO:K13007",0.778552424021313,0.999953272735984,-0.050068979124645,-0.283588604902899,0.446479608842679,0.261764810618775,-0.135011885170529,-0.770800017450167
"KO:K13010",0.911793277349455,0.999953272735984,0.0197344089075931,0.111656419130266,0.675104382780155,0.340092237761413,0.0745732502165284,0.423027912294248
"KO:K13013",0.73278765852697,0.999953272735984,-0.0607719641703694,-0.34441473377359,0.096275714871302,0.091214030628305,-0.289914524956981,-1.71359893052718
"KO:K13015",0.00017927176209942,0.00129122319355995,-0.599469724662056,-4.23678628098605,0.000123607074335785,0.000735983411046018,-0.611086355940997,-4.36708431242335
"KO:K13016",0.399278287391317,0.783979527510024,0.149330534813848,0.854320278600519,0.0375534001116269,0.0460844557718101,0.358133658073021,2.16983430123001
"KO:K13017",0.875489857122856,0.999953272735984,-0.0279107439722391,-0.157948544350501,0.86191125067938,0.389333814502087,-0.0309825136853426,-0.175347743973144
"KO:K13018",0.985970945824065,0.999953272735984,-0.00313275929057951,-0.0177216496675015,0.953154894297172,0.413800686200626,-0.0104659669210907,-0.0592076922420351
"KO:K13020",0.418088749021461,0.806819672538926,-0.143516586101943,-0.820344690477572,0.152302147426367,0.126891171239289,-0.250929174899847,-1.46638613543263
"KO:K13021",0.605570089766151,0.96854991547595,-0.0918097449320359,-0.521557107432948,0.0600886270992729,0.0652008354856295,-0.3257684833219,-1.94915189732294
"KO:K13038",0.00179676129475159,0.00977872193421688,0.515750067737491,3.40538093547061,0.00019617162557628,0.00104370788485077,0.596586001732227,4.20510076876185
"KO:K13039",0.515501620258207,0.906337921279742,-0.115469760869716,-0.657594258236337,0.145942242890411,0.123312093347231,-0.254754678313262,-1.49028083437648
"KO:K13049",0.000940283638385164,0.00557978422472054,-0.541572387777658,-3.64430030352245,0.0925721197182567,0.0889230561954259,-0.293047073790541,-1.73384376941185
"KO:K13051",0.803580321431402,0.999953272735984,0.0442902089977964,0.250789354761786,0.119529129124521,0.106678341643114,0.27209292895327,1.59953908428633
"KO:K13053",0.960296609011566,0.999953272735984,-0.00886902150968397,-0.0501727353369057,0.920016885123741,0.404316719646104,-0.0178883430292605,-0.101207943484496
"KO:K13057",0.00341496137995012,0.0171189849253644,0.487981507789369,3.16254536239232,0.275023655105035,0.190000249576142,0.192647563059365,1.11058260286593
"KO:K13058",0.628120253422666,0.982348650122238,0.0861367086891049,0.489080559153676,0.286772224075028,0.195688318511583,0.188083810442366,1.08329631101444
"KO:K13075",0.405062144098724,0.79313583041059,0.147526605748322,0.843768952627653,0.0942023895128756,0.0900172197159666,0.291656600251544,1.72485002246216
"KO:K13126",0.413551897487778,0.801256801382569,0.14490506637222,0.828450671063781,0.034013471474251,0.0428564091779535,0.364580334391917,2.21481954916563
"KO:K13237",0.181397987817538,0.467676116296048,0.234764245290398,1.36620947839421,0.423494833338724,0.253347030090074,0.14187306540448,0.810756166172464
"KO:K13276",0.0131792069046917,0.0546984379196398,-0.420911312667391,-2.6248806476867,0.0713421044760314,0.0738179646628409,-0.313144691891142,-1.86522454949901
"KO:K13280",0.586748855155282,0.952514375252082,0.0966138679782848,0.549099290087025,0.745729824538693,0.362240824700993,-0.0577254909394015,-0.327090113595783
"KO:K13282",0.902108150814038,0.999953272735984,-0.0219111679322138,-0.12397804788736,0.715412414414893,0.353082497127244,-0.0648889949107626,-0.367842819627683
"KO:K13288",0.0844719720069733,0.260612174782661,0.30024808764971,1.78061521599069,0.00579004888226597,0.0117173415363798,0.463300929358124,2.95737171387285
"KO:K13292",0.937336274415822,0.999953272735984,-0.0140061694685998,-0.0792386318902485,0.802107401668009,0.375531987707051,0.044629011011594,0.252711605027651
"KO:K13378",0.985098592352073,0.999953272735984,-0.00332758120637688,-0.0188237461038693,0.91199450026365,0.401881861830142,-0.0196892143162807,-0.111400610835178
"KO:K13408",0.772872034414888,0.999953272735984,-0.0513873627186928,-0.291075390936191,0.0868820877496104,0.0846404098389919,-0.298052024646297,-1.76631661080378
"KO:K13409",0.949320479085868,0.999953272735984,0.0113236960325352,0.0640606052738029,0.368516332854457,0.231102934281766,0.159188787661661,0.912139223174823
"KO:K13421",0.593110584583556,0.959574332963999,-0.0949826409211048,-0.539743173173438,0.0381838522012767,0.0466498701491108,-0.357037709469726,-2.16222242678832
"KO:K13481",0.0658674583913608,0.212519901137821,-0.31907407072601,-1.90450437401119,0.209364980943786,0.15767291913755,-0.220875436444419,-1.28110074436077
"KO:K13482",1.65335977990733e-05,0.000154329272722075,-0.66693072669858,-5.06325330652145,0.000901487852542626,0.00306454778244484,-0.54318368320461,-3.65967137845946
"KO:K13483",0.0037815979306548,0.0187047046725115,-0.483352287123496,-3.12334068723556,0.0571534865100629,0.0630108883465961,-0.329365188456334,-1.97327442451825
"KO:K13503",0.273575730741337,0.630640069376966,0.193218698207459,1.11400259785141,0.0142642002650064,0.0228631739281372,0.416545483459411,2.59190246132191
"KO:K13525",0.124114385586504,0.352597686325294,0.2688925122403,1.57924919677932,0.074695583371974,0.0760943728552701,0.309686136315861,1.84242509363898
"KO:K13527",0.000591768461717823,0.00374689998228197,0.558851749457966,3.81221087543024,0.0162824942488404,0.025051320051446,0.409117136604566,2.53628711018292
"KO:K13529",0.00284972572707032,0.0146067290904729,0.496041742344114,3.23164818434346,0.0702943848442938,0.0731007645345514,0.314251210237047,1.87253623486884
"KO:K13542",1.57042510107175e-08,3.78992170979586e-07,0.798102781782571,7.49309760330479,4.74357606567999e-05,0.000374338116094594,0.639051324772195,4.69993363953429
"KO:K13570",0.560322470486367,0.935162915055477,0.10347609178187,0.588508316773474,0.327952834778352,0.213456432148491,0.172968510918892,0.993431293437896
"KO:K13571",0.527896611564346,0.916986877687812,0.112104461204239,0.638181420683372,0.879836152530965,0.394007557110046,-0.0269292292448575,-0.152389990255219
"KO:K13572",0.888497871086302,0.999953272735984,-0.0249754633581304,-0.141326640832063,0.184771671500877,0.144567026506394,-0.233012537067076,-1.35542783153492
"KO:K13573",0.708764707547482,0.999953272735984,0.0664728457030282,0.376860727269036,0.37758398886592,0.235002327472807,0.156234479783662,0.894783628859516
"KO:K13574",0.319389578508612,0.692885419874569,-0.176008968897967,-1.01144722839435,0.0345631467726806,0.0432516154181514,-0.363544594805576,-2.20756763581595
"KO:K13581",0.687749352481965,0.999953272735984,-0.0715137588790393,-0.405581355898924,0.29085834378794,0.197497469901702,-0.186524838109065,-1.07399212121811
"KO:K13582",0.855398626786868,0.999953272735984,-0.0324588747903002,-0.18371192676831,0.33483761572359,0.216400389497849,-0.17055941535178,-0.979177252519634
"KO:K13583",0.786753135034937,0.999953272735984,0.0481702316086371,0.272808671886574,0.269926360663019,0.187925063612912,0.194666984732288,1.12268031634917
"KO:K13584",2.78288547761463e-09,8.55847716329895e-08,-0.820767597086745,-8.12755038006804,1.55807946100595e-07,1.07073704447282e-05,-0.76292723216309,-6.67575020697051
"KO:K13587",0.565421462248222,0.937931578001652,-0.102140777781077,-0.580833277558442,0.620775031589558,0.322880982471643,-0.087975120293846,-0.499599544250927
"KO:K13589",0.381315474330373,0.766486569234945,-0.155030855797258,-0.887719817955428,0.26769250874894,0.187159874076002,-0.195559826447768,-1.12803376693292
"KO:K13590",0.974314885908253,0.999953272735984,-0.00573627905757247,-0.0324498284466331,0.39739193975767,0.243169136223603,-0.149922098488921,-0.857782276073214
"KO:K13592",0.811807999050332,0.999953272735984,-0.0424004459928592,-0.240069037969165,0.324031727011377,0.211739874969033,-0.174354544061866,-1.00164042973082
"KO:K13598",0.0406809157365218,0.143177609881037,-0.352835732851661,-2.13313210613147,0.0557962502321492,0.0619285157396998,-0.331077967496367,-1.98479552346444
"KO:K13599",0.218136007933138,0.53600319007033,-0.216786629569834,-1.25620414376737,0.111965952614462,0.101187665878997,-0.2775782091393,-1.63444831630576
"KO:K13614",0.00112027500207157,0.00645032040568697,-0.534787196228919,-3.5801900134361,0.0029317812113514,0.0073264246793972,-0.494789922337727,-3.22084445283749
"KO:K13626",0.757998096555412,0.999953272735984,-0.054852474002789,-0.31076030970859,0.865956249548777,0.390075628154167,0.0300665699546528,0.170159133217098
"KO:K13628",0.00770928783727509,0.0347770551448673,0.449131564686999,2.84361446713131,0.0767620512122766,0.0772924620249961,0.30761465714318,1.82880832951039
"KO:K13634",0.4817044170209,0.87306109258933,-0.124856950780821,-0.711868115957241,0.581886831740609,0.310587889087074,-0.097865814291379,-0.556283017677386
"KO:K13635",0.824663881882672,0.999953272735984,-0.0394566651512958,-0.22337454958325,0.397487863234588,0.243169136223603,-0.149891977796907,-0.85760597855218
"KO:K13640",1.528153159569e-10,7.31060925102454e-09,0.852756004818401,9.23574352897832,8.71873122854083e-06,0.00011786854611306,0.682552387398503,5.28312211302867
"KO:K13641",0.28620019008984,0.647795406891431,0.188303193816207,1.08460630456997,0.00903118957565896,0.016477108278118,0.441040181583493,2.77987205328039
"KO:K13643",0.381759762225405,0.766486569234945,0.154888006707491,0.886881736878483,0.34589175981836,0.220776159330869,0.166754073400848,0.956698687458996
"KO:K13652",0.917056411493138,0.999953272735984,0.0185527004977585,0.104967989337538,0.888713234837589,0.395863166196185,-0.0249269225699663,-0.141051796046241
