KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K14660,0.893906355,0.999875552,-0.023388816,-0.134395281,0.470004953,0.264305717,-0.126213967,-0.730888931
KO:K14682,0.267088836,0.603128927,-0.192824691,-1.128878936,0.03695865,0.043407203,-0.353982733,-2.174254719
KO:K14728,0.265837288,0.601003204,-0.193320448,-1.131893843,0.018307929,0.025923158,-0.396688262,-2.48247961
KO:K14733,0.01783293,0.071020146,-0.398188289,-2.493631674,0.000569197,0.002038068,-0.553084939,-3.813631298
KO:K14742,0.670035539,0.997459744,0.074633816,0.429937726,0.268956541,0.182083428,0.192087689,1.124398575
KO:K14753,0.000174411,0.001217733,0.592932627,4.22990358,0.003744042,0.008144468,0.477248092,3.119799169
KO:K14941,0.004961259,0.023793168,0.464274046,3.011264126,0.010078504,0.016955708,0.429241195,2.730104639
KO:K14952,0.759117483,0.999875552,0.053746041,0.3091944,0.727477696,0.348955073,0.061067102,0.351459736
KO:K14954,0.001702439,0.009278411,0.511119614,3.41608595,0.006476407,0.0122449,0.451517549,2.90696023
KO:K14977,0.456138146,0.851413928,-0.130154913,-0.754097655,0.254384752,0.176000648,-0.197930045,-1.159970224
KO:K14980,0.482282789,0.877035748,0.122775482,0.710668029,0.020121429,0.02795296,0.391244306,2.442203124
KO:K14981,0.613300314,0.979827914,-0.088467904,-0.510209937,0.836211208,0.375201663,-0.036250886,-0.208382448
KO:K14986,0.835665665,0.999875552,0.036373292,0.209087012,0.577151349,0.301900837,0.097561094,0.563132216
KO:K14987,0.585622628,0.962514278,-0.095408297,-0.550590608,0.989282425,0.41447352,-0.002356142,-0.013535046
KO:K14998,0.200989835,0.49638981,-0.221493494,-1.304791872,0.970193167,0.40986513,0.006553975,0.037650529
KO:K15011,0.559874902,0.946973045,0.101996248,0.588995576,0.035292301,0.042278497,0.356955587,2.19516845
KO:K15012,0.3499517,0.724109712,0.162846305,0.948137058,0.159887099,0.126660141,0.242810433,1.437869782
KO:K15016,0.789330598,0.999875552,0.046837911,0.269358933,0.967854652,0.409411548,-0.007068427,-0.040606039
KO:K15019,0.206594197,0.506961412,0.218832278,1.288321435,0.020309847,0.028166359,0.390702417,2.438210713
KO:K15034,0.91151097,0.999875552,0.019490989,0.111988481,0.323765412,0.206345621,0.171785738,1.001725244
KO:K15040,2.14E-09,6.02E-08,0.816994013,8.138913775,2.54E-06,4.15E-05,0.702586121,5.671806111
KO:K15060,0.019057842,0.075126284,-0.394384892,-2.465400929,0.00215731,0.005463948,-0.501297961,-3.328119323
KO:K15061,0.616813841,0.981533874,-0.087596526,-0.505145491,0.843217104,0.377403477,-0.034680414,-0.199343728
KO:K15064,0.00158797,0.008703513,-0.513952136,-3.441787507,0.055553987,0.05933023,-0.326538168,-1.984607155
KO:K15065,0.002849103,0.014545814,-0.489379594,-3.223673459,0.003470916,0.007728852,-0.480656094,-3.148740017
KO:K15066,3.57E-07,4.96E-06,-0.740999369,-6.339063323,0.01360568,0.020991317,-0.413260095,-2.607033308
KO:K15067,0.682362244,0.999875552,0.071688908,0.412883758,0.216950163,0.156819765,0.214043277,1.258757759
KO:K15102,7.73E-05,0.00057481,0.617614925,4.511144233,0.000375953,0.001543028,0.567643911,3.960850534
KO:K15256,0.040909309,0.142942808,-0.347346544,-2.127840029,0.012079483,0.019318026,-0.419685274,-2.656151643
KO:K15257,0.495577329,0.893191698,-0.119103037,-0.689099942,0.035945168,0.042712828,-0.355777516,-2.186871754
KO:K15268,0.746988689,0.999875552,-0.056541254,-0.325325212,0.543625834,0.290913531,0.106225761,0.613692791
KO:K15358,0.692982438,0.999875552,-0.069167167,-0.398288994,0.95179753,0.405741554,0.010602641,0.06091096
KO:K15371,0.000927172,0.00541556,0.535061773,3.63831535,0.00021656,0.001030849,0.586013195,4.154489988
KO:K15372,0.572254126,0.954957009,0.098812085,0.570423804,0.177570879,0.136624681,-0.233212153,-1.377690425
KO:K15383,0.99437878,0.999875552,-0.001235738,-0.007098782,0.594213484,0.307842308,-0.093239147,-0.537961621
KO:K15408,0.011718432,0.049790485,0.421305036,2.668610078,0.151110842,0.12161257,0.247860109,1.469708971
KO:K15449,0.668932536,0.997459744,0.074898303,0.431469917,0.57292882,0.300746879,0.098639449,0.569417406
KO:K15461,0.782298645,0.999875552,-0.048439179,-0.278588924,0.074064909,0.072957483,0.305752041,1.844754897
KO:K15503,0.213596729,0.51860108,-0.215576457,-1.268211974,0.39857321,0.23706884,-0.147258905,-0.855262092
KO:K15509,0.767373662,0.999875552,-0.051850797,-0.298261362,0.585763663,0.305395964,-0.095372573,-0.55038256
KO:K15510,0.113500615,0.322918418,0.272323157,1.625824075,0.190976276,0.14322634,0.226380065,1.335115332
KO:K15511,0.004654614,0.022461555,-0.467258364,-3.036004682,0.036194545,0.042713208,-0.355332115,-2.183738087
