KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K05396,0.273952227,0.632636996,0.190132687,1.112523332,0.015910527,0.027035319,0.404622781,2.541741267
KO:K05499,0.685511905,0.999810126,-0.070939568,-0.408546079,0.722139086,0.384210558,-0.062312156,-0.35865305
KO:K05501,7.41E-06,7.44E-05,-0.678715932,-5.308988845,0.000720656,0.002833947,-0.544495673,-3.729166737
KO:K05515,0.83154484,0.999810126,0.037298453,0.214412494,0.179517062,0.149582518,0.232198142,1.371358039
KO:K05516,1.94E-11,1.48E-09,0.865525252,9.926948709,1.64E-05,0.000239105,0.659442724,5.039156379
KO:K05520,4.40E-08,8.35E-07,0.775767436,7.062299478,0.000183451,0.00111647,0.591331269,4.212324423
KO:K05522,0.306672691,0.682847895,0.177865105,1.03831327,0.856577072,0.42256566,-0.031692826,-0.182152928
KO:K05524,3.10E-09,8.58E-08,-0.812453678,-8.005119991,6.57E-05,0.00055735,-0.622291022,-4.56675243
KO:K05526,0.813615487,0.999810126,-0.041335649,-0.237658348,0.279288598,0.205817175,-0.188069855,-1.100007988
KO:K05527,0.573650879,0.967522448,-0.098454795,-0.568341007,0.27699834,0.204651864,-0.188952013,-1.105358242
KO:K05539,0.415160591,0.829257639,-0.142196307,-0.8252413,0.707691089,0.379002925,0.065697002,0.378217641
KO:K05540,0.708396093,0.999810126,-0.0655313,-0.377259575,0.472468278,0.292314041,-0.125520361,-0.726807866
KO:K05548,0.026354602,0.097338131,-0.375200501,-2.32523597,0.085921082,0.089537457,-0.294498096,-1.770270608
KO:K05549,1.12E-05,0.00010645,-0.669002409,-5.170633467,0.000166946,0.001046331,-0.594312043,-4.245108348
KO:K05550,5.16E-08,9.52E-07,-0.773306657,-7.006440096,1.23E-05,0.000202024,-0.666607604,-5.137273755
KO:K05555,0.982998325,0.999810126,0.003737796,0.021472155,0.407796587,0.26620111,0.144429385,0.838474968
KO:K05559,0.679582372,0.999810126,-0.072351314,-0.416718791,0.659955402,0.36299934,-0.07705706,-0.443979199
KO:K05562,0.474625715,0.882824044,-0.124914443,-0.723243634,0.961340782,0.452418718,-0.00850174,-0.048840541
KO:K05563,0.424262968,0.834891516,-0.139466691,-0.8090825,0.884367878,0.431516454,-0.025505219,-0.146564007
KO:K05565,0.204174184,0.513885283,0.219975191,1.295391268,0.010704193,0.020353525,0.426092439,2.705614923
KO:K05566,0.694502341,0.999810126,0.068807399,0.396207443,0.314833031,0.223895293,0.174936926,1.020675309
KO:K05567,0.051877851,0.17314959,0.331304916,2.017121305,0.017208231,0.028351869,0.400212723,2.508720202
KO:K05568,0.756497413,0.999810126,-0.054348737,-0.31267185,0.623951636,0.3499386,-0.085832655,-0.49489745
KO:K05569,0.811942997,0.999810126,0.041713285,0.239833324,0.445827619,0.281874536,-0.133126935,-0.771624249
KO:K05570,0.907688938,0.999810126,0.020336379,0.116847769,0.643709113,0.357366839,-0.080992778,-0.466801674
KO:K05571,0.771154952,0.999810126,0.050984727,0.293266369,0.835622513,0.416825294,-0.036382975,-0.209142747
KO:K05577,0.173738346,0.453969042,0.235232319,1.390320333,0.096734007,0.097676653,0.285235434,1.709572777
KO:K05589,0.514176085,0.916903972,-0.114048357,-0.659460779,0.462758506,0.28855678,-0.128265576,-0.74296665
KO:K05591,0.757978331,0.999810126,-0.054008006,-0.310705848,0.623090416,0.349929544,-0.086045032,-0.496131103
KO:K05592,5.84E-08,1.06E-06,0.771380901,6.963276145,2.07E-06,5.87E-05,0.706914345,5.741437199
KO:K05594,0.879510449,0.999810126,-0.026584333,-0.152769361,0.911059718,0.437501257,-0.019590778,-0.112562054
KO:K05595,0.99957207,0.999810126,9.41E-05,0.000540409,0.523974931,0.31355565,0.111421895,0.644080618
KO:K05601,0.893463738,0.999810126,-0.02348695,-0.134959483,0.846225062,0.420122955,-0.034006959,-0.195468164
KO:K05602,0.735425338,0.999810126,0.059219,0.340785326,0.822479232,0.413386154,0.039337291,0.226150575
KO:K05603,0.780233599,0.999810126,-0.048910145,-0.281304064,0.496497536,0.302649913,-0.11885072,-0.687619158
KO:K05606,0.6846266,0.999810126,0.071150066,0.409764511,0.266690136,0.198640376,0.192982456,1.129838275
KO:K05685,0.03393444,0.121755515,0.359463744,2.212872493,0.020564504,0.032191953,0.389976631,2.432868119
KO:K05692,0.052568699,0.17515366,-0.330389027,-2.010860653,0.045996222,0.056641124,-0.339525284,-2.073602628
KO:K05699,0.905048737,0.999810126,0.020920624,0.120206143,0.682725966,0.370962945,-0.071602311,-0.412382438
KO:K05708,0.916532299,0.999810126,0.018380981,0.105608538,0.591401603,0.337833934,0.093947608,0.542085489
KO:K05710,6.61E-09,1.65E-07,0.802715282,7.732291315,4.91E-05,0.000454815,0.630546956,4.666896005
KO:K05712,0.002167202,0.011363878,0.501105327,3.326411494,0.003498862,0.008842373,0.480296917,3.145681186
KO:K05713,0.076687548,0.238878014,-0.303148234,-1.827447461,0.00860968,0.01733676,-0.437342315,-2.793677282
KO:K05716,4.63E-07,6.23E-06,0.736254565,6.250083143,0.001212919,0.004149592,0.524692342,3.540651487
KO:K05759,0.921737907,0.999810126,-0.017230977,-0.098999124,0.757912254,0.394170441,-0.054023205,-0.310793544
KO:K05765,0.646002866,0.999810126,-0.080434774,-0.463564605,0.588729854,0.336978658,-0.094622132,-0.546012581
KO:K05768,0.124920602,0.35204897,-0.264330146,-1.574461115,0.02248893,0.034187523,-0.384720881,-2.39433834
KO:K05772,0.449615735,0.858256636,-0.132030734,-0.7651573,0.052242032,0.062027192,-0.3308209,-2.01381197
KO:K05773,0.704677672,0.999810126,0.066405902,0.382316754,0.075805234,0.081757597,0.304016368,1.83321289
KO:K05782,0.98710567,0.999810126,-0.002834715,-0.016284263,0.609938341,0.345034127,0.089303666,0.515068486
KO:K05784,3.77E-05,0.000313323,-0.637797821,-4.757012884,0.001144237,0.003975431,-0.526970493,-3.56191728
KO:K05785,0.948179261,0.999810126,0.01139955,0.065489683,0.701818561,0.376534107,0.067079463,0.38621207
KO:K05786,0.712349351,0.999810126,-0.064603171,-0.371893838,0.7580441,0.394170441,0.053992878,0.310618565
KO:K05787,0.659792441,0.999810126,-0.077096351,-0.444206932,0.236812947,0.182638683,-0.205278862,-1.204897348
KO:K05788,1.51E-08,3.38E-07,-0.791433456,-7.437872214,0.001802732,0.005485663,-0.50877193,-3.39489797
KO:K05791,1.19E-10,6.05E-09,0.848748966,9.220364307,1.64E-05,0.000239105,0.659556193,5.040690955
KO:K05794,0.237382068,0.572011723,0.205035215,1.203404451,0.058403075,0.067158568,0.323013416,1.960673934
KO:K05795,5.63E-13,1.10E-10,0.892892047,11.39153221,3.15E-06,7.54E-05,0.697963566,5.598811834
KO:K05797,8.58E-06,8.40E-05,-0.675276999,-5.259434953,0.000119001,0.000838285,-0.604779919,-4.362416131
KO:K05799,0.59743394,0.984345586,0.092429537,0.533249989,0.128958395,0.118632948,0.261634479,1.557218186
KO:K05800,0.577969943,0.969755662,-0.097352452,-0.561916378,0.101389425,0.100394476,-0.281490176,-1.685179689
KO:K05801,0.000807937,0.004794418,0.54024963,3.688033416,0.002254436,0.006433475,0.499439018,3.311666063
KO:K05802,0.940272011,0.999810126,-0.013141892,-0.075500941,0.975822202,0.45490117,0.00531585,0.030537665
KO:K05803,0.682474933,0.999810126,-0.071662077,-0.412728426,0.914895435,0.439107513,-0.018742745,-0.107687787
KO:K05805,0.956307161,0.999810126,-0.009609704,-0.055206096,0.814733584,0.411812553,0.041083293,0.236204972
KO:K05807,0.003669777,0.017887275,-0.478152852,-3.127464515,0.002541653,0.00694305,-0.494324045,-3.266706844
KO:K05808,0.548419003,0.946181495,-0.104972037,-0.606368521,0.411027486,0.267432067,-0.143446852,-0.832650685
KO:K05810,0.996850952,0.999810126,-0.000692266,-0.003976766,0.700339438,0.376534107,0.067428293,0.388229616
KO:K05812,0.992535186,0.999810126,-0.001641034,-0.009427036,0.613157122,0.346745323,-0.088503461,-0.51041662
KO:K05813,3.30E-08,6.53E-07,-0.780084848,-7.162273228,2.34E-05,0.000292407,-0.650466748,-4.919652551
