KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K13015,0.832615519,0.999829032,0.037057982,0.213028223,0.831941542,0.48578266,-0.037209347,-0.213899552
KO:K13016,0.022403805,0.107978538,0.38494532,2.395978059,0.023978121,0.061205118,0.380904004,2.366528647
KO:K13017,7.89E-06,0.000183174,0.677242389,5.287677285,0.00279108,0.017310707,0.490275918,3.231443849
KO:K13018,0.610390583,0.974161247,0.089191129,0.514414208,0.205538329,0.234763255,0.219329791,1.291398268
KO:K13020,0.221474466,0.562423949,0.212000325,1.246175216,0.809245867,0.478238201,0.042322667,0.24334325
KO:K13021,0.375161299,0.782728476,0.15461542,0.899008786,0.44123525,0.359335232,0.13446268,0.779508269
KO:K13038,0.129969662,0.394078591,0.260969168,1.552968545,0.009548344,0.034848825,0.432041863,2.751989547
KO:K13039,0.573990594,0.95173879,0.098367955,0.567834815,0.427508923,0.353991202,-0.138501223,-0.803371635
KO:K13049,0.077533231,0.273376952,0.3023234,1.821974238,0.172221495,0.211954164,0.236040633,1.39537917
KO:K13051,0.000469347,0.004875926,0.559938976,3.882284982,0.000388858,0.005199788,0.566484042,3.948927118
KO:K13053,1.05E-06,4.06E-05,0.720658691,5.971337943,0.000127675,0.002882924,0.602634209,4.33808751
KO:K13057,0.790585329,0.999829032,-0.046552588,-0.267714502,0.632541116,0.42364479,-0.083721031,-0.482635127
KO:K13058,0.608454589,0.973437212,0.089673135,0.517216678,0.145348201,0.191978207,0.251292792,1.491425359
KO:K13075,0.702571218,0.999829032,0.066902058,0.385186053,0.524802425,0.390663843,0.111201204,0.642788913
KO:K13126,0.746350622,0.999829032,-0.056688679,-0.326176189,0.240711166,0.257074875,-0.203617816,-1.194724233
KO:K13237,0.756897446,0.999829032,0.054256678,0.312140661,0.270606308,0.27622476,0.191439468,1.120459563
KO:K13276,0.390782045,0.802905845,0.149678483,0.869634092,0.884854445,0.500191015,-0.025397176,-0.145942744
KO:K13280,0.668105604,0.999829032,-0.075096699,-0.432619296,0.083975586,0.13804208,-0.29625867,-1.781868592
KO:K13282,0.803312968,0.999829032,0.04366486,0.251074993,0.355994389,0.322057333,0.160841847,0.936154619
KO:K13288,0.126768746,0.385579977,0.263088404,1.566513373,0.040154104,0.086305904,0.348573733,2.13639546
KO:K13292,5.15E-06,0.000130924,0.687063114,5.43199748,0.000376636,0.005180356,0.56758164,3.960209505
KO:K13378,0.010718303,0.060193367,0.426023252,2.705078174,0.008593891,0.032640817,0.437435601,2.794414168
KO:K13408,0.224914798,0.56630594,0.210465857,1.236735682,0.471501431,0.371202568,0.125792372,0.728408205
KO:K13409,0.469327847,0.895443331,0.126404958,0.732012877,0.226145912,0.248206146,0.20992064,1.233383999
KO:K13421,0.988229432,0.999829032,-0.002587647,-0.01486495,0.466913731,0.369735039,-0.12708709,-0.736027785
KO:K13481,0.009310777,0.054582847,0.433339946,2.762166111,0.382538416,0.336344869,0.152269207,0.885040405
KO:K13482,0.105043239,0.339768407,0.278641177,1.666680093,0.995249019,0.528594936,-0.001044428,-0.005999783
KO:K13483,0.658374078,0.999829032,0.077438479,0.446190045,0.339367404,0.313406915,0.166408469,0.969461162
KO:K13503,0.000137529,0.001782358,0.600350053,4.312351466,0.000263074,0.00432451,0.579657305,4.086439669
KO:K13525,0.02134556,0.10378174,-0.387796224,-2.416849976,0.595071069,0.412255211,-0.093023368,-0.536705759
KO:K13527,0.001709607,0.013744244,-0.510947858,-3.414532348,0.438025865,0.35915933,-0.13540068,-0.785047245
KO:K13529,0.394259198,0.805352868,0.148595233,0.863197756,0.14824537,0.193898039,0.249554859,1.48042313
KO:K13542,0.866153253,0.999829032,0.029556814,0.169865182,0.47041512,0.371058179,0.126098343,0.73020854
KO:K13570,0.903825158,0.999829032,0.021191462,0.121763025,0.228723137,0.250255123,0.208785781,1.226411388
KO:K13571,0.160263215,0.454959676,-0.242598548,-1.43653655,0.208180522,0.235944986,-0.218088117,-1.283721201
KO:K13572,0.961470748,0.999829032,0.008473137,0.048676214,0.97786362,0.524213178,0.004866899,0.027958536
KO:K13573,0.158527473,0.4520191,0.243579388,1.442710094,0.015610265,0.047239899,0.405685946,2.549733451
KO:K13574,0.849156738,0.999829032,0.033351042,0.191693791,0.238280449,0.255674901,0.204651409,1.201053226
KO:K13581,0.426051195,0.84126616,0.138934299,0.805933045,0.233233733,0.25288895,-0.206820286,-1.214347561
KO:K13582,0.843651688,0.999829032,0.034583085,0.198783605,0.678450974,0.437975983,-0.072621194,-0.418281432
KO:K13583,0.913846103,0.999829032,0.018974698,0.109020967,0.362357807,0.325424365,-0.158752992,-0.923680314
KO:K13584,0.630818371,0.990847664,0.084143605,0.48508851,0.099191118,0.154013158,-0.283242021,-1.696579051
KO:K13587,0.465769102,0.892631022,0.127411167,0.737935619,0.131051802,0.179523043,0.260261461,1.548450701
KO:K13589,0.075130939,0.266117357,0.304685142,1.837657758,0.314181874,0.301295157,-0.175168817,-1.022071083
KO:K13590,0.115781514,0.364166693,0.270680144,1.615236901,0.008687268,0.032813517,0.436886005,2.790074408
KO:K13592,0.154426553,0.444248621,0.245927963,1.457511528,0.509865091,0.384747761,0.115211705,0.666277626
KO:K13598,0.010072363,0.057652006,0.429272911,2.730351927,0.107344716,0.161417581,0.276884948,1.655300064
KO:K13599,0.003476332,0.024492342,0.48058628,3.148145304,0.005800889,0.026547075,0.456848094,2.950264806
KO:K13614,0.959265637,0.999829032,0.008958464,0.051464524,0.484117898,0.37452882,-0.122265483,-0.707671076
KO:K13626,0.661862852,0.999829032,0.076597443,0.441315351,0.541219071,0.395060088,-0.106857262,-0.617383141
KO:K13628,0.272649809,0.64510983,-0.190640114,-1.115604263,0.228723137,0.250255123,-0.208785781,-1.226411388
KO:K13634,3.39E-05,0.000580495,0.640685838,4.793494267,0.099993422,0.154601931,0.282599271,1.692394503
KO:K13635,0.077052523,0.272177327,0.302791394,1.82507908,0.704360455,0.445602285,-0.066480587,-0.382748644
KO:K13640,0.498421528,0.918602954,0.118323935,0.684528031,0.188950279,0.223262827,0.227390454,1.341398429
KO:K13641,0.66426586,0.999829032,0.076019134,0.437963987,0.217927153,0.242182578,0.213599663,1.256024078
KO:K13643,0.60876544,0.973437212,-0.089595698,-0.516766423,0.523202548,0.390177764,-0.111628041,-0.645287283
KO:K13652,0.950465606,0.999829032,0.010895967,0.06259628,0.466938311,0.369735039,-0.127080135,-0.735986845
KO:K13653,0.147135587,0.429007071,0.250217636,1.484617127,0.018001429,0.05140159,0.397652399,2.489644842
KO:K13661,0.778671108,0.999829032,0.04926672,0.283359856,0.600843335,0.414159604,0.091574488,0.528275074
KO:K13668,0.41425588,0.829182744,0.14246944,0.826859249,0.502002026,0.381194075,0.117346338,0.678793134
