"","name","xend","yend","coord","cos2","contrib"
"KO:K00069","KO:K00069",-0.799643094615256,0.0891798742114858,0.000222647959512301,0.000222647959512301,1.66065291798269e-05
"KO:K00073","KO:K00073",-13.8192354410594,10.8894169682047,0.106460808849934,0.106460808849934,0.00794053775541892
"KO:K00074","KO:K00074",-16.9416064997632,2.73574983127352,0.10128538641275,0.10128538641275,0.00755452117611003
"KO:K00075","KO:K00075",-18.2434564609148,0.581724801641122,0.114581265228672,0.114581265228672,0.0085462140710807
"KO:K00076","KO:K00076",-17.5241981672165,1.61401094135902,0.106513044397296,0.106513044397296,0.00794443382140301
"KO:K00077","KO:K00077",-17.5481941268211,3.36460194112968,0.109799930275351,0.109799930275351,0.00818959109283838
"KO:K00078","KO:K00078",-5.8415360137804,2.44556082922518,0.013792693008134,0.013792693008134,0.00102874852035335
"KO:K00079","KO:K00079",-22.993529576146,17.1266657683947,0.282711244582239,0.282711244582239,0.0210864386222266
"KO:K00082","KO:K00082",-30.9082839895243,18.2757550632021,0.443425330431123,0.443425330431123,0.0330735377274903
"KO:K00083","KO:K00083",3.36039778075225,-3.51866572657196,0.00814172594594414,0.00814172594594414,0.000607262737963719
"KO:K00086","KO:K00086",-24.8724438172294,2.43742693259311,0.214805672902726,0.214805672902726,0.0160216005700891
"KO:K00087","KO:K00087",-13.4147534332483,4.32138717032921,0.068312919853421,0.068312919853421,0.0050952207214921
"KO:K00088","KO:K00088",-14.7882614037509,2.30979457352411,0.0770477530811843,0.0770477530811843,0.00574672124813295
"KO:K00090","KO:K00090",-20.4596333756491,12.6770704629805,0.199234743512269,0.199234743512269,0.0148602196445866
"KO:K00091","KO:K00091",-18.0641204601524,2.10536233468178,0.113749972049026,0.113749972049026,0.00848421083298665
"KO:K00096","KO:K00096",-16.856204114225,-12.3308155550851,0.150011442706693,0.150011442706693,0.01118882654965
"KO:K00097","KO:K00097",-15.2845575434762,1.44728051111578,0.0810662895844958,0.0810662895844958,0.00604644976955582
"KO:K00098","KO:K00098",-11.7744685744851,11.7669665929543,0.0953002263741958,0.0953002263741958,0.00710810911357018
"KO:K00099","KO:K00099",-16.9364548256045,0.319059489350178,0.0986863599223759,0.0986863599223759,0.00736066892008184
"KO:K00100","KO:K00100",-17.094203106778,3.2873486469128,0.104214241612753,0.104214241612753,0.00777297419696363
"KO:K00101","KO:K00101",-14.2060992428569,1.40047292085188,0.0700822473254164,0.0700822473254164,0.00522718864231528
"KO:K00102","KO:K00102",-11.4784262485863,1.3965085068479,0.0459837149173605,0.0459837149173605,0.0034297637635875
"KO:K00103","KO:K00103",-15.3343813506317,-9.36451338472452,0.111030374162718,0.111030374162718,0.00828136558008028
"KO:K00104","KO:K00104",-15.7283581649966,2.75481016102551,0.0876894786482219,0.0876894786482219,0.00654045017580792
"KO:K00105","KO:K00105",4.82712472072289,11.3873464445587,0.0526104730334994,0.0526104730334994,0.00392403037292167
"KO:K00106","KO:K00106",-42.4994791750399,-15.3882770475014,0.702631150829839,0.702631150829839,0.05240678932998
"KO:K00107","KO:K00107",-38.6868840838533,9.18103732940613,0.543726707554813,0.543726707554813,0.0405546651073681
"KO:K00108","KO:K00108",-14.8718856628772,5.21083787031942,0.0854043283473779,0.0854043283473779,0.00637000884216902
"KO:K00109","KO:K00109",-12.5242786214015,2.3229047105154,0.0558022781627234,0.0558022781627234,0.0041620959053024
"KO:K00111","KO:K00111",-16.2046969520439,2.16400031599155,0.0919213755722517,0.0919213755722517,0.00685609250151734
"KO:K00112","KO:K00112",-9.06154501222688,-9.57804513503419,0.0597907599648675,0.0597907599648675,0.00445958275214169
"KO:K00113","KO:K00113",-20.0741941456611,-0.798040492517091,0.138809784745317,0.138809784745317,0.0103533342316179
"KO:K00114","KO:K00114",-9.8627302077891,2.16789080679713,0.0350706690618545,0.0350706690618545,0.00261579800869256
"KO:K00116","KO:K00116",-9.41291863413671,16.6920560035323,0.12629714387341,0.12629714387341,0.00942006030352461
"KO:K00117","KO:K00117",-11.4563388229951,1.41536006536922,0.0458277257303268,0.0458277257303268,0.00341812907808719
"KO:K00118","KO:K00118",-13.8824553204174,-5.18718269156389,0.0755350545960365,0.0755350545960365,0.00563389438194961
"KO:K00121","KO:K00121",-14.0858579610613,3.54163637688223,0.0725515971311546,0.0725515971311546,0.00541136876996619
"KO:K00122","KO:K00122",-10.5688756294271,7.18398263692521,0.0561659043424564,0.0561659043424564,0.00418921750469865
"KO:K00123","KO:K00123",-12.1099875680023,2.78552393211409,0.0531050823653997,0.0531050823653997,0.00396092154551902
"KO:K00124","KO:K00124",-13.8931446233708,2.09926648094593,0.0678989739319269,0.0678989739319269,0.00506434594932163
"KO:K00125","KO:K00125",-79.087212780197,23.2950682507638,2.33778124704027,2.33778124704027,0.174366891033113
"KO:K00126","KO:K00126",-20.3799085610474,1.8833905631769,0.144064096205827,0.144064096205827,0.0107452348660544
"KO:K00127","KO:K00127",-15.7627260228412,2.90837875385227,0.0883608007443287,0.0883608007443287,0.0065905217327289
"KO:K00128","KO:K00128",-14.9522580578869,2.82720708164793,0.0796392950644412,0.0796392950644412,0.00594001526106696
"KO:K00129","KO:K00129",-29.9281727577096,-1.10321870585394,0.308466599523645,0.308466599523645,0.0230074400736126
"KO:K00130","KO:K00130",-16.2284990324843,4.90371661794908,0.0988463917867624,0.0988463917867624,0.00737260513468474
"KO:K00131","KO:K00131",-18.1998391903746,-8.29195866213716,0.137564994143438,0.137564994143438,0.0102604896733379
"KO:K00132","KO:K00132",-12.6267010336585,-3.99378545426716,0.0603181119948239,0.0603181119948239,0.00449891608756813
"KO:K00133","KO:K00133",-16.7822572015358,1.18266198308319,0.0973442258473865,0.0973442258473865,0.00726056385409169
"KO:K00134","KO:K00134",-17.0350361563184,0.802906557537003,0.100024834648237,0.100024834648237,0.00746050104807509
