"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"KO:K00207",17.2168452331651,0.0353802346803074,0.630881762629412,0.000283883765837559,0.010438406069847
"KO:K00208",12153.687699662,-8.04254120414256,1.46999286767454,1.27181517606936e-13,3.59728030954386e-11
"KO:K00209",5.13822111947754,0.041764615803268,0.63103468224317,0.396598135777818,0.785449788133756
"KO:K00210",15.4149943834235,0.0364935926822609,0.630640167007711,0.728169350410541,0.935641806154412
"KO:K00213",0.0677265543993666,-0.0049694219652671,0.629966822064165,0.873549518289607,NA
"KO:K00215",127.759939572303,0.137860727552974,0.525574152343263,0.62573922509545,0.894573534477438
"KO:K00216",1.91825313847648,-0.028840741867379,0.628792617896386,0.5567719047747,NA
"KO:K00217",2.7943248833534,-0.0218417155332476,0.615945018034139,0.771384238425729,NA
"KO:K00219",29.095709441293,-0.0255753741352203,0.570801578081094,0.873164605518057,0.973346719440211
"KO:K00220",6.60819406796997,0.00109729585497749,0.587479309343263,0.950683372116773,0.989152217832186
"KO:K00221",0.518117769166608,0.0165390833365308,0.629278748720945,0.90119562482481,NA
"KO:K00222",0.050794915799525,-0.0048041184165439,0.629969507426891,0.874353336705152,NA
"KO:K00226",72.5198913170468,0.171346098595724,0.638131545334479,0.276074899832718,0.689764358792137
"KO:K00227",3.70059365730754,0.0869595520445294,0.620706342274755,0.630831408038053,NA
"KO:K00228",12.2939587884179,0.0347460869510304,0.572212230664195,0.891550652998268,0.973346719440211
"KO:K00230",112.920833556678,0.23027862571614,0.667952076561306,0.195211416674767,0.603770837152966
"KO:K00231",39.1284406098249,-0.389317591097896,0.72571308851666,0.118613265560288,0.502371930363844
"KO:K00232",7.76343847449109,0.0631154819835668,0.608088607561627,0.816969580488998,0.969366863699963
"KO:K00234",6.02277945072432,-0.0113623138733819,0.629525262695816,0.838000525913556,0.972334469480639
"KO:K00235",2.33934174057896,-0.0102225006123832,0.629722089537825,0.89477685771884,NA
"KO:K00236",1.209281010282,-0.00638458628929459,0.629857082647036,0.88244464624254,NA
"KO:K00237",0.725490359813352,-0.0081374945748511,0.629919736368699,0.869087782923881,NA
"KO:K00239",476.599107763361,0.512685548417461,0.404923281325363,0.110616943921889,0.488751391880148
"KO:K00240",368.675760617885,0.246117530211714,0.377433543740282,0.419380005056727,0.79806098526197
"KO:K00241",241.01353886703,1.26908665068299,0.592417464748041,0.00379723532044631,0.0678229394152622
"KO:K00242",100.182670066685,1.63774810206824,1.91535304893246,0.00392414901857107,0.0690387365611762
"KO:K00243",3.47238300926349,0.101711714677042,0.633280142681738,0.501201978272099,NA
"KO:K00244",70.2777060533914,-0.939670766078291,0.917852341540959,0.0263562776162032,0.224853904396239
"KO:K00245",28.1155397993828,-0.276380887998785,0.625310284143915,0.264438758869043,0.678535461522311
"KO:K00246",743.09461653676,-0.0592725068250909,0.609418261858834,0.630608271694598,0.898042840829216
"KO:K00247",747.042846166825,-0.256779350054611,0.680911674346858,0.113783089235729,0.493552364007226
"KO:K00248",65.6735015014182,0.0982557676246833,0.413378207941208,0.755263489483869,0.949437213959722
"KO:K00249",456.146948256067,0.514688595116514,0.558286680233894,0.145745164318872,0.551764826161601
"KO:K00252",88.0494398253486,-0.098059438790187,0.436890376120807,0.758567358627424,0.951981896986403
"KO:K00253",75.8987226045568,0.222697927969281,0.604193194355385,0.365486235492877,0.761436981175576
"KO:K00254",203.552317633645,0.415704158429979,0.808275636401249,0.0182670330453243,0.18351879920125
"KO:K00255",2.77203031735812,0.0824310165248028,0.636378136126897,0.304839914885373,NA
"KO:K00256",124.194191189027,-0.53010079973626,0.87588844610401,0.0614452937408692,0.364961518446662
"KO:K00257",548.660823431816,0.891207642116389,0.494460755726656,0.0169461486472769,0.177019853909196
"KO:K00259",328.29308150608,0.240405063589421,0.482734731058649,0.444899796589726,0.807053059723939
"KO:K00260",8.53271419484205,-0.183040112320707,0.666702608640582,0.0657516106270983,0.379786473758554
"KO:K00261",220.174941107271,0.570158970927883,0.629254672496197,0.123863105247723,0.513706238275982
"KO:K00262",41.2699478618188,0.254515955165637,0.60468801306491,0.355642909813407,0.755895363805721
"KO:K00263",165.851394565441,-0.339062717968881,0.541469267424199,0.300379079368848,0.710918725794989
"KO:K00264",11.5701136147016,-0.0218544760570052,0.629173879519364,0.827682663210026,0.971855594292187
"KO:K00265",863.404319251643,1.10890171952274,0.693725983721537,0.0139743120716305,0.161076945101522
"KO:K00266",594.618133914374,1.25201341411813,0.960458125749534,0.014527351412042,0.163647012118591
"KO:K00270",1.27107407419406,-0.0112743988703586,0.629900103493024,0.911977318687161,NA
"KO:K00271",13.2780552740558,-0.134747635891958,0.645372446120766,0.404426571818024,0.788127297346625
"KO:K00273",0.505221161226042,-0.0120536093039007,0.629776508952539,0.907495597786901,NA
"KO:K00274",690.34668914908,0.174910067420224,0.621116221189161,0.354152006960364,0.753760292547776
"KO:K00275",34.038998785729,0.145716519922277,0.564917196046878,0.597670599864526,0.883740534377069
"KO:K00276",19.6678695526222,-0.247155942471805,0.590399873512906,0.397587274749962,0.785449788133756
"KO:K00278",140.131630584954,1.44885518928981,0.90130414053598,0.00602605604767707,0.0941342963102346
"KO:K00279",1.1331105153783,0.00780611623293484,0.621923513027306,0.930833694369483,NA
"KO:K00280",0.053870512516954,-0.00553820852771988,0.630009795714481,0.898654779885337,NA
"KO:K00281",165.616909549169,0.682262927411999,0.527637223142039,0.0603542947158338,0.360264191022924
"KO:K00282",37.0520743994913,-0.107446208171005,0.489020295234534,0.723394761730302,0.933633744781439
"KO:K00283",70.4144018677036,-0.000310793716270043,0.519891982226114,0.986049427572106,0.998123391628005
"KO:K00284",745.139529153838,0.176710895273107,0.510603728163229,0.565999771177292,0.870242615596842
"KO:K00285",175.917566791714,1.66466292402869,1.47219962546608,0.00468219049861973,0.0797056225158553
"KO:K00286",84.521743414119,-0.37330203207935,0.572756041936984,0.266046184128716,0.679995553058625
"KO:K00287",12.2595023107147,0.780000160920407,1.19551577779005,0.0436811073968377,0.303578361282498
