"","X1","X2","X3"
"330","S1P5.C1",0.01147,-0.54042
"331",NA,NA,NA
"332","S2P1.C1",-0.00912,-0.00747
"333",NA,NA,NA
"334","S2P3.C1",0.00617,-0.00734
"335",NA,NA,NA
"336","S2P5.C1",-0.01472,-0.01947
"337",NA,NA,NA
"338","S3P1.C1",0.00411,-0.00745
"339",NA,NA,NA
"340","S3P3.C1",0.00597,-0.00747
"341",NA,NA,NA
"342","S3P5.C1",-0.0122,0.03589
"343",NA,NA,NA
"344","S1P2.C2",0.00115,-0.54024
"345",NA,NA,NA
"346","S1P4.C2",-0.000337,-1.35723
"347",NA,NA,NA
"348","S1P6.C2",-0.00426,0.01411
"349",NA,NA,NA
"350","S2P2.C2",0.00194,-0.01928
"351",NA,NA,NA
"352","S2P4.C2",0.000951,-0.00728
"353",NA,NA,NA
"354",NA,NA,NA
"355","S3P2.C2",-0.00738,0.03609
"356",NA,NA,NA
"357","S3P4.C2",0.000922,-0.00729
"358",NA,NA,NA
"359","S3P6.C2",0.0101,-0.00729
"360",NA,NA,NA
"361","S1P2.W",-0.00417,-0.00985
"362",NA,NA,NA
"363","S1P4.W",0.0137,-0.00274
"364",NA,NA,NA
"365","S1P1.C1",0.00514,0.02169
"366",NA,NA,NA
"367","S1P3.C1",0.00473,0.01394
"368",NA,NA,NA
"369","S1P5.C1",-0.00484,-0.52617
"370",NA,NA,NA
"371","S2P1.C1",0.0072,0.01392
"372",NA,NA,NA
"373","S2P3.C1",-0.00803,0.01406
"374",NA,NA,NA
"375","S2P5.C1",-0.00145,0.00191
"376",NA,NA,NA
"377","S3P1.C1",-0.00182,0.01392
"378",NA,NA,NA
"379","S3P3.C1",0.0067,0.01389
"380",NA,NA,NA
"381","S3P5.C1",-0.00441,0.05726
"382",NA,NA,NA
"383","S1P2.C2",0.000413,-0.526
"384",NA,NA,NA
"385","S1P4.C2",0.00663,-1.31461
"386",NA,NA,NA
"387","S1P6.C2",-0.00742,0.03546
"388",NA,NA,NA
"389","S2P2.C2",0.00915,0.00208
"390",NA,NA,NA
"391","S2P4.C2",-0.01059,0.0141
"392",NA,NA,NA
"393",NA,NA,NA
"394","S3P2.C2",0.000119,0.05745
"395",NA,NA,NA
"396","S3P4.C2",0.00658,0.01409
"397",NA,NA,NA
"398","S3P6.C2",0.00339,0.01407
"399",NA,NA,NA
"400","S1P2.W",-0.00735,0.0115
"401",NA,NA,NA
"402","S1P4.W",-0.0027,0.01862
"403",NA,NA,NA
"404","S1P1.C1",-0.00569,0.04309
"405",NA,NA,NA
"406","S1P3.C1",0.01479,0.03529
"407",NA,NA,NA
"408","S1P5.C1",0.00915,-0.51193
"409",NA,NA,NA
"410","S2P1.C1",0.00749,0.0353
"411",NA,NA,NA
"412","S2P3.C1",-0.00251,0.03544
"413",NA,NA,NA
"414","S2P5.C1",0.00591,0.02328
"415",NA,NA,NA
"416","S3P1.C1",0.00972,0.03528
"417",NA,NA,NA
"418","S3P3.C1",0.00809,0.03523
"419",NA,NA,NA
"420","S3P5.C1",-0.00312,0.08562
"421",NA,NA,NA
"422","S1P2.C2",0.00879,-0.51176
"423",NA,NA,NA
"424","S1P4.C2",0.02013,-1.27897
"425",NA,NA,NA
"426","S1P6.C2",-0.00672,0.05681
"427",NA,NA,NA
"428","S2P2.C2",-0.000715,0.02344
"429",NA,NA,NA
"430","S2P4.C2",0.00472,0.03547
"431",NA,NA,NA
"432",NA,NA,NA
"433","S3P2.C2",-0.00283,0.08583
"434",NA,NA,NA
"435","S3P4.C2",0.00355,0.03544
"436",NA,NA,NA
"437","S3P6.C2",0.000971,0.03542
"438",NA,NA,NA
"439","S1P2.W",0.0041,0.03288
"440",NA,NA,NA
"441","S1P4.W",-0.00677,0.04
"442",NA,NA,NA
"443","S1P1.C1",0.00383,0.06444
"444",NA,NA,NA
"445","S1P3.C1",0.02449,0.05663
"446",NA,NA,NA
"447","S1P5.C1",0.00793,-0.49065
"448",NA,NA,NA
"449","S2P1.C1",-0.00284,0.05667
"450",NA,NA,NA
"451","S2P3.C1",-0.00527,0.05685
"452",NA,NA,NA
"453","S2P5.C1",-0.00531,0.04463
"454",NA,NA,NA
"455","S3P1.C1",0.00756,0.05666
"456",NA,NA,NA
"457","S3P3.C1",-9.55e-06,0.05659
"458",NA,NA,NA
"459","S3P5.C1",0.00123,0.10699
"460",NA,NA,NA
"461","S1P2.C2",0.00919,-0.49047
"462",NA,NA,NA
"463","S1P4.C2",0.00702,-1.23634
"464",NA,NA,NA
"465","S1P6.C2",0.00428,0.0852
"466",NA,NA,NA
"467","S2P2.C2",-0.00588,0.04481
"468",NA,NA,NA
"469","S2P4.C2",0.0075,0.05688
"470",NA,NA,NA
"471",NA,NA,NA
"472","S3P2.C2",0.01303,0.10719
"473",NA,NA,NA
"474","S3P4.C2",0.00736,0.05682
"475",NA,NA,NA
"476","S3P6.C2",-0.000665,0.05676
"477",NA,NA,NA
"478","S1P2.W",0.0065,0.05425
"479",NA,NA,NA
"480","S1P4.W",-0.01396,0.06137
"481",NA,NA,NA
"482","S1P1.C1",0.01418,0.09284
"483",NA,NA,NA
"484","S1P3.C1",0.01871,0.08502
"485",NA,NA,NA
"486","S1P5.C1",-0.01203,-0.47641
"487",NA,NA,NA
"488","S2P1.C1",0.00326,0.08514
"489",NA,NA,NA
"490","S2P3.C1",0.02427,0.08524
"491",NA,NA,NA
"492","S2P5.C1",0.00922,0.07306
"493",NA,NA,NA
"494","S3P1.C1",0.02023,0.08501
"495",NA,NA,NA
"496","S3P3.C1",0.00476,0.08497
"497",NA,NA,NA
"498","S3P5.C1",0.00202,0.12841
"499",NA,NA,NA
"500","S1P2.C2",-0.00808,-0.47624
"501",NA,NA,NA
"502","S1P4.C2",0.00305,-1.20071
"503",NA,NA,NA
"504","S1P6.C2",0.01145,0.10655
"505",NA,NA,NA
"506","S2P2.C2",0.00373,0.07324
"507",NA,NA,NA
"508","S2P4.C2",0.01006,0.08531
"509",NA,NA,NA
"510","S2P6.C2",0.00931,0.08544
"511",NA,NA,NA
"512","S3P2.C2",0.00481,0.12861
"513",NA,NA,NA
"514","S3P4.C2",0.00727,0.08517
"515",NA,NA,NA
"516","S3P6.C2",0.01103,0.08515
"517",NA,NA,NA
"518","S1P2.W",0.00149,0.08269
"519",NA,NA,NA
"520","S1P4.W",-0.00817,0.08979
"521",NA,NA,NA
"522","S1P1.C1",0.01467,0.1142
"523",NA,NA,NA
"524","S1P3.C1",0.02857,0.10638
"525",NA,NA,NA
"526","S1P5.C1",-0.000983,-0.46218
"527",NA,NA,NA
"528","S2P1.C1",0.02026,0.10652
"529",NA,NA,NA
"530",NA,NA,NA
"531","S2P5.C1",0.01803,0.0944
"532",NA,NA,NA
"533","S3P1.C1",0.0222,0.10638
"534",NA,NA,NA
"535","S3P3.C1",-0.00768,0.10632
"536",NA,NA,NA
"537","S3P5.C1",-0.00198,0.14977
"538",NA,NA,NA
"539","S1P2.C2",-0.00461,-0.462
"540",NA,NA,NA
"541","S1P4.C2",-0.00486,-1.15806
"542",NA,NA,NA
"543",NA,NA,NA
"544","S2P2.C2",0.00718,0.09457
"545",NA,NA,NA
"546","S2P4.C2",0.02422,0.10669
"547",NA,NA,NA
"548","S2P6.C2",0.01299,0.10683
"549",NA,NA,NA
"550","S3P2.C2",0.00796,0.14997
"551",NA,NA,NA
"552","S3P4.C2",0.0123,0.10654
"553",NA,NA,NA
"554","S3P6.C2",0.00102,0.10649
"555",NA,NA,NA
"556","S1P2.W",0.00394,0.10405
"557",NA,NA,NA
"558","S1P4.W",-0.000661,0.11116
"559",NA,NA,NA
"560","S1P1.C1",0.03358,0.13557
"561",NA,NA,NA
"562",NA,NA,NA
"563","S1P5.C1",0.0134,-0.44794
"564",NA,NA,NA
"565","S2P1.C1",0.02617,0.12791
"566",NA,NA,NA
"567","S2P3.C1",0.01906,0.12799
"568",NA,NA,NA
"569","S2P5.C1",0.01333,0.11575
"570",NA,NA,NA
"571","S3P1.C1",0.0305,0.12774
"572",NA,NA,NA
"573","S3P3.C1",0.00712,0.12765
"574",NA,NA,NA
"575","S3P5.C1",0.00659,0.17817
"576",NA,NA,NA
"577","S1P2.C2",-0.00481,-0.44777
"578",NA,NA,NA
"579","S1P4.C2",0.00641,-1.12242
"580",NA,NA,NA
"581",NA,NA,NA
"582","S2P2.C2",0.01187,0.11593
"583",NA,NA,NA
"584","S2P4.C2",0.01903,0.12808
"585",NA,NA,NA
"586","S2P6.C2",0.00501,0.12816
"587",NA,NA,NA
"588","S3P2.C2",0.00609,0.17837
"589",NA,NA,NA
"590","S3P4.C2",0.00699,0.12791
"591",NA,NA,NA
"592","S3P6.C2",0.00423,0.12784
"593",NA,NA,NA
"594","S1P2.W",-0.00198,0.12542
"595",NA,NA,NA
"596","S1P4.W",0.00344,0.13253
"597",NA,NA,NA
"598","S1P1.C1",-0.00258,0.15692
"599",NA,NA,NA
"600",NA,NA,NA
"601","S1P5.C1",-0.00386,-0.4337
"602",NA,NA,NA
"603","S2P1.C1",0.00421,0.14927
"604",NA,NA,NA
