"","Label","Time","Time_Flux"
"1022","S1P2.C2","time",-1.14046
"1023","S1P2.C2","Flux",0.00672
"1024","S1P4.C2","time",0.61014
"1025","S1P6.C2","time",0.60221
"1026","S2P8.C2","time",0.4877
"1027","S2P8.C2","Flux",0.000932
"1028","S2P4.C2","time",0.56771
"1029","S2P6.C2","time",0.60326
"1030","S3P2.C2","time",0.58594
"1031","S3P4.C2","time",0.55405
"1032","S3P6.C2","time",0.67859
"1033","S1P1.C1","time",0.57429
"1034","S1P3.C1","time",0.60204
"1035","S1P5.C1","time",-1.12638
"1036","S1P5.C1","Flux",0.00255
"1037","S2P1.C1","time",0.56753
"1038","S2P3.C1","time",0.6149
"1039","S2P7.C1","time",0.50192
"1040","S2P7.C1","Flux",-0.000604
"1041","S3P1.C1","time",0.51819
"1042","S3P1.C1","Flux",-0.00897
"1043","S3P3.C1","time",0.64279
"1044","S3P5.C1","time",0.62495
"1045","S1P2.C2","time",-1.12619
"1046","S1P2.C2","Flux",-0.00943
"1047","S1P4.C2","time",0.64929
"1048","S1P6.C2","time",0.64137
"1049","S2P8.C2","time",0.50906
"1050","S2P8.C2","Flux",-0.00402
"1051","S2P4.C2","time",0.60334
"1052","S2P6.C2","time",0.6545
"1053","S3P2.C2","time",0.62514
"1054","S3P4.C2","time",0.59331
"1055","S3P6.C2","time",0.71773
"1056","S3P6.C2","Flux",0.01954
"1057","S1P1.C1","time",0.60994
"1058","S1P3.C1","time",0.64118
"1059","S1P5.C1","time",-1.11214
"1060","S1P5.C1","Flux",-0.00651
"1061","S2P1.C1","time",0.60317
"1062","S2P3.C1","time",0.66611
"1063","S2P7.C1","time",0.52686
"1064","S2P7.C1","Flux",-0.00218
"1065","S3P1.C1","time",0.55388
"1066","S3P3.C1","time",0.67838
"1067","S3P5.C1","time",0.66054
"1068","S1P2.C2","time",-1.11194
"1069","S1P2.C2","Flux",-0.000339
"1070","S1P4.C2","time",0.68497
"1071","S1P6.C2","time",0.67696
"1072","S2P8.C2","time",0.534
"1073","S2P8.C2","Flux",0.0076
"1074","S2P4.C2","time",0.6425
"1075","S2P6.C2","time",0.69012
"1076","S3P2.C2","time",0.66074
"1077","S3P4.C2","time",0.62891
"1078","S3P6.C2","time",0.75333
"1079","S3P6.C2","Flux",0.00403
"1080","S1P1.C1","time",0.6491
"1081","S1P3.C1","time",0.67679
"1082","S1P5.C1","time",-1.09789
"1083","S1P5.C1","Flux",0.000552
"1084","S2P1.C1","time",0.64233
"1085","S2P3.C1","time",0.70174
"1086","S2P7.C1","time",0.54823
"1087","S3P1.C1","time",0.59311
"1088","S3P3.C1","time",0.71752
"1089","S3P3.C1","Flux",0.0026
"1090","S3P5.C1","time",0.69971
"1091","S1P2.C2","time",-1.0977
"1092","S1P2.C2","Flux",0.00279
"1093","S1P4.C2","time",0.72416
"1094","S1P4.C2","Flux",0.02207
"1095","S1P6.C2","time",0.71612
"1096","S1P6.C2","Flux",0.01113
"1097","S2P8.C2","time",0.55537
"1098","S2P4.C2","time",0.67815
"1099","S2P6.C2","time",0.7413
"1100","S2P6.C2","Flux",-0.00392
"1101","S3P2.C2","time",0.69988
"1102","S3P4.C2","time",0.66813
"1103","S3P6.C2","time",0.7925
"1104","S3P6.C2","Flux",0.00908
"1105","S1P1.C1","time",0.68477
"1106","S1P3.C1","time",0.71596
"1107","S1P3.C1","Flux",-0.00165
"1108","S1P5.C1","time",-1.08365
"1109","S1P5.C1","Flux",0.00671
"1110","S2P1.C1","time",0.67797
"1111","S2P3.C1","time",0.75292
"1112","S2P3.C1","Flux",-0.01267
"1113","S2P7.C1","time",0.56962
"1114","S3P1.C1","time",0.62876
"1115","S3P3.C1","time",0.75313
"1116","S3P3.C1","Flux",-0.00399
"1117","S3P5.C1","time",0.73531
"1118","S3P5.C1","Flux",0.00315
