"","X1","X2","X3"
"185","S1P6.C2",-0.00598,-0.25047
"186",NA,NA,NA
"187","S2P2.C2",-0.01355,-0.27904
"188",NA,NA,NA
"189",NA,NA,NA
"190",NA,NA,NA
"191",NA,NA,NA
"192","S3P4.C2",-0.00498,-0.26264
"193",NA,NA,NA
"194","S3P6.C2",0.00318,-0.27758
"195",NA,NA,NA
"196","S1P2.W",-0.00441,-0.30575
"197",NA,NA,NA
"198","S1P4.W",-0.00269,-0.27012
"199",NA,NA,NA
"200",NA,NA,NA
"201","S1P3.C1",-0.000577,-0.20083
"202",NA,NA,NA
"203","S1P5.C1",-0.00763,-0.58317
"204",NA,NA,NA
"205",NA,NA,NA
"206","S2P3.C1",-0.00434,-0.238
"207",NA,NA,NA
"208","S2P5.C1",0.000967,-0.22941
"209",NA,NA,NA
"210","S3P1.C1",-0.01526,-0.21302
"211",NA,NA,NA
"212","S3P3.C1",-0.00881,-0.22802
"213",NA,NA,NA
"214",NA,NA,NA
"215","S1P2.C2",0.00985,-0.583
"216",NA,NA,NA
"217","S1P4.C2",-0.0053,-1.47118
"218",NA,NA,NA
"219","S1P6.C2",-0.00169,-0.17212
"220",NA,NA,NA
"221","S2P2.C2",-0.00627,-0.20068
"222",NA,NA,NA
"223",NA,NA,NA
"224",NA,NA,NA
"225",NA,NA,NA
"226","S3P4.C2",-0.00711,-0.18434
"227",NA,NA,NA
"228",NA,NA,NA
"229","S1P2.W",7.88e-05,-0.22748
"230",NA,NA,NA
"231","S1P4.W",0.00595,-0.19185
"232",NA,NA,NA
"233",NA,NA,NA
"234","S1P3.C1",-0.00649,-0.12244
"235",NA,NA,NA
"236","S1P5.C1",-0.00528,-0.56892
"237",NA,NA,NA
"238",NA,NA,NA
"239","S2P3.C1",-0.000166,-0.1616
"240",NA,NA,NA
"241","S2P5.C1",0.000103,-0.15111
"242",NA,NA,NA
"243","S3P1.C1",-0.000883,-0.13472
"244",NA,NA,NA
"245","S3P3.C1",-0.003,-0.14976
"246",NA,NA,NA
"247",NA,NA,NA
"248","S1P2.C2",-0.0026,-0.56874
"249",NA,NA,NA
"250",NA,NA,NA
"251","S1P6.C2",-0.000388,-0.09373
"252",NA,NA,NA
"253",NA,NA,NA
"254",NA,NA,NA
"255",NA,NA,NA
"256",NA,NA,NA
"257","S3P4.C2",0.000594,-0.10604
"258",NA,NA,NA
"259",NA,NA,NA
"260","S1P2.W",-0.0017,-0.14918
"261",NA,NA,NA
"262","S1P4.W",-0.00432,-0.11354
"263",NA,NA,NA
"264",NA,NA,NA
"265","S1P3.C1",-0.00237,-0.04409
"266",NA,NA,NA
"267","S1P5.C1",0.00297,-0.55466
"268",NA,NA,NA
"269",NA,NA,NA
"270","S2P3.C1",0.00714,-0.08523
"271",NA,NA,NA
"272",NA,NA,NA
"273","S3P1.C1",0.00657,-0.05639
"274",NA,NA,NA
"275","S3P3.C1",0.00374,-0.07152
"276",NA,NA,NA
"277",NA,NA,NA
"278","S1P2.C2",0.03106,-0.55449
"279",NA,NA,NA
"280",NA,NA,NA
"281","S1P6.C2",-0.00513,-0.00727
"282",NA,NA,NA
"283",NA,NA,NA
"284","S2P4.C2",0.00159,-0.02988
"285",NA,NA,NA
"286",NA,NA,NA
"287",NA,NA,NA
"288","S3P4.C2",-0.00339,-0.02773
"289",NA,NA,NA
"290","S3P6.C2",0.00454,-0.04285
"291",NA,NA,NA
"292","S1P2.W",0.00286,-0.07093
"293",NA,NA,NA
"294","S1P4.W",-0.00353,-0.03534
"295",NA,NA,NA
"296","S1P1.C1",-0.0042,0.000313
"297",NA,NA,NA
"298","S1P3.C1",0.00138,-0.00744
"299",NA,NA,NA
"300","S1P5.C1",0.01224,-0.54042
"301",NA,NA,NA
"302",NA,NA,NA
"303","S2P3.C1",-0.00459,-0.00734
"304",NA,NA,NA
"305",NA,NA,NA
"306","S3P1.C1",-0.00317,-0.00745
"307",NA,NA,NA
"308","S3P3.C1",-0.0048,-0.00747
"309",NA,NA,NA
"310","S3P5.C1",0.03428,0.03589
"311",NA,NA,NA
"312","S1P2.C2",0.00371,-0.54024
"313",NA,NA,NA
"314",NA,NA,NA
"315","S1P6.C2",0.00958,0.01411
"316",NA,NA,NA
"317",NA,NA,NA
"318","S2P4.C2",-0.02489,-0.00728
"319",NA,NA,NA
"320","S2P6.C2",-0.00692,-0.00716
"321",NA,NA,NA
"322","S3P2.C2",-0.00197,0.03609
"323",NA,NA,NA
"324","S3P4.C2",0.00771,-0.00729
"325",NA,NA,NA
"326","S3P6.C2",0.00678,-0.00729
"327",NA,NA,NA
"328","S1P2.W",0.000333,-0.00985
"329",NA,NA,NA
"330","S1P4.W",0.00231,-0.00274
"331",NA,NA,NA
"332","S1P1.C1",-0.0051,0.02169
"333",NA,NA,NA
"334","S1P3.C1",0.00341,0.01394
"335",NA,NA,NA
"336","S1P5.C1",0.00222,-0.52617
"337",NA,NA,NA
"338","S2P1.C1",-0.00262,0.01392
"339",NA,NA,NA
"340","S2P3.C1",0.01482,0.01406
"341",NA,NA,NA
"342",NA,NA,NA
"343","S3P1.C1",0.0015,0.01392
"344",NA,NA,NA
"345","S3P3.C1",-0.00854,0.01389
"346",NA,NA,NA
"347",NA,NA,NA
"348","S1P2.C2",-0.00313,-0.526
"349",NA,NA,NA
"350",NA,NA,NA
"351","S1P6.C2",0.00613,0.03546
"352",NA,NA,NA
"353",NA,NA,NA
"354","S2P4.C2",-0.00693,0.0141
"355",NA,NA,NA
"356","S2P6.C2",0.00816,0.01427
"357",NA,NA,NA
"358","S3P2.C2",-0.01187,0.05745
"359",NA,NA,NA
"360","S3P4.C2",0.00799,0.01409
"361",NA,NA,NA
"362","S3P6.C2",-0.00715,0.01407
"363",NA,NA,NA
"364","S1P2.W",-0.00899,0.0115
"365",NA,NA,NA
"366","S1P4.W",-0.00234,0.01862
"367",NA,NA,NA
"368","S1P1.C1",0.00149,0.04309
"369",NA,NA,NA
"370","S1P3.C1",-0.00921,0.03529
"371",NA,NA,NA
"372","S1P5.C1",-0.00242,-0.51193
"373",NA,NA,NA
"374","S2P1.C1",0.00694,0.0353
"375",NA,NA,NA
"376","S2P3.C1",-0.00436,0.03544
"377",NA,NA,NA
"378",NA,NA,NA
"379","S3P1.C1",0.00118,0.03528
"380",NA,NA,NA
"381","S3P3.C1",-0.01289,0.03523
"382",NA,NA,NA
"383","S3P5.C1",-0.00832,0.08562
"384",NA,NA,NA
"385",NA,NA,NA
"386","S1P4.C2",-0.01347,-1.27897
"387",NA,NA,NA
"388","S1P6.C2",-0.00168,0.05681
"389",NA,NA,NA
"390",NA,NA,NA
"391","S2P4.C2",0.01703,0.03547
"392",NA,NA,NA
"393","S2P6.C2",-0.00679,0.03564
"394",NA,NA,NA
"395","S3P2.C2",0.00224,0.08583
"396",NA,NA,NA
"397","S3P4.C2",-0.00147,0.03544
"398",NA,NA,NA
"399","S3P6.C2",0.000177,0.03542
"400",NA,NA,NA
"401","S1P2.W",-0.00414,0.03288
"402",NA,NA,NA
"403","S1P4.W",-0.00609,0.04
"404",NA,NA,NA
"405","S1P1.C1",0.01543,0.06444
"406",NA,NA,NA
"407","S1P3.C1",-0.00703,0.05663
"408",NA,NA,NA
"409","S1P5.C1",-0.01084,-0.49065
"410",NA,NA,NA
"411","S2P1.C1",-0.00491,0.05667
"412",NA,NA,NA
"413","S2P3.C1",-0.00618,0.05685
"414",NA,NA,NA
"415",NA,NA,NA
"416","S3P1.C1",0.00525,0.05666
"417",NA,NA,NA
"418","S3P3.C1",-0.01177,0.05659
"419",NA,NA,NA
"420",NA,NA,NA
"421",NA,NA,NA
"422","S1P4.C2",0.01175,-1.23634
"423",NA,NA,NA
"424",NA,NA,NA
"425",NA,NA,NA
"426","S2P4.C2",0.02232,0.05688
"427",NA,NA,NA
"428","S2P6.C2",-0.00516,0.05705
"429",NA,NA,NA
"430","S3P2.C2",0.000724,0.10719
"431",NA,NA,NA
"432","S3P4.C2",-0.00875,0.05682
"433",NA,NA,NA
"434","S3P6.C2",0.009,0.05676
"435",NA,NA,NA
"436","S1P2.W",0.0016,0.05425
"437",NA,NA,NA
"438","S1P4.W",-0.0062,0.06137
"439",NA,NA,NA
"440","S1P1.C1",-0.00724,0.09284
"441",NA,NA,NA
"442","S1P3.C1",0.00472,0.08502
"443",NA,NA,NA
"444","S1P5.C1",-0.01107,-0.47641
"445",NA,NA,NA
"446","S2P1.C1",-0.01679,0.08514
"447",NA,NA,NA
"448","S2P3.C1",0.0036,0.08524
"449",NA,NA,NA
"450",NA,NA,NA
"451","S3P1.C1",0.00202,0.08501
"452",NA,NA,NA
"453","S3P3.C1",-0.01281,0.08497
"454",NA,NA,NA
"455","S3P5.C1",-8.68e-05,0.12841
"456",NA,NA,NA
"457",NA,NA,NA
"458","S1P4.C2",0.00128,-1.20071
"459",NA,NA,NA
"460",NA,NA,NA
"461",NA,NA,NA
"462","S2P4.C2",0.03503,0.08531
"463",NA,NA,NA
"464","S2P6.C2",-0.000316,0.08544
"465",NA,NA,NA
"466","S3P2.C2",0.0115,0.12861
"467",NA,NA,NA
"468","S3P4.C2",0.0079,0.08517
"469",NA,NA,NA
"470","S3P6.C2",0.00646,0.08515
"471",NA,NA,NA
"472","S1P2.W",0.00381,0.08269
"473",NA,NA,NA
"474","S1P4.W",-0.0038,0.08979
"475",NA,NA,NA
"476","S1P1.C1",0.000496,0.1142
"477",NA,NA,NA
"478",NA,NA,NA
"479",NA,NA,NA
"480","S2P1.C1",0.00933,0.10652
"481",NA,NA,NA
"482",NA,NA,NA
"483",NA,NA,NA
"484","S3P1.C1",-0.00619,0.10638
"485",NA,NA,NA
"486","S3P3.C1",-0.00352,0.10632
"487",NA,NA,NA
"488","S3P5.C1",-0.00647,0.14977
"489",NA,NA,NA
"490",NA,NA,NA
"491",NA,NA,NA
"492",NA,NA,NA
"493",NA,NA,NA
"494","S2P4.C2",0.02292,0.10669
"495",NA,NA,NA
"496","S2P6.C2",0.00439,0.10683
"497",NA,NA,NA
"498","S3P2.C2",0.00946,0.14997
"499",NA,NA,NA
"500","S3P4.C2",0.01952,0.10654
"501",NA,NA,NA
"502","S3P6.C2",0.00868,0.10649
"503",NA,NA,NA
"504","S1P2.W",-0.00251,0.10405
"505",NA,NA,NA
"506","S1P4.W",0.00215,0.11116
"507",NA,NA,NA
"508","S1P1.C1",0.00469,0.13557
"509",NA,NA,NA
"510",NA,NA,NA
"511",NA,NA,NA
"512","S2P1.C1",0.00269,0.12791
"513",NA,NA,NA
"514","S2P3.C1",-0.00816,0.12799
"515",NA,NA,NA
"516",NA,NA,NA
"517","S3P1.C1",0.00839,0.12774
"518",NA,NA,NA
"519","S3P3.C1",-0.00793,0.12765
"520",NA,NA,NA
"521","S3P5.C1",0.00268,0.17817
"522",NA,NA,NA
"523",NA,NA,NA
"524","S1P4.C2",-0.03237,-1.12242
"525",NA,NA,NA
"526",NA,NA,NA
"527",NA,NA,NA
"528","S2P4.C2",0.04509,0.12808
"529",NA,NA,NA
"530","S2P6.C2",0.01126,0.12816
"531",NA,NA,NA
"532","S3P2.C2",0.02025,0.17837
"533",NA,NA,NA
"534","S3P4.C2",0.04178,0.12791
"535",NA,NA,NA
"536","S3P6.C2",0.00595,0.12784
"537",NA,NA,NA
"538","S1P2.W",-0.00809,0.12542
"539",NA,NA,NA
"540","S1P4.W",0.00375,0.13253
"541",NA,NA,NA
"542","S1P1.C1",0.01049,0.15692
"543",NA,NA,NA
"544",NA,NA,NA
"545",NA,NA,NA
"546","S2P1.C1",-0.00503,0.14927
"547",NA,NA,NA
"548","S2P3.C1",-0.00213,0.14939
"549",NA,NA,NA
"550",NA,NA,NA
"551","S3P1.C1",0.00156,0.14913
"552",NA,NA,NA
"553","S3P3.C1",0.00321,0.149
"554",NA,NA,NA
"555","S3P5.C1",-0.00853,0.19959
"556",NA,NA,NA
"557",NA,NA,NA
"558","S1P4.C2",-0.0081,-1.07972
"559",NA,NA,NA
"560",NA,NA,NA
"561",NA,NA,NA
"562","S2P4.C2",0.06249,0.14944
"563",NA,NA,NA
"564","S2P6.C2",0.00722,0.14959
"565",NA,NA,NA
"566","S3P2.C2",0.04705,0.19979
"567",NA,NA,NA
