"","Label","Pyr","Flux","Time","Condition"
"1524","S1P5","C1",0.00421,0.70488,"Pre-Drought"
"1525","S1P2","C2",-0.00079,0.74059,"Pre-Drought"
"1526","S1P5","C1",0.00306,0.7191,"Pre-Drought"
"1527","S1P2","C2",0.02175,0.75481,"Pre-Drought"
"1528","S1P5","C1",-0.00268,0.74041,"Pre-Drought"
"1529","S1P2","C2",-0.00114,0.77971,"Pre-Drought"
"1530","S1P5","C1",-0.00181,0.75464,"Pre-Drought"
"1531","S1P2","C2",-0.00584,0.79399,"Pre-Drought"
"1532","S1P5","C1",0.000775,0.77953,"Pre-Drought"
"1533","S1P2","C2",-0.0085,0.81529,"Pre-Drought"
"1534","S1P5","C1",-0.0101,0.7938,"Pre-Drought"
"1535","S1P2","C2",0.00555,0.82955,"Pre-Drought"
"1536","S1P5","C1",-0.00179,0.8151,"Pre-Drought"
"1537","S1P2","C2",-0.00673,0.85446,"Pre-Drought"
"1538","S1P5","C1",0.0131,0.82936,"Pre-Drought"
"1539","S1P2","C2",-0.00582,0.86872,"Pre-Drought"
"1540","S1P5","C1",-0.0022,0.85427,"Pre-Drought"
"1541","S1P2","C2",0.00636,0.89005,"Pre-Drought"
"1542","S1P5","C1",0.00575,0.86853,"Pre-Drought"
"1543","S1P2","C2",0.00208,0.90431,"Pre-Drought"
"1544","S1P5","C1",-0.000726,0.88986,"Pre-Drought"
"1545","S1P2","C2",0.00678,0.92925,"Pre-Drought"
"1546","S1P5","C1",-0.00911,0.90412,"Pre-Drought"
"1547","S1P2","C2",0.01239,0.94351,"Pre-Drought"
"1548","S1P5","C1",-0.0033,0.92906,"Pre-Drought"
"1549","S1P2","C2",-0.00324,0.96492,"Pre-Drought"
"1550","S1P5","C1",0.01127,0.94332,"Pre-Drought"
"1551","S1P2","C2",0.00569,0.97919,"Pre-Drought"
"1552","S1P5","C1",0.00799,0.96473,"Pre-Drought"
"1553","S1P2","C2",-0.00344,1.04209,"Pre-Drought"
"1554","S1P5","C1",-0.00229,0.979,"Pre-Drought"
"1555","S1P2","C2",0.01348,1.08493,"Pre-Drought"
"1556","S1P5","C1",0.01104,1.02762,"Pre-Drought"
"1557","S1P2","C2",0.00205,1.13127,"Pre-Drought"
"1558","S1P5","C1",-0.0142,1.07046,"Pre-Drought"
"1559","S1P2","C2",0.00622,1.17411,"Pre-Drought"
"1560","S1P5","C1",-0.000928,1.11681,"Pre-Drought"
"1561","S1P2","C2",-0.00221,1.22043,"Pre-Drought"
"1562","S1P5","C1",0.00763,1.15965,"Pre-Drought"
"1563","S1P2","C2",-0.0178,1.26324,"Pre-Drought"
"1564","S1P5","C1",0.00118,1.20601,"Pre-Drought"
"1565","S1P2","C2",-0.00513,1.34006,"Pre-Drought"
"1566","S1P5","C1",0.01413,1.24878,"Pre-Drought"
"1567","S1P2","C2",-0.0105,1.37569,"Pre-Drought"
"1568","S1P5","C1",-0.00672,1.29514,"Pre-Drought"
"1569","S1P2","C2",0.0097,1.41486,"Pre-Drought"
"1570","S1P5","C1",-0.00204,1.33987,"Pre-Drought"
"1571","S1P2","C2",0.01054,1.45056,"Pre-Drought"
"1572","S1P5","C1",-0.0018,1.37552,"Pre-Drought"
"1573","S1P2","C2",-0.00276,1.48972,"Pre-Drought"
"1574","S1P5","C1",-0.01543,1.41468,"Pre-Drought"
"1575","S1P2","C2",-0.00989,1.52536,"Pre-Drought"
"1576","S1P5","C1",0.01091,1.45037,"Pre-Drought"
"1577","S1P2","C2",0.00444,1.56456,"Pre-Drought"
"1578","S1P5","C1",-0.00306,1.48955,"Pre-Drought"
"1579","S1P2","C2",-0.00406,1.6002,"Pre-Drought"
"1580","S1P5","C1",0.00579,1.52517,"Pre-Drought"
"1581","S1P2","C2",-0.01463,1.63939,"Pre-Drought"
"1582","S1P5","C1",0.02343,1.56438,"Pre-Drought"
"1583","S1P2","C2",-0.00368,1.67499,"Pre-Drought"
"1584","S1P5","C1",0.01142,1.60001,"Pre-Drought"
"1585","S1P2","C2",-0.00076,1.71414,"Pre-Drought"
"1586","S1P5","C1",0.03032,1.63921,"Pre-Drought"
"1587","S1P2","C2",0.00695,1.74976,"Pre-Drought"
"1588","S1P5","C1",0.00371,1.67481,"Pre-Drought"
"1589","S1P2","C2",0.00486,1.78892,"Pre-Drought"
"1590","S1P5","C1",0.01322,1.71396,"Pre-Drought"
"1591","S1P2","C2",0.000169,1.82458,"Pre-Drought"
"1592","S1P5","C1",0.0061,1.74957,"Pre-Drought"
"1593","S1P2","C2",0.02262,1.86376,"Pre-Drought"
"1594","S1P5","C1",0.00767,1.78875,"Pre-Drought"
"1595","S1P2","C2",-0.00767,1.89942,"Pre-Drought"
"1596","S1P5","C1",-0.00784,1.8244,"Pre-Drought"
"1597","S1P2","C2",0.000123,1.93867,"Pre-Drought"
"1598","S1P5","C1",-0.00457,1.86359,"Pre-Drought"
"1599","S1P2","C2",0.0086,1.97431,"Pre-Drought"
"1600","S1P5","C1",-0.01045,1.89924,"Pre-Drought"
"1601","S1P5","C1",-0.01045,1.93848,"Pre-Drought"
"1602","S1P5","C1",-0.00502,1.93848,"Pre-Drought"
"1603","S1P5","C1",-0.00502,1.97413,"Pre-Drought"
"1604","S1P5","C1",-0.00761,1.97413,"Pre-Drought"
