"","Label","Pyr","Flux","Time","Condition"
"427","S1P1","C1",-0.00743,0.71583,"Drought"
"428","S2P3","C1",0.00239,0.72794,"Drought"
"429","S3P5","C1",-0.00834,0.79199,"Drought"
"430","S1P4","C2",0.00694,0.11439,"Drought"
"431","S1P6","C2",0.1359,0.74369,"Drought"
"432","S2P6","C2",0.01476,0.72814,"Drought"
"433","S3P2","C2",0.14506,0.79219,"Drought"
"434","S1P2","W",-0.00633,0.51685,"Drought"
"435","S1P4","W",-0.0052,0.52398,"Drought"
"436","S1P1","C1",0.0043,0.75846,"Drought"
"437","S1P3","C1",0.02283,0.74351,"Drought"
"438","S2P3","C1",0.01013,0.77064,"Drought"
"439","S3P1","C1",0.01863,0.73351,"Drought"
"440","S3P3","C1",0.0042,0.74206,"Drought"
"441","S1P4","C2",0.00218,0.13575,"Drought"
"442","S1P6","C2",0.11853,0.77927,"Drought"
"443","S2P2","C2",0.05888,0.70396,"Drought"
"444","S2P6","C2",0.01165,0.77084,"Drought"
"445","S3P2","C2",0.12102,0.83484,"Drought"
"446","S3P4","C2",0.25128,0.73367,"Drought"
"447","S3P6","C2",0.07471,0.74225,"Drought"
"448","S1P2","W",-0.00245,0.54524,"Drought"
"449","S1P4","W",-0.000146,0.55236,"Drought"
"450","S1P1","C1",2.94e-05,0.7941,"Drought"
"451","S1P3","C1",0.0063,0.7791,"Drought"
"452","S2P3","C1",0.00295,0.8063,"Drought"
"453","S2P5","C1",0.01252,0.74646,"Drought"
"454","S3P1","C1",0.01238,0.76918,"Drought"
"455","S3P3","C1",-0.00518,0.77772,"Drought"
"456","S1P4","C2",0.01157,0.15711,"Drought"
"457","S1P6","C2",0.12027,0.82191,"Drought"
"458","S2P2","C2",0.05938,0.74662,"Drought"
"459","S2P6","C2",0.01043,0.80649,"Drought"
"460","S3P2","C2",0.13809,0.87047,"Drought"
"461","S3P4","C2",0.2384,0.76934,"Drought"
"462","S3P6","C2",0.08839,0.77791,"Drought"
"463","S1P2","W",-0.0021,0.5666,"Drought"
"464","S1P4","W",-0.00598,0.57373,"Drought"
"465","S1P1","C1",0.00895,0.83676,"Drought"
"466","S1P3","C1",0.00761,0.82172,"Drought"
"467","S2P3","C1",-0.00255,0.84902,"Drought"
"468","S2P5","C1",0.0157,0.78206,"Drought"
"469","S3P1","C1",0.01539,0.8099,"Drought"
"470","S3P3","C1",-0.01166,0.82037,"Drought"
"471","S1P4","C2",0.01456,0.18553,"Drought"
"472","S1P6","C2",0.11898,0.85755,"Drought"
"473","S2P2","C2",0.06862,0.78223,"Drought"
"474","S2P6","C2",0.00735,0.8492,"Drought"
"475","S3P2","C2",0.13844,0.91312,"Drought"
"476","S3P4","C2",0.22026,0.81006,"Drought"
"477","S3P6","C2",0.07408,0.82056,"Drought"
"478","S1P1","C1",-0.00094,0.8724,"Drought"
"479","S1P3","C1",0.00681,0.85736,"Drought"
"480","S2P3","C1",0.00537,0.88469,"Drought"
"481","S2P5","C1",-0.00231,0.82473,"Drought"
"482","S3P1","C1",0.0119,0.84558,"Drought"
"483","S3P3","C1",-0.00585,0.85601,"Drought"
"484","S1P4","C2",0.01163,0.20691,"Drought"
"485","S1P6","C2",0.11424,0.90022,"Drought"
"486","S2P2","C2",0.06642,0.82491,"Drought"
"487","S2P6","C2",0.01569,0.88488,"Drought"
"488","S3P2","C2",0.14514,0.94875,"Drought"
"489","S3P4","C2",0.28253,0.84574,"Drought"
"490","S3P6","C2",0.10058,0.85619,"Drought"
"491","S1P1","C1",-0.00429,0.91507,"Drought"
"492","S1P3","C1",0.00436,0.90003,"Drought"
"493","S2P3","C1",-0.00315,0.92742,"Drought"
"494","S2P5","C1",0.00508,0.86036,"Drought"
"495","S3P1","C1",0.02143,0.88627,"Drought"
"496","S3P5","C1",-0.00303,1.00681,"Drought"
"497","S1P4","C2",0.00573,0.2283,"Drought"
"498","S1P6","C2",0.11711,0.93578,"Drought"
"499","S2P2","C2",0.06605,0.86053,"Drought"
"500","S2P6","C2",0.02102,0.92758,"Drought"
"501","S3P2","C2",0.1758,1.02126,"Drought"
"502","S3P4","C2",0.19943,0.88644,"Drought"
"503","S1P1","C1",0.00603,0.95073,"Drought"
"504","S1P3","C1",0.01596,0.9356,"Drought"
"505","S2P3","C1",0.00777,0.96304,"Drought"
"506","S2P5","C1",0.00369,0.90302,"Drought"
"507","S3P1","C1",0.02086,0.92193,"Drought"
"508","S3P5","C1",-0.0023,1.04956,"Drought"
"509","S1P4","C2",0.01702,0.24968,"Drought"
"510","S1P6","C2",0.20095,1.02119,"Drought"
"511","S2P2","C2",0.07784,0.90319,"Drought"
"512","S2P6","C2",0.01953,0.96324,"Drought"
"513","S3P2","C2",0.20215,1.06404,"Drought"
"514","S3P4","C2",0.32106,0.92211,"Drought"
"515","S1P1","C1",0.00645,1.00676,"Drought"
"516","S1P3","C1",0.01573,0.97824,"Drought"
"517","S2P1","C1",-0.0075,1.01458,"Drought"
"518","S2P3","C1",0.00933,1.00683,"Drought"
"519","S2P5","C1",-0.0038,0.93861,"Drought"
"520","S3P1","C1",0.01213,0.96266,"Drought"
"521","S3P5","C1",0.00318,1.0994,"Drought"
"522","S1P4","C2",0.01098,0.28872,"Drought"
"523","S1P6","C2",0.25149,1.06388,"Drought"
"524","S2P2","C2",0.08083,0.93877,"Drought"
"525","S2P4","C2",0.27474,1.029,"Drought"
"526","S2P6","C2",0.0332,1.02123,"Drought"
"527","S3P2","C2",0.22317,1.11385,"Drought"
"528","S3P4","C2",0.50257,0.96282,"Drought"
"529","S3P6","C2",0.10104,1.00922,"Drought"
"530","S1P1","C1",0.01355,1.04949,"Drought"
"531","S1P3","C1",0.01529,1.00678,"Drought"
"532","S1P5","C1",-0.01301,-0.06387,"Drought"
"533","S2P1","C1",0.01098,1.05734,"Drought"
"534","S2P3","C1",0.02164,1.04953,"Drought"
"535","S2P5","C1",-7.75e-05,0.98123,"Drought"
"536","S3P1","C1",0.01734,1.00693,"Drought"
"537","S3P5","C1",0.00429,1.14216,"Drought"
"538","S1P4","C2",0.02682,0.3244,"Drought"
"539","S1P6","C2",0.2424,1.11361,"Drought"
"540","S2P2","C2",0.08056,1.02123,"Drought"
"541","S2P4","C2",0.32852,1.07176,"Drought"
"542","S2P6","C2",0.03341,1.06391,"Drought"
"543","S3P2","C2",0.23096,1.15661,"Drought"
"544","S3P4","C2",0.48742,1.02138,"Drought"
"545","S3P6","C2",0.23561,1.05196,"Drought"
"546","S1P1","C1",0.00939,1.09922,"Drought"
"547","S1P3","C1",0.03307,1.04948,"Drought"
"548","S2P1","C1",-0.00655,1.10708,"Drought"
"549","S2P5","C1",0.000526,1.00682,"Drought"
"550","S3P1","C1",0.00829,1.04972,"Drought"
"551","S3P5","C1",-0.00322,1.19193,"Drought"
"552","S1P4","C2",0.02604,0.36705,"Drought"
"553","S1P6","C2",0.22416,1.15631,"Drought"
"554","S2P2","C2",0.12642,1.06398,"Drought"
"555","S2P4","C2",0.34195,1.1215,"Drought"
"556","S3P2","C2",0.23895,1.20639,"Drought"
"557","S3P4","C2",0.55715,1.06414,"Drought"
"558","S3P6","C2",0.25349,1.10169,"Drought"
"559","S1P1","C1",-0.00113,1.14197,"Drought"
"560","S1P3","C1",0.01523,1.09921,"Drought"
"561","S1P5","C1",0.00762,-0.000486,"Drought"
"562","S2P1","C1",-0.000338,1.1498,"Drought"
"563","S2P5","C1",0.000774,1.04956,"Drought"
"564","S3P1","C1",0.02184,1.09953,"Drought"
"565","S3P5","C1",0.00179,1.23472,"Drought"
"566","S1P2","C2",-0.00286,-0.000324,"Drought"
"567","S1P4","C2",0.04429,0.40271,"Drought"
