"","X1","X2","X3"
"137","S2P6.C2",-0.02135,-0.3615
"138",NA,NA,NA
"139","S3P2.C2",-0.01879,-0.38734
"140",NA,NA,NA
"141","S3P4.C2",0.00424,-0.36851
"142",NA,NA,NA
"143","S3P6.C2",0.00491,-0.39722
"144",NA,NA,NA
"145","S1P1.C1",-0.00125,-0.32916
"146",NA,NA,NA
"147","S1P3.C1",-0.00501,-0.30537
"148",NA,NA,NA
"149","S1P5.C1",0.00234,-1.52872
"150",NA,NA,NA
"151","S2P1.C1",-0.00876,-0.34657
"152",NA,NA,NA
"153","S2P3.C1",0.01202,-0.30354
"154",NA,NA,NA
"155","S2P7.C1",0.00234,-0.30787
"156",NA,NA,NA
"157","S3P1.C1",0.00118,-0.3972
"158",NA,NA,NA
"159","S3P3.C1",0.01217,-0.35117
"160",NA,NA,NA
"161","S3P5.C1",-0.000341,-0.34138
"162",NA,NA,NA
"163","S1P2.C2",0.0143,-1.52853
"164",NA,NA,NA
"165","S1P4.C2",0.00976,-0.30044
"166",NA,NA,NA
"167","S1P6.C2",-0.01323,-0.27668
"168",NA,NA,NA
"169","S2P8.C2",0.00143,-0.27227
"170",NA,NA,NA
"171","S2P4.C2",0.00744,-0.31791
"172",NA,NA,NA
"173","S2P6.C2",0.00187,-0.28663
"174",NA,NA,NA
"175","S3P2.C2",0.00832,-0.31274
"176",NA,NA,NA
"177","S3P4.C2",-0.00458,-0.29367
"178",NA,NA,NA
"179","S3P6.C2",-0.00377,-0.32248
"180",NA,NA,NA
"181","S1P1.C1",-0.00527,-0.25434
"182",NA,NA,NA
"183","S1P3.C1",-0.01167,-0.21856
"184",NA,NA,NA
"185","S1P5.C1",-0.02499,-1.51449
"186",NA,NA,NA
"187","S2P1.C1",0.00562,-0.27181
"188",NA,NA,NA
"189","S2P3.C1",0.005,-0.22868
"190",NA,NA,NA
"191","S2P7.C1",-0.00526,-0.23316
"192",NA,NA,NA
"193","S3P1.C1",-0.00183,-0.32236
"194",NA,NA,NA
"195","S3P3.C1",-0.00087,-0.27639
"196",NA,NA,NA
"197","S3P5.C1",0.00309,-0.26672
"198",NA,NA,NA
"199","S1P2.C2",-0.00596,-1.51431
"200",NA,NA,NA
"201","S1P4.C2",-0.00904,-0.22564
"202",NA,NA,NA
"203","S1P6.C2",-0.01284,-0.18968
"204",NA,NA,NA
"205","S2P8.C2",0.00226,-0.19753
"206",NA,NA,NA
"207","S2P4.C2",-0.0138,-0.24313
"208",NA,NA,NA
"209","S2P6.C2",0.00248,-0.21178
"210",NA,NA,NA
"211","S3P2.C2",-0.00236,-0.23808
"212",NA,NA,NA
"213","S3P4.C2",-0.01868,-0.21884
"214",NA,NA,NA
"215","S3P6.C2",-0.00502,-0.24769
"216",NA,NA,NA
"217","S1P1.C1",-0.00695,-0.17954
"218",NA,NA,NA
"219","S1P3.C1",0.00841,-0.1298
"220",NA,NA,NA
"221","S1P5.C1",-0.00519,-1.49675
"222",NA,NA,NA
"223","S2P1.C1",0.01305,-0.19699
"224",NA,NA,NA
"225","S2P3.C1",-0.00122,-0.15382
"226",NA,NA,NA
"227","S2P7.C1",0.01271,-0.15837
"228",NA,NA,NA
"229","S3P1.C1",0.02139,-0.24753
"230",NA,NA,NA
"231","S3P3.C1",0.000403,-0.20163
"232",NA,NA,NA
"233","S3P5.C1",0.00385,-0.19205
"234",NA,NA,NA
"235","S1P2.C2",-0.00439,-1.49659
"236",NA,NA,NA
"237","S1P4.C2",-0.00907,-0.15082
"238",NA,NA,NA
"239","S1P6.C2",0.00872,-0.10104
"240",NA,NA,NA
"241","S2P8.C2",0.00632,-0.12279
"242",NA,NA,NA
"243","S2P4.C2",0.0025,-0.16826
"244",NA,NA,NA
"245","S2P6.C2",0.01517,-0.1369
"246",NA,NA,NA
"247","S3P2.C2",-0.00133,-0.16334
"248",NA,NA,NA
"249","S3P4.C2",-0.00278,-0.14403
"250",NA,NA,NA
"251","S3P6.C2",-0.00158,-0.17293
"252",NA,NA,NA
"253","S1P1.C1",0.00738,-0.10471
"254",NA,NA,NA
"255","S1P3.C1",-0.0146,-0.04495
"256",NA,NA,NA
"257","S1P5.C1",0.00911,-1.48253
"258",NA,NA,NA
"259","S2P1.C1",-0.0026,-0.12216
"260",NA,NA,NA
"261","S2P3.C1",0.0202,-0.07897
"262",NA,NA,NA
"263","S2P7.C1",0.00141,-0.08367
"264",NA,NA,NA
"265","S3P1.C1",-0.00265,-0.1727
"266",NA,NA,NA
"267","S3P3.C1",0.00635,-0.12685
"268",NA,NA,NA
"269","S3P5.C1",-0.0077,-0.11728
"270",NA,NA,NA
"271","S1P2.C2",0.00567,-1.48236
"272",NA,NA,NA
"273","S1P4.C2",-0.00609,-0.07598
"274",NA,NA,NA
"275","S1P6.C2",0.00761,-0.00735
"276",NA,NA,NA
"277","S2P8.C2",0.01461,-0.04801
"278",NA,NA,NA
"279","S2P4.C2",0.01858,-0.09343
"280",NA,NA,NA
"281","S2P6.C2",-0.02039,-0.06207
"282",NA,NA,NA
"283","S3P2.C2",0.00257,-0.08854
"284",NA,NA,NA
"285","S3P4.C2",-0.01681,-0.06925
"286",NA,NA,NA
"287","S3P6.C2",0.000115,-0.09814
"288",NA,NA,NA
"289","S1P1.C1",0.0024,-0.02986
"290",NA,NA,NA
"291","S1P3.C1",-0.00774,-0.00755
"292",NA,NA,NA
"293","S1P5.C1",0.0053,-1.46832
"294",NA,NA,NA
"295","S2P1.C1",0.000711,-0.04726
"296",NA,NA,NA
"297","S2P3.C1",-0.00389,-0.02704
"298",NA,NA,NA
"299","S2P7.C1",0.00738,-0.00747
"300",NA,NA,NA
"301","S3P1.C1",-0.00167,-0.09791
"302",NA,NA,NA
"303","S3P3.C1",-0.00449,-0.05207
"304",NA,NA,NA
"305","S3P5.C1",0.00275,-0.04241
"306",NA,NA,NA
"307","S1P2.C2",0.00263,-1.46814
"308",NA,NA,NA
"309","S1P4.C2",0.0125,-0.00652
"310",NA,NA,NA
"311","S1P6.C2",-0.02331,0.01405
"312",NA,NA,NA
"313","S2P8.C2",-0.00512,-0.000324
"314",NA,NA,NA
"315","S2P4.C2",-0.00219,-0.00723
"316",NA,NA,NA
"317","S2P6.C2",0.00808,-0.03867
"318",NA,NA,NA
"319","S3P2.C2",-0.00822,-0.01366
"320",NA,NA,NA
"321","S3P4.C2",0.00198,-0.00716
"322",NA,NA,NA
"323","S3P6.C2",0.00541,-0.02815
"324",NA,NA,NA
"325","S1P1.C1",0.01112,-0.0067
"326",NA,NA,NA
