"","Label","Time","Time_Flux"
"639","S1P5.C1","time",-0.41947
"640","S1P5.C1","Flux",0.00884
"641","S2P1.C1","time",0.17767
"642","S2P1.C1","Flux",-0.00351
"643","S2P3.C1","time",0.17779
"644","S2P3.C1","Flux",0.033
"645","S2P5.C1","time",0.16552
"646","S2P5.C1","Flux",0.01557
"647","S3P1.C1","time",0.17752
"648","S3P1.C1","Flux",0.03492
"649","S3P3.C1","time",0.17743
"650","S3P3.C1","Flux",-0.00119
"651","S3P5.C1","time",0.22095
"652","S3P5.C1","Flux",0.01055
"653","S1P2.C2","time",-0.41929
"654","S1P2.C2","Flux",-0.0047
"655","S1P4.C2","time",-1.04414
"656","S1P4.C2","Flux",0.00463
"657","S1P6.C2","time",0.19903
"658","S2P2.C2","time",0.16569
"659","S2P2.C2","Flux",0.02212
"660","S2P4.C2","time",0.17788
"661","S2P4.C2","Flux",0.03352
"662","S2P6.C2","time",0.178
"663","S2P6.C2","Flux",0.00147
"664","S3P2.C2","time",0.22113
"665","S3P2.C2","Flux",0.01232
"666","S3P4.C2","time",0.17769
"667","S3P4.C2","Flux",0.01245
"668","S3P6.C2","time",0.17762
"669","S3P6.C2","Flux",0.00913
"670","S1P2.W","time",0.1752
"671","S1P2.W","Flux",-0.0021
"672","S1P4.W","time",0.18228
"673","S1P4.W","Flux",-0.000687
"674","S1P1.C1","time",0.20671
"675","S1P1.C1","Flux",0.0102
"676","S1P3.C1","time",0.19885
"677","S1P5.C1","time",-0.39818
"678","S1P5.C1","Flux",-0.0045
"679","S2P1.C1","time",0.19904
"680","S2P1.C1","Flux",0.000823
"681","S2P3.C1","time",0.19922
"682","S2P3.C1","Flux",0.02914
"683","S2P5.C1","time",0.1869
"684","S2P5.C1","Flux",0.01832
"685","S3P1.C1","time",0.1989
"686","S3P1.C1","Flux",0.03577
"687","S3P3.C1","time",0.19877
"688","S3P3.C1","Flux",0.0078
"689","S3P5.C1","time",0.24229
"690","S3P5.C1","Flux",-0.00291
"691","S1P2.C2","time",-0.39801
"692","S1P2.C2","Flux",0.00101
"693","S1P4.C2","time",-0.66071
"694","S1P4.C2","Flux",-0.00867
"695","S1P6.C2","time",0.22041
"696","S2P2.C2","time",0.18707
"697","S2P2.C2","Flux",0.02079
"698","S2P4.C2","time",0.19921
"699","S2P4.C2","Flux",0.00801
"700","S2P6.C2","time",0.19939
"701","S2P6.C2","Flux",-0.000856
"702","S3P2.C2","time",0.24249
"703","S3P2.C2","Flux",0.0199
"704","S3P4.C2","time",0.19906
"705","S3P4.C2","Flux",0.03578
"706","S3P6.C2","time",0.19896
"707","S3P6.C2","Flux",0.0139
"708","S1P2.W","time",0.19653
"709","S1P2.W","Flux",-0.00601
"710","S1P4.W","time",0.20363
"711","S1P4.W","Flux",0.00747
"712","S1P1.C1","time",0.2281
"713","S1P1.C1","Flux",0.01914
"714","S1P3.C1","time",0.22023
"715","S1P5.C1","time",-0.38395
"716","S1P5.C1","Flux",0.00178
"717","S2P1.C1","time",0.22045
"718","S2P1.C1","Flux",0.00928
"719","S2P3.C1","time",0.22056
"720","S2P3.C1","Flux",0.03059
"721","S2P5.C1","time",0.20826
"722","S2P5.C1","Flux",0.01852
"723","S3P1.C1","time",0.22025
"724","S3P1.C1","Flux",0.04239
"725","S3P3.C1","time",0.22015
"726","S3P3.C1","Flux",0.02377
"727","S3P5.C1","time",0.28663
"728","S3P5.C1","Flux",-0.00473
"729","S1P2.C2","time",-0.38377
"730","S1P2.C2","Flux",-0.00932
"731","S1P4.C2","time",-0.58242
"732","S1P4.C2","Flux",0.00849
"733","S1P6.C2","time",0.24182
"734","S2P2.C2","time",0.20841
"735","S2P2.C2","Flux",0.01269
"736","S2P4.C2","time",0.22064
"737","S2P4.C2","Flux",0.01986
"738","S2P6.C2","time",0.22075
"739","S2P6.C2","Flux",-0.00233
"740","S3P2.C2","time",0.28683
"741","S3P2.C2","Flux",0.02637
"742","S3P4.C2","time",0.22042
"743","S3P4.C2","Flux",0.03017
"744","S3P6.C2","time",0.22032
"745","S3P6.C2","Flux",0.009
"746","S1P2.W","time",0.21788
"747","S1P2.W","Flux",0.00837
"748","S1P4.W","time",0.225
