"","Label","Flux","Time"
"266","S2P4.C2",-0.0023,0.12471
"267","S2P6.C2",0.00424,0.10339
"268","S3P2.C2",0.0029,0.12414
"269","S3P4.C2",-0.00716,0.12472
"270","S3P6.C2",0.01249,0.1036
"271","S1P1.C1",-0.00167,0.12527
"272","S1P3.C1",-0.0109,0.14581
"273","S1P5.C1",-0.00402,-1.36516
"274","S2P1.C1",-0.00977,0.12453
"275","S2P3.C1",0.01824,0.11501
"276","S2P7.C1",0.000583,0.14576
"277","S3P1.C1",0.00606,0.10317
"278","S3P3.C1",0.00488,0.10339
"279","S3P5.C1",-0.01694,0.14536
"280","S1P2.C2",0.00424,-1.36498
"281","S1P4.C2",-0.00792,0.14685
"282","S1P6.C2",0.00165,0.17093
"283","S2P8.C2",0.01143,0.15291
"284","S2P4.C2",0.00457,0.14608
"285","S2P6.C2",0.00703,0.12477
"286","S3P2.C2",-2.91e-05,0.14557
"287","S3P4.C2",0.01661,0.14611
"288","S3P6.C2",0.00486,0.12501
"289","S1P1.C1",0.01814,0.14666
"290","S1P3.C1",-0.00919,0.17073
"291","S1P5.C1",0.00154,-1.35091
"292","S2P1.C1",-0.0038,0.1459
"293","S2P3.C1",-0.01345,0.13639
"294","S2P7.C1",0.00249,0.17072
"295","S3P1.C1",0.01321,0.12455
"296","S3P3.C1",0.00338,0.1248
"297","S3P5.C1",0.00214,0.16678
"298","S1P2.C2",0.0022,-1.35072
"299","S1P4.C2",0.00867,0.17178
"300","S1P6.C2",0.01909,0.19233
"301","S2P8.C2",0.01174,0.17786
"302","S2P4.C2",-0.00588,0.171
"303","S2P6.C2",-0.0051,0.14615
"304","S3P2.C2",0.00222,0.16698
"305","S3P4.C2",0.01374,0.17102
"306","S3P6.C2",0.00566,0.14993
"307","S1P1.C1",0.01324,0.17159
"308","S1P3.C1",0.00484,0.19213
"309","S1P5.C1",0.000581,-1.33666
"310","S2P1.C1",-0.00681,0.17081
"311","S2P3.C1",-0.00928,0.15777
"312","S2P7.C1",-0.00494,0.19207
"313","S3P1.C1",0.00317,0.14594
"314","S3P3.C1",0.01254,0.14972
"315","S3P5.C1",-0.01417,0.19174
"316","S1P2.C2",-0.03979,-1.33646
"317","S1P4.C2",0.000938,0.19318
"318","S1P6.C2",0.00315,0.21373
"319","S2P8.C2",-0.00732,0.19921
"320","S2P4.C2",-0.00698,0.19236
"321","S2P6.C2",0.00288,0.16755
"322","S3P2.C2",0.00165,0.19192
"323","S3P4.C2",0.00929,0.19242
"324","S3P6.C2",0.00907,0.17134
"325","S1P1.C1",0.000317,0.193
"326","S1P3.C1",0.0023,0.21353
"327","S1P5.C1",-0.01656,-1.31887
"328","S2P1.C1",-0.0123,0.19218
"329","S2P3.C1",-0.00382,0.17917
"330","S2P7.C1",0.02931,0.21347
"331","S3P1.C1",0.000497,0.17086
"332","S3P3.C1",0.0056,0.17113
"333","S3P5.C1",0.000349,0.21314
"334","S1P2.C2",0.00247,-1.31868
"335","S1P4.C2",0.00843,0.21457
"336","S1P6.C2",-0.00944,0.23512
"337","S2P8.C2",0.00227,0.2206
"338","S2P4.C2",0.00229,0.21375
"339","S2P6.C2",-0.000804,0.19243
"340","S3P2.C2",-0.0227,0.2133
"341","S3P4.C2",0.01033,0.21381
"342","S3P6.C2",0.00473,0.19274
"343","S1P1.C1",-0.012,0.21438
"344","S1P3.C1",0.02084,0.23492
"345","S1P5.C1",0.00725,-1.30458
"346","S2P1.C1",-0.00835,0.21356
"347","S2P3.C1",-0.01546,0.20405
"348","S2P7.C1",0.00192,0.23481
"349","S3P1.C1",0.00691,0.19225
"350","S3P3.C1",0.01381,0.19253
"351","S3P5.C1",-0.0207,0.23451
"352","S1P2.C2",-0.00394,-1.30439
"353","S1P4.C2",-0.00828,0.23598
"354","S1P6.C2",0.01845,0.26002
"355","S2P8.C2",-0.00549,0.24196
"356","S2P4.C2",-0.00258,0.23514
"357","S2P6.C2",-0.000859,0.21383
"358","S3P2.C2",0.00885,0.23471
"359","S3P4.C2",0.00127,0.23521
"360","S3P6.C2",-0.0021,0.21414
"361","S1P1.C1",0.00903,0.23578
"362","S1P3.C1",-0.00549,0.25983
"363","S1P5.C1",-0.00771,-1.2903
"364","S2P1.C1",-0.01717,0.23495
