"","Label","Pyr","Flux","Time","Condition"
"251","S1P4","C2",-0.00486,-1.15806,"Drought"
"252","S2P2","C2",0.00718,0.09457,"Drought"
"253","S2P4","C2",0.02422,0.10669,"Drought"
"254","S2P6","C2",0.01299,0.10683,"Drought"
"255","S3P2","C2",0.00796,0.14997,"Drought"
"256","S3P4","C2",0.0123,0.10654,"Drought"
"257","S3P6","C2",0.00102,0.10649,"Drought"
"258","S1P2","W",0.00394,0.10405,"Drought"
"259","S1P4","W",-0.000661,0.11116,"Drought"
"260","S1P1","C1",0.03358,0.13557,"Drought"
"261","S1P5","C1",0.0134,-0.44794,"Drought"
"262","S2P1","C1",0.02617,0.12791,"Drought"
"263","S2P3","C1",0.01906,0.12799,"Drought"
"264","S2P5","C1",0.01333,0.11575,"Drought"
"265","S3P1","C1",0.0305,0.12774,"Drought"
"266","S3P3","C1",0.00712,0.12765,"Drought"
"267","S3P5","C1",0.00659,0.17817,"Drought"
"268","S1P2","C2",-0.00481,-0.44777,"Drought"
"269","S1P4","C2",0.00641,-1.12242,"Drought"
"270","S2P2","C2",0.01187,0.11593,"Drought"
"271","S2P4","C2",0.01903,0.12808,"Drought"
"272","S2P6","C2",0.00501,0.12816,"Drought"
"273","S3P2","C2",0.00609,0.17837,"Drought"
"274","S3P4","C2",0.00699,0.12791,"Drought"
"275","S3P6","C2",0.00423,0.12784,"Drought"
"276","S1P2","W",-0.00198,0.12542,"Drought"
"277","S1P4","W",0.00344,0.13253,"Drought"
"278","S1P1","C1",-0.00258,0.15692,"Drought"
"279","S1P5","C1",-0.00386,-0.4337,"Drought"
"280","S2P1","C1",0.00421,0.14927,"Drought"
"281","S2P3","C1",0.02541,0.14939,"Drought"
"282","S2P5","C1",0.01899,0.13709,"Drought"
"283","S3P1","C1",0.0393,0.14913,"Drought"
"284","S3P3","C1",0.01393,0.149,"Drought"
"285","S3P5","C1",-0.02321,0.19959,"Drought"
"286","S1P2","C2",0.00069,-0.43353,"Drought"
"287","S1P4","C2",0.00685,-1.07972,"Drought"
"288","S2P2","C2",0.00599,0.13729,"Drought"
"289","S2P4","C2",0.02572,0.14944,"Drought"
"290","S2P6","C2",0.01054,0.14959,"Drought"
"291","S3P2","C2",0.01438,0.19979,"Drought"
"292","S3P4","C2",0.00903,0.14929,"Drought"
"293","S3P6","C2",0.01841,0.14919,"Drought"
"294","S1P2","W",-0.00406,0.14679,"Drought"
"295","S1P4","W",0.00556,0.15391,"Drought"
"296","S1P1","C1",0.01046,0.18535,"Drought"
"297","S1P5","C1",0.00884,-0.41947,"Drought"
"298","S2P1","C1",-0.00351,0.17767,"Drought"
"299","S2P3","C1",0.033,0.17779,"Drought"
"300","S2P5","C1",0.01557,0.16552,"Drought"
"301","S3P1","C1",0.03492,0.17752,"Drought"
"302","S3P3","C1",-0.00119,0.17743,"Drought"
"303","S3P5","C1",0.01055,0.22095,"Drought"
"304","S1P2","C2",-0.0047,-0.41929,"Drought"
"305","S1P4","C2",0.00463,-1.04414,"Drought"
"306","S2P2","C2",0.02212,0.16569,"Drought"
"307","S2P4","C2",0.03352,0.17788,"Drought"
"308","S2P6","C2",0.00147,0.178,"Drought"
