"","Label","Flux","Time"
"49","S1P4.C2",0.00138,-1.62777
"50","S1P6.C2",-0.00324,-0.4855
"51","S2P2.C2",0.00716,-0.51387
"52","S2P4.C2",0.00528,-0.49961
"53","S3P2.C2",0.00112,-0.40994
"54","S3P4.C2",-0.00277,-0.49757
"55","S3P6.C2",0.00822,-0.51259
"56","S1P2.W",-0.00288,-0.54053
"57","S1P4.W",0.00659,-0.5049
"58","S1P1.C1",-0.0034,-0.45441
"59","S1P3.C1",0.00748,-0.43583
"60","S1P5.C1",-0.00663,-0.63293
"61","S2P1.C1",0.0067,-0.45002
"62","S2P3.C1",-0.00106,-0.46718
"63","S2P5.C1",0.01275,-0.46431
"64","S3P1.C1",-0.00128,-0.44789
"65","S3P3.C1",-0.00735,-0.46295
"66","S3P5.C1",0.00172,-0.36041
"67","S1P2.C2",0.00932,-0.63275
"68","S1P4.C2",0.00775,-1.59213
"69","S2P2.C2",-0.00263,-0.43566
"70","S2P4.C2",0.000465,-0.42131
"71","S3P2.C2",-0.00163,-0.33175
"72","S3P6.C2",0.0039,-0.43422
"73","S1P2.W",0.00861,-0.46223
"74","S1P4.W",0.00564,-0.42664
"75","S1P3.C1",-0.00014,-0.35755
"76","S1P5.C1",-0.00723,-0.61868
"77","S3P1.C1",-0.00418,-0.36956
"78","S3P5.C1",0.00932,-0.28222
"79","S1P2.C2",-0.00934,-0.61851
"80","S1P4.C2",0.01524,-1.54949
"81","S1P6.C2",0.00833,-0.32885
"82","S2P2.C2",-0.00099,-0.35742
"83","S2P4.C2",-0.01005,-0.343
"84","S3P2.C2",0.00869,-0.25355
"85","S3P4.C2",-0.00888,-0.34088
"86","S1P4.W",0.00333,-0.34841
"87","S1P3.C1",0.00576,-0.2792
"88","S1P5.C1",0.00508,-0.60443
"89","S2P1.C1",0.00363,-0.29344
"90","S2P3.C1",0.00233,-0.31437
"91","S2P5.C1",-0.00352,-0.30775
"92","S3P1.C1",-0.00324,-0.29128
"93","S3P3.C1",-0.00574,-0.30627
"94","S1P2.C2",-0.0083,-0.60426
"95","S1P4.C2",-0.0101,-1.51385
"96","S1P6.C2",-0.013,-0.25047
"97","S2P4.C2",0.00368,-0.26473
"98","S3P4.C2",-0.00744,-0.26264
"99","S3P6.C2",-0.00133,-0.27758
"100","S1P2.W",0.000252,-0.30575
"101","S1P4.W",-0.00342,-0.27012
"102","S1P3.C1",-0.00965,-0.20083
"103","S1P5.C1",-0.00623,-0.58317
"104","S2P1.C1",-0.00198,-0.21517
"105","S2P3.C1",-0.000905,-0.238
"106","S2P5.C1",-0.00901,-0.22941
"107","S3P1.C1",-0.0112,-0.21302
"108","S3P3.C1",0.00368,-0.22802
"109","S1P2.C2",-0.000471,-0.583
"110","S1P4.C2",-0.00988,-1.47118
"111","S1P6.C2",-0.00547,-0.17212
"112","S2P2.C2",-0.00415,-0.20068
"113","S2P4.C2",0.00428,-0.18646
"114","S3P4.C2",0.00753,-0.18434
"115","S3P6.C2",-0.00624,-0.19936
"116","S1P2.W",0.03961,-0.22748
"117","S1P4.W",0.01197,-0.19185
"118","S1P3.C1",-0.0099,-0.12244
"119","S1P5.C1",-0.00429,-0.56892
"120","S2P1.C1",-0.00681,-0.13689
"121","S2P3.C1",-0.00379,-0.1616
"122","S2P5.C1",0.0117,-0.15111
"123","S3P1.C1",-0.00777,-0.13472
"124","S3P3.C1",-0.00621,-0.14976
"125","S1P2.C2",0.00844,-0.56874
"126","S1P4.C2",0.00669,-1.43554
"127","S1P6.C2",-0.00359,-0.09373
"128","S2P4.C2",-0.00348,-0.10818
"129","S3P4.C2",0.00713,-0.10604
"130","S3P6.C2",0.00768,-0.12104
"131","S1P2.W",-0.00327,-0.14918
"132","S1P3.C1",-0.01461,-0.04409
"133","S1P5.C1",0.00612,-0.55466
"134","S2P1.C1",-0.0084,-0.05856
"135","S2P3.C1",-0.00331,-0.08523
"136","S3P1.C1",0.00693,-0.05639
"137","S3P3.C1",0.00163,-0.07152
"138","S3P5.C1",-0.00282,0.01455
"139","S1P2.C2",-0.00525,-0.55449
"140","S1P6.C2",-0.00421,-0.00727
"141","S2P4.C2",-0.00723,-0.02988
"142","S3P2.C2",-0.00458,0.01473
"143","S3P4.C2",-1.04e-05,-0.02773
"144","S3P6.C2",0.00867,-0.04285
"145","S1P4.W",0.00296,-0.03534
"146","S1P1.C1",0.00185,0.000313
"147","S1P3.C1",-0.00863,-0.00744
"148","S1P5.C1",0.01147,-0.54042
"149","S2P1.C1",-0.00912,-0.00747
"150","S2P3.C1",0.00617,-0.00734
"151","S2P5.C1",-0.01472,-0.01947
"152","S3P1.C1",0.00411,-0.00745
"153","S3P3.C1",0.00597,-0.00747
"154","S3P5.C1",-0.0122,0.03589
"155","S1P2.C2",0.00115,-0.54024
"156","S1P4.C2",-0.000337,-1.35723
"157","S1P6.C2",-0.00426,0.01411
"158","S2P2.C2",0.00194,-0.01928
"159","S2P4.C2",0.000951,-0.00728
"160","S3P2.C2",-0.00738,0.03609
"161","S3P4.C2",0.000922,-0.00729
"162","S3P6.C2",0.0101,-0.00729
"163","S1P2.W",-0.00417,-0.00985
"164","S1P4.W",0.0137,-0.00274
"165","S1P1.C1",0.00514,0.02169
"166","S1P3.C1",0.00473,0.01394
"167","S1P5.C1",-0.00484,-0.52617
"168","S2P1.C1",0.0072,0.01392
"169","S2P3.C1",-0.00803,0.01406
"170","S2P5.C1",-0.00145,0.00191
"171","S3P1.C1",-0.00182,0.01392
"172","S3P3.C1",0.0067,0.01389
"173","S3P5.C1",-0.00441,0.05726
"174","S1P2.C2",0.000413,-0.526
"175","S1P4.C2",0.00663,-1.31461
"176","S1P6.C2",-0.00742,0.03546
"177","S2P2.C2",0.00915,0.00208
"178","S2P4.C2",-0.01059,0.0141
"179","S3P2.C2",0.000119,0.05745
"180","S3P4.C2",0.00658,0.01409
"181","S3P6.C2",0.00339,0.01407
"182","S1P2.W",-0.00735,0.0115
"183","S1P4.W",-0.0027,0.01862
"184","S1P1.C1",-0.00569,0.04309
"185","S1P3.C1",0.01479,0.03529
"186","S1P5.C1",0.00915,-0.51193
"187","S2P1.C1",0.00749,0.0353
"188","S2P3.C1",-0.00251,0.03544
"189","S2P5.C1",0.00591,0.02328
"190","S3P1.C1",0.00972,0.03528
"191","S3P3.C1",0.00809,0.03523
"192","S3P5.C1",-0.00312,0.08562
"193","S1P2.C2",0.00879,-0.51176
"194","S1P4.C2",0.02013,-1.27897
"195","S1P6.C2",-0.00672,0.05681
"196","S2P2.C2",-0.000715,0.02344
"197","S2P4.C2",0.00472,0.03547
"198","S3P2.C2",-0.00283,0.08583
"199","S3P4.C2",0.00355,0.03544
"200","S3P6.C2",0.000971,0.03542
"201","S1P2.W",0.0041,0.03288
"202","S1P4.W",-0.00677,0.04
"203","S1P1.C1",0.00383,0.06444
"204","S1P3.C1",0.02449,0.05663
"205","S1P5.C1",0.00793,-0.49065
"206","S2P1.C1",-0.00284,0.05667
"207","S2P3.C1",-0.00527,0.05685
"208","S2P5.C1",-0.00531,0.04463
"209","S3P1.C1",0.00756,0.05666
"210","S3P3.C1",-9.55e-06,0.05659
"211","S3P5.C1",0.00123,0.10699
"212","S1P2.C2",0.00919,-0.49047
"213","S1P4.C2",0.00702,-1.23634
"214","S1P6.C2",0.00428,0.0852
"215","S2P2.C2",-0.00588,0.04481
"216","S2P4.C2",0.0075,0.05688
"217","S3P2.C2",0.01303,0.10719
"218","S3P4.C2",0.00736,0.05682
"219","S3P6.C2",-0.000665,0.05676
"220","S1P2.W",0.0065,0.05425
"221","S1P4.W",-0.01396,0.06137
"222","S1P1.C1",0.01418,0.09284
"223","S1P3.C1",0.01871,0.08502
"224","S1P5.C1",-0.01203,-0.47641
"225","S2P1.C1",0.00326,0.08514
"226","S2P3.C1",0.02427,0.08524
"227","S2P5.C1",0.00922,0.07306
"228","S3P1.C1",0.02023,0.08501
"229","S3P3.C1",0.00476,0.08497
"230","S3P5.C1",0.00202,0.12841
"231","S1P2.C2",-0.00808,-0.47624
"232","S1P4.C2",0.00305,-1.20071
"233","S1P6.C2",0.01145,0.10655
"234","S2P2.C2",0.00373,0.07324
"235","S2P4.C2",0.01006,0.08531
"236","S2P6.C2",0.00931,0.08544
"237","S3P2.C2",0.00481,0.12861
"238","S3P4.C2",0.00727,0.08517
"239","S3P6.C2",0.01103,0.08515
"240","S1P2.W",0.00149,0.08269
"241","S1P4.W",-0.00817,0.08979
"242","S1P1.C1",0.01467,0.1142
"243","S1P3.C1",0.02857,0.10638
"244","S1P5.C1",-0.000983,-0.46218
"245","S2P1.C1",0.02026,0.10652
"246","S2P5.C1",0.01803,0.0944
"247","S3P1.C1",0.0222,0.10638
"248","S3P3.C1",-0.00768,0.10632
"249","S3P5.C1",-0.00198,0.14977
"250","S1P2.C2",-0.00461,-0.462
"251","S1P4.C2",-0.00486,-1.15806
"252","S2P2.C2",0.00718,0.09457
"253","S2P4.C2",0.02422,0.10669
"254","S2P6.C2",0.01299,0.10683
"255","S3P2.C2",0.00796,0.14997
"256","S3P4.C2",0.0123,0.10654
"257","S3P6.C2",0.00102,0.10649
"258","S1P2.W",0.00394,0.10405
"259","S1P4.W",-0.000661,0.11116
"260","S1P1.C1",0.03358,0.13557
"261","S1P5.C1",0.0134,-0.44794
"262","S2P1.C1",0.02617,0.12791
"263","S2P3.C1",0.01906,0.12799
"264","S2P5.C1",0.01333,0.11575
"265","S3P1.C1",0.0305,0.12774
"266","S3P3.C1",0.00712,0.12765
"267","S3P5.C1",0.00659,0.17817
"268","S1P2.C2",-0.00481,-0.44777
"269","S1P4.C2",0.00641,-1.12242
"270","S2P2.C2",0.01187,0.11593
"271","S2P4.C2",0.01903,0.12808
"272","S2P6.C2",0.00501,0.12816
"273","S3P2.C2",0.00609,0.17837
"274","S3P4.C2",0.00699,0.12791
"275","S3P6.C2",0.00423,0.12784
"276","S1P2.W",-0.00198,0.12542
"277","S1P4.W",0.00344,0.13253
"278","S1P1.C1",-0.00258,0.15692
"279","S1P5.C1",-0.00386,-0.4337
"280","S2P1.C1",0.00421,0.14927
"281","S2P3.C1",0.02541,0.14939
"282","S2P5.C1",0.01899,0.13709
"283","S3P1.C1",0.0393,0.14913
"284","S3P3.C1",0.01393,0.149
"285","S3P5.C1",-0.02321,0.19959
"286","S1P2.C2",0.00069,-0.43353
"287","S1P4.C2",0.00685,-1.07972
"288","S2P2.C2",0.00599,0.13729
"289","S2P4.C2",0.02572,0.14944
"290","S2P6.C2",0.01054,0.14959
"291","S3P2.C2",0.01438,0.19979
"292","S3P4.C2",0.00903,0.14929
"293","S3P6.C2",0.01841,0.14919
"294","S1P2.W",-0.00406,0.14679
"295","S1P4.W",0.00556,0.15391
"296","S1P1.C1",0.01046,0.18535
"297","S1P5.C1",0.00884,-0.41947
"298","S2P1.C1",-0.00351,0.17767
"299","S2P3.C1",0.033,0.17779
"300","S2P5.C1",0.01557,0.16552
"301","S3P1.C1",0.03492,0.17752
"302","S3P3.C1",-0.00119,0.17743
"303","S3P5.C1",0.01055,0.22095
"304","S1P2.C2",-0.0047,-0.41929
"305","S1P4.C2",0.00463,-1.04414
"306","S2P2.C2",0.02212,0.16569
"307","S2P4.C2",0.03352,0.17788
"308","S2P6.C2",0.00147,0.178
"309","S3P2.C2",0.01232,0.22113
"310","S3P4.C2",0.01245,0.17769
"311","S3P6.C2",0.00913,0.17762
"312","S1P2.W",-0.0021,0.1752
"313","S1P4.W",-0.000687,0.18228
"314","S1P1.C1",0.0102,0.20671
"315","S1P5.C1",-0.0045,-0.39818
"316","S2P1.C1",0.000823,0.19904
"317","S2P3.C1",0.02914,0.19922
"318","S2P5.C1",0.01832,0.1869
"319","S3P1.C1",0.03577,0.1989
"320","S3P3.C1",0.0078,0.19877
"321","S3P5.C1",-0.00291,0.24229
"322","S1P2.C2",0.00101,-0.39801
"323","S1P4.C2",-0.00867,-0.66071
"324","S2P2.C2",0.02079,0.18707
"325","S2P4.C2",0.00801,0.19921
"326","S2P6.C2",-0.000856,0.19939
"327","S3P2.C2",0.0199,0.24249
"328","S3P4.C2",0.03578,0.19906
"329","S3P6.C2",0.0139,0.19896
"330","S1P2.W",-0.00601,0.19653
"331","S1P4.W",0.00747,0.20363
"332","S1P1.C1",0.01914,0.2281
"333","S1P5.C1",0.00178,-0.38395
"334","S2P1.C1",0.00928,0.22045
"335","S2P3.C1",0.03059,0.22056
"336","S2P5.C1",0.01852,0.20826
"337","S3P1.C1",0.04239,0.22025
"338","S3P3.C1",0.02377,0.22015
"339","S3P5.C1",-0.00473,0.28663
"340","S1P2.C2",-0.00932,-0.38377
"341","S1P4.C2",0.00849,-0.58242
"342","S2P2.C2",0.01269,0.20841
"343","S2P4.C2",0.01986,0.22064
"344","S2P6.C2",-0.00233,0.22075
"345","S3P2.C2",0.02637,0.28683
"346","S3P4.C2",0.03017,0.22042
"347","S3P6.C2",0.009,0.22032
"348","S1P2.W",0.00837,0.21788
"349","S1P4.W",0.00417,0.225
"350","S1P1.C1",0.03902,0.24948
"351","S1P5.C1",-0.01515,-0.36971
"352","S2P1.C1",0.00963,0.24183
"353","S2P3.C1",0.03317,0.24199
"354","S2P5.C1",0.02601,0.22959
"355","S3P1.C1",0.07358,0.24164
"356","S3P3.C1",0.01225,0.24149
"357","S3P5.C1",-0.01159,0.32222
"358","S1P2.C2",0.00181,-0.36954
"359","S1P4.C2",0.00565,-0.50404
"360","S2P2.C2",0.02384,0.22976
"361","S2P4.C2",0.05092,0.242
"362","S2P6.C2",0.00491,0.24215
"363","S3P2.C2",-0.000364,0.32242
"364","S3P4.C2",0.01743,0.24182
"365","S3P6.C2",0.02004,0.24168
"366","S1P2.W",-0.00614,0.23924
"367","S1P4.W",0.000462,0.24638
"368","S1P1.C1",0.02153,0.28852
"369","S1P5.C1",0.00441,-0.35547
"370","S2P1.C1",0.01027,0.28213
"371","S2P3.C1",0.06149,0.30049
"372","S2P5.C1",0.02026,0.258
"373","S3P1.C1",0.04693,0.27527
"374","S3P3.C1",0.00923,0.27263
"375","S3P5.C1",-0.00388,0.36493
"376","S1P2.C2",0.00406,-0.3553
"377","S1P4.C2",0.000335,-0.42568
"378","S1P6.C2",0.01047,0.30943
"379","S2P2.C2",0.03176,0.25817
"380","S2P4.C2",0.05405,0.2823
"381","S2P6.C2",0.00309,0.30069
"382","S3P2.C2",0.0091,0.36513
"383","S3P4.C2",0.00644,0.27543
"384","S3P6.C2",0.01783,0.27281
"385","S1P2.W",0.01326,0.26766
"386","S1P4.W",0.00979,0.27479
"387","S1P1.C1",0.03252,0.3242
"388","S1P3.C1",0.03546,0.30926
"389","S1P5.C1",0.00365,-0.34124
"390","S2P1.C1",0.0033,0.31774
"391","S2P3.C1",0.03098,0.33616
"392","S2P5.C1",0.02471,0.27683
"393","S3P1.C1",0.0736,0.31093
