Mass,Soil_Drought_P11_Site1_0,Soil_Drought_P11_Site1_48,Soil_Drought_P11_Site1_6,Soil_Drought_P12_Site1_0_CTRL,Soil_Drought_P12_Site1_48_CTRL,Soil_Drought_P12_Site1_6_CTRL,Soil_Drought_P15_Site1_0,Soil_Drought_P15_Site1_48,Soil_Drought_P15_Site1_6,Soil_Drought_P24_Site2_0,Soil_Drought_P24_Site2_48,Soil_Drought_P24_Site2_6,Soil_Drought_P26_Site2_0,Soil_Drought_P26_Site2_48,Soil_Drought_P26_Site2_6,Soil_Drought_P34_Site3_0,Soil_Drought_P34_Site3_48,Soil_Drought_P34_Site3_6,Soil_Drought_P35_Site3_0,Soil_Drought_P35_Site3_48,Soil_Drought_P35_Site3_6,Soil_PreDrought_P11_Site1_0,Soil_PreDrought_P11_Site1_48,Soil_PreDrought_P11_Site1_6,Soil_PreDrought_P15_Site1_0,Soil_PreDrought_P15_Site1_48,Soil_PreDrought_P15_Site1_6,Soil_PreDrought_P24_Site2_0,Soil_PreDrought_P24_Site2_48,Soil_PreDrought_P24_Site2_6,Soil_PreDrought_P26_Site2_0,Soil_PreDrought_P26_Site2_48,Soil_PreDrought_P26_Site2_6,Soil_PreDrought_P34_Site3_0,Soil_PreDrought_P34_Site3_48,Soil_PreDrought_P34_Site3_6,Soil_PreDrought_P35_Site3_0,Soil_PreDrought_P35_Site3_48,Soil_PreDrought_P35_Site3_6
515.0314822,-0.003844472,-0.002296187,-0.001169504,-0.008456063,0,-0.004204336,0,0,0,0,0,0,0,-0.001985496,0,-0.005798484,0,0,0,-0.007851418,-0.001974816,-0.005200656,0,0,0,0,0,0,0,0,-0.001875501,0,0,0,0,0,-0.004948364,-0.004349314,-0.001757362
515.0467864,0.010408461,0.0024192,-0.00025528,0.010926499,0.004554104,0.002465683,0.001424015,0.000145581,-0.001140768,-0.001530681,-0.001065936,-0.000559756,0.001535306,-0.000882761,-0.001151406,0.000950302,-0.002386783,-0.001478809,0.003351881,0.004581373,-0.001557814,0.004455918,0.002493587,0.000567165,-0.003951965,-0.001746348,-0.001166638,-0.003917221,-0.002265893,-0.004443102,-6.89E-05,-7.12E-05,-0.000638048,-0.003474506,-0.003991252,-0.003717728,-0.001570167,0.000255286,-0.000985875
515.0580592,-0.002901046,-0.000508685,-0.000994344,-0.003815668,-0.001220368,-0.002186924,-0.003854844,-0.002370851,0,0,0,-0.002791966,-0.003090067,-0.002034297,-0.001542313,-0.003529673,-0.003382468,-0.001509033,-0.00347796,-0.008156485,0,-0.003580406,-0.004023158,-0.001166051,0,0,0,0,0,0,-0.001685797,-0.003771465,-0.001544843,-0.006099644,0,0,-0.00404942,-0.003427885,-0.001517472
515.0678962,0.022858134,0.003398098,4.42E-05,0.006378073,0.004671025,0.002123268,-0.000728773,-0.000595991,-0.001204245,-0.002010474,-0.00119439,0.000241441,0.004097815,-0.000283089,-0.000967479,0.00796766,-0.002277897,-0.00139608,0.008643642,0.011119466,-0.001044452,0.006611527,0.005157422,0.000699235,-0.001934224,2.18E-06,-0.001305616,-0.002074986,-0.002465139,-0.002515546,0.001108974,0.002902013,-9.62E-05,-0.000401032,-0.001359444,-0.004311863,0.003670718,0.001527164,-0.000677125
515.0831551,0.001838402,0.00106458,-0.000474196,0.007386101,0.003778061,0.001661275,0.001763954,-0.001070625,-0.001187123,-0.001470868,-0.001168696,0.000175188,0.001061093,-0.001450892,-0.001204904,0.002731665,-0.002791926,-0.001461961,0.000576596,0.000471395,-0.001525552,0.00021313,0.002560482,0.000124029,-0.007206897,-0.002274051,-0.000391918,-0.002786213,-0.001809969,-0.005831444,-6.81E-05,-0.001019552,-0.000529191,-0.004785436,-0.003190361,-0.004212631,-0.000589105,-0.00259079,-0.000993321
515.094389,-0.00221231,-0.000358711,-0.001022853,-0.000442507,-0.00064327,-0.00138792,-0.005088106,-0.002102172,0,0,-0.00237882,-0.002601558,-0.000820556,-0.001859348,-0.001387452,0.000996418,-0.003295103,0,-0.000949732,0,-0.001736902,-0.003957148,-0.003361362,-0.001389113,0,0,-0.001381495,-0.004168513,-0.002844249,0,0,-0.003583348,-0.001165084,-0.004596069,0,0,-0.002876759,-0.004346791,-0.00138665
515.1042397,0.015062359,0.004104536,-0.000107761,0.016842434,0.009125967,0.006333826,0.004916179,-0.000170349,-0.001196321,-0.001267103,-0.001060987,0.001449331,0.005610261,-5.27E-06,-0.000489619,0.017287662,-0.002390755,-0.001344123,0.010872653,0.012245007,-0.000465181,0.005757795,0.006751277,0.000509651,-0.00267949,0.000604088,-0.001049219,-0.001883025,-0.002316433,-0.003244708,0.001609865,0.003142289,0.001960274,0.002797072,-0.002445369,-0.003444124,0.006211941,0.004225841,-0.000539072
515.1195191,8.68E-06,-0.000223022,-0.000824264,0.005341196,0.00351442,0.000773527,-0.000194172,-0.001385826,-0.001269087,-0.001691631,-0.00212915,-0.002405061,8.56E-05,-0.001412095,-0.00130739,0.00396725,-0.003365277,0,-0.001564957,-0.006830166,-0.001602303,0.000130603,-0.000788781,-0.000785717,-0.006931937,-0.002757981,-0.001191541,-0.003452982,-0.002455316,-0.006115254,-0.00163212,-0.002712401,-0.000418488,-0.004110514,-0.004925451,0,-0.0021334,0,-0.001192283
515.1253593,-0.006382205,0.001318378,-0.000689888,0.007708379,-0.000826074,-0.002276576,0.014372827,0.001802796,-0.001080384,0,-0.002403848,0.006315883,-0.001042416,0,0,-0.000342803,0,-0.001459905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515.1306917,-0.007520193,0,-0.001038966,-0.004701732,-0.00261575,0,-0.004994389,0,0,0,0,-0.003357803,-0.002609047,0,-0.001381123,-0.001935489,0,0,-0.004416744,0,0,-0.004866303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004372795,0,0
