Sample,Pyruv,Condition,Type,Time,Flux
S2P1,C1,drought,sample,0.39601,5.88645
S2P6,C2,pre-drought,sample,0.19243,5.89753
S1P5,C1,drought,sample,0.42638,5.89852
S3P1,C1,pre-drought,sample,0.21363,5.91947
S3P6,C2,drought,sample,1.00922,5.9309
S3P2,C2,pre-drought,sample,1.76723,5.95042
S1P2,C2,pre-drought,sample,-0.60971,5.95602
S1P5,C1,pre-drought,sample,-1.12638,5.98348
S2P3,C1,pre-drought,sample,0.06868,6.00881
S1P6,C2,pre-drought,sample,0.17093,6.05003
S3P5,C1,pre-drought,sample,0.51091,6.07141
S2P6,C2,pre-drought,sample,0.42963,6.07246
S2P3,C1,pre-drought,sample,1.31684,6.07375
S2P6,C2,pre-drought,sample,1.90374,6.07837
S1P6,C2,pre-drought,sample,0.32416,6.08136
S1P5,C1,pre-drought,sample,-1.09789,6.09237
S3P2,C2,pre-drought,sample,0.4363,6.09303
S3P4,C2,pre-drought,sample,0.92836,6.09559
S1P5,C1,pre-drought,sample,-1.14065,6.10247
S2P4,C2,pre-drought,sample,0.86696,6.11955
S1P1,C1,pre-drought,sample,0.28212,6.13337
S3P3,C1,pre-drought,sample,-0.65035,6.14209
S1.4W,C2,drought,water,0.20363,6.14636
S2P6,C2,drought,sample,0.41473,6.18205
S1P1,C1,pre-drought,sample,0.46028,6.21107
S1P1,C1,pre-drought,sample,0.79877,6.24006
S3P1,C1,drought,sample,1.39317,6.24861
S3P2,C2,pre-drought,sample,0.03495,6.26315
S1P5,C1,pre-drought,sample,0.7191,6.2673
S2P8,C2,pre-drought,sample,0.46632,6.28107
S3P1,C1,drought,sample,1.42883,6.298
S2P6,C2,pre-drought,sample,0.48088,6.32925
S1P5,C1,drought,sample,0.04218,6.33639
S2P5,C1,drought,sample,-0.69888,6.34204
S1.4W,C2,drought,water,0.96501,6.38592
S2P4,C2,pre-drought,sample,1.15398,6.40277
S2P2,C2,drought,sample,-0.59204,6.41819
S1P2,C2,pre-drought,sample,-1.29012,6.42737
S3P1,C1,drought,sample,1.23486,6.43342
S1P5,C1,pre-drought,sample,-0.49266,6.49018
S3P5,C1,pre-drought,sample,1.84185,6.49049
S1P2,C2,pre-drought,sample,-0.25382,6.5045
S1.4W,C2,drought,water,-0.19185,6.51996
S3P2,C2,drought,sample,-0.25355,6.53982
S2P6,C2,pre-drought,sample,1.94289,6.5477
S3P6,C2,pre-drought,sample,2.02236,6.58725
S1.4W,C2,drought,water,1.06701,6.59005
S1P1,C1,pre-drought,sample,1.75706,6.62606
S1P2,C2,pre-drought,sample,0.70506,6.64743
S2P5,C1,drought,sample,1.41959,6.64882
S1P5,C1,pre-drought,sample,1.24878,6.65178
S1P2,C2,pre-drought,sample,-1.21531,6.67115
S2P3,C1,pre-drought,sample,0.11501,6.68295
S2P8,C2,pre-drought,sample,0.33103,6.70337
S1P6,C2,pre-drought,sample,0.21373,6.72304
S2P7,C1,pre-drought,sample,0.3915,6.73894
S1P2,C2,pre-drought,sample,0.92925,6.7465
S2P7,C1,pre-drought,sample,0.79382,6.75051
S1P3,C1,drought,sample,0.08502,6.755
S3P2,C2,drought,sample,0.10719,6.75562
S3P4,C2,pre-drought,sample,0.28153,6.75894
S2P3,C1,drought,sample,0.30049,6.76626
S1.2W,C2,drought,water,0.36017,6.77661
S2P1,C1,pre-drought,sample,0.21356,6.7843
S3P3,C1,drought,sample,-0.69786,6.81962
S1P4,C2,pre-drought,sample,0.83462,6.82138
S2P4,C2,pre-drought,sample,1.36419,6.82454
S3P1,C1,pre-drought,sample,-0.54685,6.82928
S3P5,C1,drought,sample,1.45295,6.82992
S3P1,C1,drought,sample,1.47155,6.83704
S1P6,C2,drought,sample,0.03546,6.85043
