S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
1.51855,0.0231,1.47885,0.03713,0.13454,0.02035,1.53781,0.0055,1.52279,0.03015,1.46941,0.00628,1.50721,0.01051,1.52594,-0.00565,1.60966,,0.1347,0.00106,0.75866,0.00561,1.55723,0.02621,1.52659,0.00666,1.53799,0.00989,1.52299,-0.00297,1.60987,,1.50737,0.01035,1.52612,0.00231,0.95789,-0.01127,0.96501,0.00469
1.55422,0.00253,1.52147,0.02877,0.14875,2.59E-04,1.57348,-8.36E-04,1.55843,-0.00418,1.51216,-0.00928,1.54992,0.016,1.56154,-0.00261,1.64538,,0.14891,0.00717,0.79429,-0.01118,1.59986,,1.57632,0.0094,1.57366,0.01716,1.55862,-0.00155,1.64558,,1.55009,0.00574,1.56172,0.00264,0.97927,-0.00514,0.98639,8.35E-04
1.59499,,1.55705,0.03121,0.16296,0.01995,1.61615,0.02227,1.60116,,1.56192,-0.00423,1.5856,0.00442,1.60411,,1.68806,,0.16314,0.0214,0.83696,0.00785,1.63544,0.03325,1.61903,,1.61634,0.01462,1.60135,,1.68825,,1.58578,,1.60429,,1.00771,-0.01609,1.01481,0.01074
1.63067,,1.59968,,0.18421,-0.00387,1.65182,0.01075,1.63678,,1.60463,,1.62826,,1.63976,,1.72373,,0.18438,0.004,0.8726,0.01654,1.67816,0.00419,1.66873,,1.65199,0.00292,1.63696,-0.00493,1.72394,,1.6284,,1.63994,0.00325,1.0599,0.01514,1.06701,0.00117
1.67135,0.01933,1.63527,,0.19843,0.00825,1.69446,-0.00509,1.67947,0.02505,1.65432,,1.66385,0.00668,1.68242,0.00327,1.76637,,0.1986,0.0067,0.91525,0.01086,1.71382,0.01921,1.71146,,1.69463,0.00486,1.67966,0.00115,1.76657,,1.66402,0.00577,1.6826,-0.00641,1.11903,0.00127,1.12613,-0.0024
1.707,0.01358,1.67797,0.02927,0.21267,0.00167,1.73009,0.01202,1.71508,0.00295,1.69704,,1.70659,0.00972,1.71804,-0.00199,1.80201,,0.21282,0.00929,0.95091,0.01297,1.7565,0.00928,1.76119,,1.73027,0.01181,1.71528,0.00389,1.80221,,1.70674,-0.00441,1.71823,-0.00495,1.17814,-0.00178,1.18524,-0.00183
1.74774,-0.00784,1.71363,0.01582,0.22689,8.29E-03,1.77272,0.0022,1.75775,0.01345,1.74682,,1.74223,-0.00344,1.76069,-0.00273,1.84465,,0.22705,0.01126,1.0212,0.00566,1.79218,0.0098,1.80396,,1.77289,0.00429,1.75792,0.00329,1.84486,,1.74241,0.00524,1.76088,-0.00175,1.24434,-0.00301,1.25145,-0.00376
1.78341,1.02E-02,1.75632,0.02154,0.24111,0.02977,1.80836,8.74E-03,1.79333,0.00277,1.78954,,1.78493,0.00891,1.79631,0.00283,1.8803,,0.24128,0.00202,1.06392,0.00929,1.83479,0.00466,1.85368,,1.80853,0.01135,1.7935,0.00251,1.8805,,1.7851,0.02114,1.79649,0.00936,1.30344,0.00876,1.31054,0.0065
1.82413,0.00816,1.79199,0.02242,0.25534,0.01236,1.85102,0.01409,1.83597,0.01977,1.83927,,1.82059,0.01309,1.83899,-0.01328,1.92297,,0.2555,-0.00333,1.11366,0.01391,1.87046,-0.00234,1.89645,,1.85119,0.007,1.83617,0.00782,1.92317,,1.82075,0.0277,1.83918,0.01197,1.36259,0.00537,1.3697,-1.49E-04
1.85981,0.01098,1.83464,0.00839,0.27657,2.18E-04,1.88667,0.00309,1.87161,0.00573,1.88201,,1.8633,0.01755,1.87462,0.00716,1.95865,0.00645,0.27674,1.04E-02,1.1564,0.00934,1.91308,,1.94625,,1.88684,0.01131,1.87181,0.01059,1.95884,0.00814,1.86347,0.01068,1.87481,0.01651,1.42877,-0.01171,1.43589,0.00521
1.9005,0.00534,1.87028,0.01549,0.29079,0.00269,1.92932,0.01278,1.91428,0.00379,1.93183,,1.89898,0.00528,1.91726,4.79E-03,,,0.29095,0.00781,1.20617,-0.00534,1.94868,,1.989,-0.00289,1.92949,-3.27E-04,1.91444,0.00663,,,1.89916,0.00621,1.91744,0.00722,1.48791,0.00219,1.49501,0.00697
1.93617,0.00269,1.91291,,0.30501,0.01604,1.96498,0.00684,1.94984,0.01312,1.97457,0.00676,1.94168,0.01066,1.95284,0.0039,,,0.30517,0.01359,1.24894,0.01239,,,,,1.96515,0.00247,1.95,-0.00215,,,1.94185,0.0037,1.95302,0.01215,1.54704,-0.00417,1.55414,-0.00261
1.97689,0.00143,1.94851,,0.31922,0.00693,,,,,2.02438,0.00365,1.97733,0.01149,,,,,0.31939,0.01446,1.2897,-0.01315,,,,,,,,,,,,,,,1.61324,,1.62037,
,,,,0.33345,0.01288,,,,,,,,,,,,,0.33361,0.01195,1.32536,-0.00338,,,,,,,,,,,,,,,1.67236,,1.67948,-0.00126
,,,,0.34767,9.70E-05,,,,,,,,,,,,,0.34785,0.00788,1.36601,0.00524,,,,,,,,,,,,,,,1.7315,0.00895,1.73862,-0.00174
,,,,0.37656,0.00688,,,,,,,,,,,,,0.37672,0.00754,1.40169,0.01883,,,,,,,,,,,,,,,1.79767,0.00129,1.80479,-0.00562
