S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.68477,,0.71596,-0.00165,-1.08365,0.00671,0.67797,,0.75292,-0.01267,0.56962,,0.62876,,0.75313,-0.00399,0.73531,0.00315,-1.08346,-0.00672,0.75979,-0.00357,0.75174,0.01122,0.57676,,0.7173,0.00261,0.77691,0.00347,0.7355,0.0071,0.70377,,0.82811,0.00844
0.72396,-0.00482,0.75157,0.00426,-1.06941,-0.00457,0.71714,-9.99E-04,0.78853,0.00218,0.59098,,0.66795,,0.79229,0.01817,0.77448,0.00636,-1.0692,-0.01666,0.79897,-0.00371,0.79089,0.00335,0.59809,,0.75297,4.68E-05,0.8281,0.01302,0.77468,-0.00154,0.74299,0.03175,0.86721,0.01323
0.75959,0.00825,0.79073,-0.01894,-1.05161,-0.00468,0.75279,-6.32E-04,0.83972,-0.00196,0.61587,,0.7036,,0.82791,-0.00423,0.81014,1.40E-04,-1.05141,-0.00535,0.83462,0.00898,0.82649,0.01646,0.62299,,0.79212,-0.00124,0.86568,0.00309,0.81032,-6.89E-04,0.77863,0.03223,0.90284,-0.00469
0.79877,0.00425,0.82633,1.82E-04,-1.03736,0.00396,0.79194,0.00592,0.8773,-0.00349,0.63719,,0.74282,0.01282,0.867,0.0024,0.84935,-0.00364,-1.03716,-0.00229,0.87376,0.00106,0.86565,0.0029,0.64431,,0.82779,-0.00771,0.91491,0.01214,0.84953,-0.00206,0.81784,0.01559,0.94201,0.01703
0.83443,-0.00522,0.86547,0.00862,-1.02311,-0.0087,0.8276,0.0161,0.92653,-0.0017,0.65855,,0.77847,-0.00672,0.90263,0.0027,0.88497,-0.00897,-1.02291,0.00106,0.90942,0.00377,0.90126,0.00506,0.66568,,0.86696,8.02E-04,0.95056,4.31E-04,0.88516,0.00707,0.85351,0.03905,1.00041,0.01503
0.87356,-0.00388,0.90111,0.00126,-1.00883,-0.01551,0.86679,0.00877,0.96218,0.00189,0.67991,,0.81766,0.02165,0.94181,0.01129,0.9242,-0.022,-0.99909,0.0096,0.94854,0.01255,0.94044,0.01406,0.68704,,0.90262,0.00574,1.00938,0.00943,0.9244,0.00138,0.8927,0.02146,1.04316,0.01058
0.90922,-0.00452,0.94025,-0.00359,-0.99928,-0.00171,0.90243,-0.00407,1.00672,-0.01526,0.70483,,0.85333,0.00758,0.98595,7.85E-04,0.95986,0.016,-0.98481,0.01152,1.02135,0.01083,1.02112,0.00745,0.71196,0.00422,0.94181,-0.00473,1.0522,0.006,0.96006,-0.00502,0.92836,-0.00223,1.08949,0.00516
0.94838,-0.01737,0.97589,0.00668,-0.98501,-0.01427,0.94162,0.00772,1.04954,-9.00E-04,0.72618,-0.01095,0.89252,0.00629,1.0287,0.00653,1.00684,-0.00113,-0.97057,-6.11E-04,1.06413,-0.01316,1.06388,0.00745,0.73332,-0.00909,1.02203,0.00242,1.09853,2.10E-04,1.02131,-0.00823,1.00166,0.02086,1.13229,0.00971
1.0069,0.01051,1.00672,0.00773,-0.97076,0.00604,0.97728,-0.00555,1.09588,-0.00783,0.74757,-0.00579,0.92818,0.00257,1.075,-5.69E-04,1.04965,-0.01412,-0.9563,-0.01277,1.11046,-0.01128,1.11016,0.01689,0.7547,0.0092,1.06484,0.0138,1.14133,-5.90E-04,1.06411,0.00765,1.05462,0.01796,1.17856,-0.0023
1.04969,,1.04944,0.00972,-0.95649,-0.0131,1.00757,-0.0073,1.13868,-0.01087,0.76892,0.00283,0.98723,0.00618,1.1178,0.00934,1.09597,0.012,-0.94204,-0.04877,1.15325,-0.00695,1.15297,-0.00324,0.77605,0.01397,1.11119,0.00511,1.18765,0.01355,1.11045,-6.96E-04,1.0974,0.01058,1.22134,0.01091
1.09602,-0.00258,1.09572,0.00119,-0.94223,-0.00898,1.05038,-0.00888,1.185,0.0063,0.79382,0.00217,1.04019,-0.00252,1.16412,0.00977,1.13878,-0.00109,-0.89126,0.01231,1.19955,-0.00535,1.19931,0.01921,0.80095,0.01877,1.15398,1.64E-04,1.23044,-0.00648,1.15322,0.0084,1.14369,0.00534,1.26763,0.01452
1.13878,,1.13851,0.01574,-0.92795,-0.00743,1.09672,-0.00221,1.2278,-1.18E-04,0.81517,0.00998,1.08296,-0.01196,1.20686,3.53E-04,1.18507,0.00541,-0.87701,-0.01059,1.24234,0.00142,1.24209,0.00672,0.8223,-0.00787,1.20032,0.02013,1.27672,-0.00454,1.1995,-0.01209,1.18647,-0.00911,1.31038,0.01354
1.18509,0.00674,1.18484,3.88E-04,-0.89146,-0.01862,1.13954,-0.00138,1.2741,-0.0107,0.83655,-0.00578,1.12927,-0.00276,1.25317,-0.00732,1.22782,0.00336,-0.86273,0.01164,1.28867,-0.01602,1.379,0.01052,0.84368,-0.00391,1.24311,-0.00972,1.34462,-0.01035,1.24228,-0.00581,1.23275,-0.00353,1.35662,0.00458
1.22788,-0.00242,1.22764,0.00318,-0.87721,-2.22E-04,1.18587,0.0021,1.31684,-0.00675,0.85791,9.63E-04,1.17205,-0.00326,1.29593,0.00279,1.27414,-0.00438,-0.84848,-0.00213,1.33145,-0.01288,1.41459,0.01048,0.86502,-0.00413,1.30921,-9.03E-04,1.38025,0.00671,1.2886,0.00549,1.27552,0.01731,1.39934,0.00376
1.2742,-0.01551,1.27396,-0.00751,-0.86294,0.00348,1.22866,-4.39E-04,1.35624,-0.01667,0.88278,0.01717,1.21833,0.02108,1.3422,0.00288,1.31694,-0.00379,-0.83419,0.00978,1.38308,-0.0278,1.45369,-0.01837,0.88991,0.00506,1.36419,0.00314,1.41949,-0.00516,1.35771,0.00335,1.33362,0.01299,1.44567,7.17E-04
1.317,0.01498,1.37884,-0.0044,-0.84869,6.88E-04,1.275,-0.00922,1.3919,0.01347,0.90413,-0.00481,1.2611,-0.00541,1.38488,-0.0021,1.35753,-3.15E-04,-0.81991,0.00314,1.41868,0.01544,1.48934,-0.00804,0.91127,-7.71E-04,1.39985,7.89E-04,1.45508,0.01066,1.39333,-0.0074,1.36922,0.00716,1.48845,-5.45E-05
1.38292,0.00484,1.41443,-0.00535,-0.8344,-0.00239,1.30904,-0.00709,1.43111,-9.50E-04,0.92551,-0.00134,1.30742,-5.45E-04,1.43122,0.0091,1.39316,-0.00976,-0.80208,-0.01264,1.4578,-0.00728,1.52854,-0.00692,0.93264,0.01693,1.43906,0.00895,1.49424,-0.00768,1.43242,0.003,1.42009,-0.00217,1.53472,
1.4185,-8.13E-04,1.45353,-0.00511,-0.8201,-0.00489,1.36402,-0.00389,1.46671,-0.01056,0.94686,-0.00549,1.33347,0.00258,1.47396,-0.00809,1.43225,0.00203,-0.78781,-8.41E-04,1.49343,-0.00456,1.56419,,0.95399,0.00696,1.47472,0.00352,1.52986,,1.468,0.00114,1.45569,0.01247,1.57744,
1.4576,-8.27E-04,1.48914,0.01888,-0.80229,-0.08853,1.39968,0.01146,1.50587,-0.00919,0.97179,-0.01064,1.36906,-0.00955,1.52027,4.12E-05,1.46782,-0.00403,-0.77356,-0.01808,1.53264,-0.01843,1.60333,,0.97892,0.01225,1.5139,0.00401,1.56904,,1.50716,3.29E-04,1.50694,0.00204,1.62366,
