Sample,Pyruv,Condition,Type,Time,Flux
S1P5_C1,C1,drought,sample,-0.10657,-6.77715
S2P4_C2,C2,pre-drought,sample,0.90262,-6.77806
S1P4W,C2,drought,water,0.43141,-6.7835
S3P3_C1,C1,drought,sample,0.05659,-6.78879
S1P2_C2,C2,pre-drought,sample,-0.86273,-6.8078
S1P2_C2,C2,pre-drought,sample,-0.86273,-6.8078
S2P1_C1,C1,pre-drought,sample,11.26273,-6.84366
S1P6_C2,C2,pre-drought,sample,1.82757,-6.9192
S1P1_C1,C1,drought,sample,1.23447,-6.95314
S1P5_C1,C1,pre-drought,sample,0.979,-6.95642
S2P6_C2,C2,pre-drought,sample,1.49424,-6.96124
S2P3_C1,C1,drought,sample,0.37888,-6.97722
S1P6_C2,C2,pre-drought,sample,0.05686,-7.00685
S3P5_C1,C1,pre-drought,sample,1.00684,-7.03289
S1P4W,C2,drought,water,0.11116,-7.06843
S2P2_C2,C2,drought,sample,0.02344,-7.07556
S2P8_C2,C2,pre-drought,sample,1.39685,-7.12029
S1P1_C1,C1,drought,sample,1.28688,-7.15139
S1P2_C2,C2,pre-drought,sample,1.71414,-7.17982
S1P2_C2,C2,pre-drought,sample,1.71414,-7.17982
S2P6_C2,C2,drought,sample,1.02123,-7.19273
S2P8_C2,C2,pre-drought,sample,0.06381,-7.25482
S2P1_C1,C1,drought,sample,0.08514,-7.33632
S2P3_C1,C1,pre-drought,sample,0.92653,-7.37486
S2P7_C1,C1,pre-drought,sample,1.97013,-7.37809
S3P4_C2,C2,drought,sample,-0.65424,-7.39978
S3P1_C1,C1,drought,sample,0.05666,-7.43426
S2P1_C1,C1,pre-drought,sample,10.52207,-7.50844
S3P3_C1,C1,pre-drought,sample,2.82817,-7.51217
S3P5_C1,C1,drought,sample,0.08562,-7.54439
S1P2_C2,C2,pre-drought,sample,1.22043,-7.60395
S1P2_C2,C2,pre-drought,sample,1.22043,-7.60395
S3P3_C1,C1,pre-drought,sample,-0.20163,-7.62239
S3P4_C2,C2,pre-drought,sample,1.85612,-7.63857
S1P4_C2,C2,drought,sample,-1.62777,-7.69643
S1P1_C1,C1,drought,sample,0.30926,-7.71476
S1P2_C2,C2,drought,sample,1.88469,-7.80251
S1P1_C1,C1,pre-drought,sample,0.12527,-7.80428
S1P5_C1,C1,pre-drought,sample,0.74041,-7.84735
S2P4_C2,C2,pre-drought,sample,1.5139,-7.85777
S2P4_C2,C2,pre-drought,sample,1.81322,-7.88545
S3P3_C1,C1,pre-drought,sample,0.82791,-7.93432
S1P5_C1,C1,drought,sample,0.25534,-7.939
S2P6_C2,C2,pre-drought,sample,-0.01727,-7.9962
S1P2_C2,C2,drought,sample,1.24959,-8.0412
S2P4_C2,C2,pre-drought,sample,0.19236,-8.06431
S1P1_C1,C1,pre-drought,sample,1.53244,-8.0676
S2P7_C1,C1,pre-drought,sample,0.85791,-8.09174
S1P2_C2,C2,pre-drought,sample,0.36731,-8.12058
S1P2_C2,C2,pre-drought,sample,0.36731,-8.12058
S1P5_C1,C1,pre-drought,sample,-1.15844,-8.13447
S2P3_C1,C1,pre-drought,sample,0.3192,-8.15753
S3P6_C2,C2,pre-drought,sample,0.82811,-8.16104
S1P2_C2,C2,drought,sample,-0.04948,-8.21451
S2P4_C2,C2,pre-drought,sample,1.92365,-8.22654
S1P6_C2,C2,pre-drought,sample,0.82649,-8.24757
S3P3_C1,C1,pre-drought,sample,2.69646,-8.25399
S1P5_C1,C1,pre-drought,sample,0.08799,-8.26183
S2P7_C1,C1,pre-drought,sample,0.81517,-8.26581
S1P3_C1,C1,pre-drought,sample,1.48914,-8.27949
S1P4_C2,C2,drought,sample,-0.03403,-8.30004
S1P5_C1,C1,drought,sample,0.04218,-8.31208
S3P1_C1,C1,drought,sample,0.73351,-8.3346
S1P1_C1,C1,pre-drought,sample,0.33043,-8.41446
S3P5_C1,C1,pre-drought,sample,0.32558,-8.49789
S1P4_C2,C2,drought,sample,0.2283,-8.50314
