Sample,Pyruv,Condition,Type,Time,Flux
S3P5,C1,pre-drought,sample,1.04965,10.16686
S3P4,C2,pre-drought,sample,0.34922,10.23887
S2P3,C1,pre-drought,sample,0.8773,10.25097
S1P4,C2,pre-drought,sample,0.26093,10.26264
S1P3,C1,pre-drought,sample,0.21353,10.27366
S3P5,C1,pre-drought,sample,1.76704,10.28158
S1P6,C2,pre-drought,sample,0.37781,10.35446
S1P2,C2,pre-drought,sample,-0.68439,10.35977
S1P5,C1,drought,sample,0.76752,10.38939
S2P6,C2,pre-drought,sample,0.95056,10.53763
S2P1,C1,pre-drought,sample,12.11506,10.58323
S1P6,C2,pre-drought,sample,1.52854,10.66331
S1P4,C2,pre-drought,sample,1.79291,10.68809
S2P4,C2,pre-drought,sample,1.96277,10.80063
S1P3,C1,pre-drought,sample,4.11455,10.97732
S1P2,C2,pre-drought,sample,-0.21111,11.09218
S3P3,C1,drought,sample,0.74206,11.1224
S1P1,C1,drought,sample,0.8724,11.14241
S2P1,C1,drought,sample,1.33846,11.16896
S1P2,C2,pre-drought,sample,-1.0977,11.21947
S1P5,C1,pre-drought,sample,-0.1366,11.2768
S1P5,C1,pre-drought,sample,0.94332,11.30882
S3P4,C2,drought,sample,-0.49757,11.31279
S1P2,C2,pre-drought,sample,1.52536,11.31781
S2P1,C1,pre-drought,sample,0.12453,11.34836
S3P2,C2,pre-drought,sample,1.80638,11.35282
S1P2,C2,drought,sample,0.24128,11.3888
S1P2,C2,pre-drought,sample,-0.03307,11.42852
S1P2,C2,pre-drought,sample,-0.15064,11.43645
S2P8,C2,pre-drought,sample,0.1101,11.51166
S2P8,C2,pre-drought,sample,0.1101,11.51166
S1P6,C2,pre-drought,sample,0.52743,11.5566
S1P2,C2,pre-drought,sample,-0.1364,11.63546
S2P1,C1,pre-drought,sample,16.1203,11.66701
S1P3,C1,drought,sample,0.03529,11.66908
S2P8,C2,pre-drought,sample,0.2206,11.70698
S2P8,C2,pre-drought,sample,0.2206,11.70698
S1P5,C1,drought,sample,0.25534,11.78063
S2P8,C2,pre-drought,sample,1.04301,11.84904
S2P8,C2,pre-drought,sample,1.04301,11.84904
S2P1,C1,drought,sample,0.28213,11.8654
S1P4,C2,pre-drought,sample,1.9426,11.89553
S3P5,C1,pre-drought,sample,1.80619,11.93271
S2P3,C1,drought,sample,-0.1616,11.96788
S3P2,C2,pre-drought,sample,0.2133,11.999
S1P2,C2,pre-drought,sample,-1.20104,12.0268
S3P1,C1,pre-drought,sample,1.12927,12.07955
S3P4,C2,pre-drought,sample,0.8927,12.09116
S2P8,C2,pre-drought,sample,0.50906,12.12519
S2P8,C2,pre-drought,sample,0.50906,12.12519
S3P6,C2,pre-drought,sample,0.45426,12.13541
S2P1,C1,pre-drought,sample,9.9155,12.16156
S2P1,C1,pre-drought,sample,0.86679,12.29332
S2P3,C1,pre-drought,sample,1.80497,12.55713
S1P2,C2,pre-drought,sample,-0.10792,12.5768
S1P3,C1,pre-drought,sample,4.12883,12.59084
S2P4,C2,pre-drought,sample,1.39985,12.6526
S1P5,C1,pre-drought,sample,-1.09789,12.6581
S3P2,C2,pre-drought,sample,1.02131,12.66827
S3P6,C2,pre-drought,sample,2.26593,12.71992
S3P6,C2,pre-drought,sample,0.23906,12.80775
S3P6,C2,pre-drought,sample,-0.17293,12.83655
S2P6,C2,pre-drought,sample,0.14615,12.86348
S3P1,C1,pre-drought,sample,1.80303,12.96685
S2P8,C2,pre-drought,sample,0.4877,12.97258
S2P8,C2,pre-drought,sample,0.4877,12.97258
S1P2,C2,pre-drought,sample,0.77971,12.99503
S2P3,C1,pre-drought,sample,1.31684,13.12878
S3P2,C2,pre-drought,sample,1.35771,13.15929
S2P4,C2,pre-drought,sample,1.5139,13.2549
S1P2,C2,pre-drought,sample,0.81529,13.30971
S2P6,C2,pre-drought,sample,1.82895,13.3692
S2P1,C1,pre-drought,sample,0.37892,13.37396
S1P1,C1,pre-drought,sample,-0.17954,13.41007
S3P4,C2,pre-drought,sample,-0.06925,13.66954
S2P7,C1,pre-drought,sample,0.99315,13.75134
S1P4,C2,drought,sample,0.09302,13.76192
