S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.33043,1.01E-04,0.34196,0.02111,-1.22977,-0.00282,0.32407,0.00117,0.3192,-0.00156,0.3488,-0.01177,0.30275,-0.00174,0.37933,0.01797,0.36125,-6.84E-04,-1.22959,0.00251,0.38561,0.00625,0.37781,-4.80E-04,0.35594,0.00417,0.34347,-0.00523,0.34316,1.68E-02,0.36145,-0.00719,0.34922,0.01112,0.45426,0.00923
0.34973,0.01393,0.37762,9.59E-03,-1.21551,-1.24E-03,0.34326,0.00318,0.3548,0.01092,0.37016,-0.00297,0.32414,-0.00562,0.41844,-1.85E-04,0.40043,0.00156,-1.21531,-0.01145,0.4248,-2.18E-03,0.41703,-0.00166,0.37727,0.01085,0.3791,0.01257,0.39405,-0.00646,0.4006,0.0023,0.36887,0.0359,0.49346,0.00524
0.38542,0.00803,0.41683,-0.00671,-1.20125,-0.0153,0.37892,0.0155,0.40569,-0.00883,0.3915,-0.00503,0.34906,-0.00172,0.45405,7.79E-03,0.43609,0.01344,-1.20104,0.00712,0.46047,2.08E-03,0.45263,0.00236,0.39861,-0.00156,0.41819,0.00243,0.42963,-0.00896,0.4363,-1.12E-03,0.40442,-0.00127,0.52911,0.00724
0.42461,1.42E-02,0.45247,0.00348,-1.18696,-0.00582,0.41803,8.85E-04,0.44126,0.00516,0.41285,0.00239,0.36872,0.00327,0.49325,-0.001,0.47529,0.01356,-1.18678,-2.25E-02,0.49965,-0.00154,0.49179,0.00958,0.41995,0.00265,0.45376,-0.00244,0.48088,-0.00582,0.47547,1.28E-03,0.44353,0.00421,0.56826,0.01405
0.46028,-0.00864,0.4916,0.01016,-1.17272,0.00932,0.45358,-0.00596,0.4925,-7.45E-03,0.43779,0.00903,0.40426,2.17E-04,0.5289,0.01106,0.51091,0.0146,-1.17252,-4.00E-03,0.53531,-0.01116,0.52743,0.01929,0.44492,-3.25E-03,0.49292,0.01029,0.51648,-0.00323,0.5111,-0.01055,0.47916,0.0065,0.6039,1.03E-04
0.49946,-9.38E-03,0.52723,-0.00391,-1.15844,-0.01275,0.49273,0.01555,0.52811,-0.00595,0.45918,-4.24E-04,0.44337,-0.01854,0.56806,-0.01694,0.5501,0.01188,-1.15825,-0.00414,0.57449,-1.27E-03,0.56659,-0.00388,0.46632,-0.01138,0.52856,-0.00285,0.56767,0.00602,0.55029,0.00883,0.51837,0.0054,0.643,-0.00472
0.53512,-0.00314,0.5664,7.71E-03,-1.14065,-1.09E-02,0.52838,-0.00756,0.57931,-0.00307,0.48056,-0.00435,0.47899,0.00329,0.60369,0.01034,0.58575,1.06E-02,-1.14046,0.00334,0.61014,0.01867,0.60221,-0.00593,0.4877,0.01701,0.56771,-0.00579,0.60326,-0.00529,0.58594,-8.85E-05,0.55405,7.92E-04,0.67859,-0.01504
0.57429,0.00417,0.60204,-0.00159,-1.12638,0.00145,0.56753,-0.00245,0.6149,0.00178,0.50192,9.24E-04,0.51819,0.01355,0.64279,0.00852,0.62495,-0.00812,-1.12619,0.01295,0.64929,0.01166,0.64137,-6.46E-05,0.50906,0.01192,0.60334,-0.00474,0.6545,-0.0063,0.62514,0.00424,0.59331,-0.00293,0.71773,0.00532
0.60994,-0.00232,0.64118,-2.78E-04,-1.11214,-0.01334,0.60317,0.01415,0.66611,-0.00147,0.52686,-0.0028,0.55388,0.00154,0.67838,-0.00137,0.66054,-0.0059,-1.11194,0.0068,0.68497,-0.00927,0.67696,0.0024,0.534,0.01616,0.6425,-0.01413,0.69012,-0.00169,0.66074,-0.00976,0.62891,-0.01505,0.75333,-0.00313
0.6491,-0.00905,0.67679,0.00163,-1.09789,-0.00369,0.64233,0.00483,0.70174,0.01802,0.54823,-0.01243,0.59311,0.01708,0.71752,0.00547,0.69971,0.00718,-1.0977,-0.00745,0.72416,1.17E-02,0.71612,-0.00431,0.55537,0.00994,0.67815,0.0016,0.7413,0.00265,0.69988,-0.00159,0.66813,0.004,0.7925,0.00207
0.68477,-4.20E-04,0.71596,0.00567,-1.08365,-1.15E-02,0.67797,1.67E-02,0.75292,-0.0152,0.56962,0.01151,0.62876,-0.00931,0.75313,0.00653,0.73531,0.00455,-1.08346,-0.00743,0.75979,-0.0152,0.75174,0.02723,0.57676,-0.00753,0.7173,-0.00775,0.77691,-0.01406,0.7355,-0.01052,0.70377,-0.00218,0.82811,-5.38E-03
0.72396,-0.00422,0.75157,0.00881,-1.06941,0.0129,0.71714,0.01316,0.78853,1.10E-02,0.59098,0.00268,0.66795,-0.0099,0.79229,-0.00757,0.77448,-5.29E-04,-1.0692,6.69E-03,0.79897,-0.00736,0.79089,0.00349,0.59809,-0.00235,0.75297,-3.82E-04,0.8281,-0.01043,0.77468,-1.13E-04,0.74299,0.00827,0.86721,0.0103
0.75959,0.00137,0.79073,-0.0072,-1.05161,0.00707,0.75279,0.00872,0.83972,0.01049,0.61587,-0.00129,0.7036,-0.00958,0.82791,-0.00688,0.81014,-0.01278,-1.05141,-0.01203,0.83462,-4.17E-03,0.82649,0.00167,0.62299,0.00748,0.79212,-0.00929,0.86568,0.01577,0.81032,0.0154,0.77863,-2.33E-04,0.90284,-0.00668
0.79877,-0.00168,0.82633,-0.00512,-1.03736,7.20E-03,0.79194,0.00631,0.8773,-0.00924,0.63719,,0.74282,0.00691,0.867,-9.32E-04,0.84935,-2.34E-02,-1.03716,0.01196,0.87376,0.01475,0.86565,-0.01066,0.64431,0.00873,0.82779,-6.82E-04,0.91491,0.01202,0.84953,-0.0137,0.81784,0.00749,0.94201,0.00538
0.83443,-2.33E-04,0.86547,-0.00656,-1.02311,-3.98E-03,0.8276,-0.00946,0.92653,-0.00684,0.65855,-0.01035,0.77847,0.0087,0.90263,0.00341,0.88497,9.29E-04,-1.02291,-0.0014,0.90942,6.94E-04,0.90126,0.01228,0.66568,-0.00688,0.86696,0.00263,0.95056,-0.00843,0.88516,-0.01332,0.85351,0.00101,1.00041,-9.52E-04
0.87356,-0.0072,0.90111,-0.01155,-1.00883,-0.0026,0.86679,-0.00251,0.96218,0.00364,0.67991,-2.61E-04,0.81766,-0.00151,0.94181,-3.03E-03,0.9242,0.00525,-0.99909,-0.0032,0.94854,0.00468,0.94044,-0.01536,0.68704,0.00363,0.90262,-0.00231,1.00938,0.00565,0.9244,3.39E-03,0.8927,0.01713,1.04316,0.00247
0.90922,0.00295,0.94025,-0.00564,-0.99928,-0.03585,0.90243,0.01045,1.00672,-0.02264,0.70483,0.00297,0.85333,0.01311,0.98595,-0.00255,0.95986,0.00837,-0.98481,-0.01184,1.02135,0.00518,1.02112,-0.00606,0.71196,-0.01299,0.94181,-2.18E-03,1.0522,-0.00149,0.96006,-0.00699,0.92836,-0.01568,1.08949,-0.00827
