"","X3300044942_Site3_PreDrought_6hr","X3300044943_Site3_PreDrought_48hr","X3300044944_Site3_PreDrought_0hr","X3300044945_Site3_Drought_6hr","X3300045458_Site1_PreDrought_48hr","X3300045459_Site1_Drought_6hr","X3300045460_Site1_Drought_48hr","X3300045461_Site2_PreDrought_0hr","X3300045462_Site2_PreDrought_6hr","X3300045463_Site2_PreDrought_48hr","X3300045464_Site2_Drought_0hr","X3300045465_Site2_Drought_48hr","X3300045466_Site2_Pre_drought_0hr","X3300045467_Site2_PreDrought_6hr","X3300045468_Site2_PreDrought_48hr","X3300045469_Site2_Drought_0hr","X3300045470_Site2_Drought_6hr","X3300045471_Site3_Drought_6hr","X3300045472_Site3_Drought_48hr","X3300045473_Site2_Drought_48hr","X3300048051_Site1_Drought_0hr","X3300048052_Site3_PreDrought_0hr","X3300048053_Site3_PreDrought_48hr","X3300048054_Site3_Drought_0hr","X3300048092_Site1_PreDrought_0hr","X3300048093_Site1_PreDrought_6hr","X3300048094_Site1_PreDrought_48hr","X3300048095_Site1_Drought_6hr","X3300048096_Site1_Drought_48hr","X3300048099_Site1_PreDrought_0hr","X3300048100_Site1_PreDrought_6hr","X3300049511_Site2_Drought_6hr","X3300049512_Site3_Drought_0hr","X3300049557_Site3_Drought_48hr","X3300049628_Site1_Drought_0hr"
"KO:K00016",4.41894559978416,3.7782198838009,2.46316411113114,2.46316411113114,4.96782063492423,2.46316411113114,6.56355054641108,3.94523758044685,3.97585831880336,3.83523985163358,2.46316411113114,2.46316411113114,2.46316411113114,4.30980851361349,2.46316411113114,3.81228544227896,2.91599347699194,3.3000176039767,4.58148423600548,3.97170833968282,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,4.9477777778059,5.99150279025949,4.65389303948068,3.27171352720386,4.13279135532086,5.25119645072438,4.44124478265103,3.57387017649583,2.46316411113114,4.37953479478628,3.57645853688804
"KO:K00018",3.90377406616336,3.99990204923952,2.46316411113114,2.46316411113114,3.92098022484782,2.46316411113114,4.09148890334444,2.46316411113114,3.63931669846391,3.55433902485492,2.46316411113114,2.46316411113114,2.46316411113114,4.02038302022,2.46316411113114,2.46316411113114,3.24124670614585,4.16329435330167,4.44563112846443,3.50444654850853,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,3.75196213132422,6.08912153323951,5.18158992137789,3.67823876651827,3.55295678784499,2.46316411113114,3.45864097049382,4.18461438642651,2.46316411113114,2.46316411113114,3.91117916062915
"KO:K00019",6.50001628888244,6.47119512917517,6.63978781330654,5.92168746148591,7.66413468697469,6.42009278808063,5.44263448845571,7.31665504597571,7.30620994128679,6.66217262170112,5.3404955530531,5.65446103803216,6.63795209388484,6.19340252787401,7.69944175494831,2.46316411113114,4.54989681455145,6.57919070777003,6.25066724870291,6.23676342715618,4.46600320418695,8.02231615408813,2.46316411113114,2.46316411113114,7.71199472666418,6.27388106135666,7.16876371270976,6.74604690882026,6.61679050507076,5.43985844976954,6.90248990928528,7.08604353816206,5.39721447046321,6.06196718651419,5.2744218315313
"KO:K00020",5.77562840769601,6.32807159496284,6.52593457032649,4.20880731262672,7.11946410629837,4.11672427937382,4.54737389882383,6.02608468598518,6.34812356472025,6.09739765666359,4.40163611036948,4.70811651796375,7.65781875800942,6.519854116841,8.30079354256192,6.423603156805,4.83732702843653,5.528091081357,7.30448103936962,5.55381821710989,2.46316411113114,7.58510235463919,5.51484049870122,2.46316411113114,6.42445185484443,7.00221300828617,7.44391155605424,6.34294903223704,6.48969503809434,7.33482793748133,5.8007416983762,5.84755705753557,6.65026100504793,6.08402626677546,7.35314012923378
"KO:K00021",3.00452927486732,3.57424443365573,3.72907788817847,2.46316411113114,4.36302403119714,2.46316411113114,5.06736503108216,2.46316411113114,3.5561493992531,3.83523985163358,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,3.6337833501532,2.46316411113114,2.46316411113114,4.34561266870073,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,3.9839153085946,5.16649420519899,5.20225990847512,2.46316411113114,5.86647321828162,2.46316411113114,4.26297696440343,2.46316411113114,7.37228071493782,6.53133193564065,2.46316411113114
"KO:K00023",8.07855100533896,8.66720325448597,7.95258112316586,7.49879703204185,7.8897116827935,8.94548424545823,4.54737389882383,8.02836297858302,8.37415879644793,7.8866317211231,8.29154960775411,5.65446103803216,7.94489589835026,7.88353236558458,6.43931873536633,5.12009977668029,7.70848037676487,7.68632094716787,7.99667032166001,7.5300868889369,2.46316411113114,7.19655346031033,8.33134623070097,2.46316411113114,8.11654240307263,8.29874442621041,8.69435916366784,7.29108553195213,7.12381520229737,8.02650164131606,8.48463646000486,7.91239534907004,5.93497397989658,5.71063732102315,7.02988100531977
"KO:K00024",8.25518600711217,8.59028021908965,7.87122699979198,7.72281588633159,10.208402705245,8.71148358654786,8.58318323983737,14.3066805473692,8.20996237505332,8.30221792234999,8.3016436027437,8.1528555833351,8.22761308767407,7.94855783896563,7.38828278687909,7.82860917341102,7.37852860005349,7.86234837577205,7.96970130132038,8.40549205318219,8.21541412574101,6.66252699344787,7.31602524597033,6.24170923410291,8.37775837085128,9.14526223821077,9.20537808302303,8.17716486131142,9.10853724503733,8.26978958883722,8.87114869817984,8.34999615280432,7.11010975231595,8.64200992613078,8.20299097990364
"KO:K00026",2.46316411113114,2.46316411113114,2.46316411113114,5.54872037235626,2.46316411113114,4.88782901641832,7.69974356784846,2.46316411113114,2.46316411113114,3.33327539690054,5.25832534589756,8.72189401063529,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,5.59069272359726,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,3.47311576848683,2.46316411113114,2.46316411113114,7.10662370342166,3.43738302000644,6.19063417705602,2.46316411113114,3.70459245941122,7.38615230461668,2.46316411113114
"KO:K00027",6.42519508103154,6.32807159496284,7.21029512233851,7.38537361056666,5.74830655949029,8.3830117293681,8.26411907894234,6.44082908524974,6.24085544594737,5.64716047233784,8.35593171411097,7.96907921670453,6.76159795918141,6.30738525553762,7.84708117781255,7.55778728470684,6.13542945497549,5.71217171619621,5.37025057669887,7.67275243560807,2.46316411113114,6.29594666464591,2.46316411113114,6.75912196745632,7.09161467396292,7.95728221223373,8.16894532742225,7.77799659496091,8.41293614991282,7.16120663622738,5.29000505447645,6.73305573243055,6.98361943216933,11.483659853148,7.22576268186426
"KO:K00029",7.84007738435695,7.99893446434973,6.63978781330654,6.38413713185951,7.9997486111082,4.88782901641832,6.40591186895353,5.599870736054,7.71260787536849,7.03469654227585,5.10160660939125,6.52459327949148,5.52084958637287,6.47627368001481,8.51018219723263,6.07899628355879,6.11262729519611,6.44292987590078,8.71744834610123,7.75523794640893,2.46316411113114,2.46316411113114,7.97355785346483,7.43853693000588,6.84372556798779,8.74386150927171,9.41784370424456,7.07949781056739,6.79927047310794,7.58447073192915,8.50802359411187,7.74097817666843,8.09190669248298,6.80710790764643,6.79181769738322
