"","p.Weighted","q.Weighted","cor.Weighted","Z.Weighted","p.Standard","q.Standard","cor.Standard","Z.Standard"
"KO:K10544",0.339496068793852,0.732895413134359,0.168946554059676,0.969644464234752,0.25251390936527,0.196229409916075,0.201760133263713,1.16529193793283
"KO:K10545",0.878827290100662,0.999932788867681,0.0271569880785861,0.153679803449418,0.432030780867694,0.281667804356758,-0.139301626212834,-0.795767733844497
"KO:K10546",0.800618661325421,0.999932788867681,-0.0449716086432199,-0.254655479218146,0.705642976547321,0.384084151166292,0.0672183443894993,0.381106329320178
"KO:K10547",0.610939646846884,0.996112287770496,0.0904509840952441,0.513774040571904,0.43054376547145,0.281667804356758,0.139747549707594,0.79836575155931
"KO:K10548",0.00950609907140909,0.0412498699907169,0.43837860927918,2.75909030702212,0.0104735909467071,0.0208295752425493,0.433288155041744,2.71959293936524
"KO:K10552",0.887811527008737,0.999932788867681,-0.0251301701010198,-0.142202618904292,0.831737269684782,0.421373900051685,-0.0378413981455192,-0.214216704952013
"KO:K10553",0.0355495304742948,0.128024563743394,0.361719089831087,2.19480897677368,0.0327185664425218,0.046892519369195,0.367075244982486,2.23232712190042
"KO:K10554",0.521907674631051,0.930966235197733,0.113725597597183,0.647530177337685,0.924002868282879,0.447508348082627,-0.0169942243047447,-0.0961477348865521
"KO:K10559",0.00133648776374828,0.00763848095062626,-0.527804532840821,-3.51522639699992,0.00243580969616608,0.00724550743088823,-0.50287942077407,-3.29113663478467
"KO:K10561",0.7976463414846,0.999932788867681,0.045656092488124,0.258539461384814,0.591707349164554,0.343648634944025,0.0953417862491059,0.541802718946265
"KO:K10563",6.19455193446861e-05,0.000508556964959022,0.631527041030843,4.60751747685415,0.00543086271670745,0.0130294676869563,0.466391897225603,2.98256386507186
"KO:K10619",0.833121163044268,0.999932788867681,0.0375257251882011,0.212427178545431,0.533772362609087,0.32239827453627,0.110522615701554,0.629064221443094
"KO:K10621",0.191795910187206,0.490891117553119,0.229436348691812,1.33345980098621,0.0173060086462176,0.0299868856222455,0.405640864406817,2.51046996729164
"KO:K10622",0.975487146827905,0.999932788867681,-0.00547439664541441,-0.0309683279756952,0.874405007092564,0.434509639258452,0.0281558582064661,0.159336755959311
"KO:K10670",0.148788546875662,0.404033370107351,-0.253027937608619,-1.47948616459029,0.0158072056865239,0.0281358839778418,-0.410793907386213,-2.54878721949662
"KO:K10672",0.730630658247338,0.999932788867681,-0.0612813352373315,-0.347312343818131,0.751604444342165,0.398255777041514,0.0563480112072425,0.319259730129126
"KO:K10674",0.437251029619634,0.848446539697587,-0.137742844541825,-0.786689903888823,0.211617637759759,0.17289344648687,-0.219814241486068,-1.27463240856807
"KO:K10678",0.182504832959162,0.474316718790578,-0.234187025836248,-1.36265518181956,0.00695941538776124,0.0155835853593297,-0.454263839859954,-2.88449764428076
"KO:K10680",0.0353142909675181,0.127365528903256,-0.362150675502685,-2.19782274610009,0.0286907356637522,0.0429357158747458,-0.375388600205973,-2.29107024838824
"KO:K10704",0.883822126257906,0.999932788867681,-0.0260297700571395,-0.147296524117475,0.315228242621737,0.228333924025183,-0.17750481669649,-1.02032165414912
"KO:K10713",3.01836555749446e-10,1.36001936456873e-08,-0.845854751149229,-8.97029960875909,0.000410404788951935,0.00203381281013836,-0.571872991498356,-3.94347903435523
"KO:K10715",0.00380184595389577,0.0189602999631224,-0.483108127178783,-3.12128247149163,0.0103493046522958,0.0206730696070032,-0.433919193914482,-2.72447167022764
"KO:K10716",0.026928407706809,0.101604264716539,0.37933005972072,2.31914440698575,0.0310140916228758,0.045226531923341,0.370485036119711,2.25634488449875
"KO:K10725",0.725635625076679,0.999932788867681,0.0624627500140444,0.354033996487098,0.217248147549526,0.176137775624519,0.217195334715581,1.25868958741451
"KO:K10726",0.25624138215228,0.603241406950234,-0.200215195109017,-1.15599482288852,0.528155068112749,0.321135148621377,-0.112034702014422,-0.637779250310505
"KO:K10747",3.71407318680017e-05,0.000319113827025514,0.645777758335905,4.78447802598288,0.0021610095223108,0.0066433068536058,0.508002132747121,3.33624500667439
"KO:K10764",0.00567544682746091,0.0267082769865369,-0.464268807369564,-2.96524527653478,0.00930266889885711,0.019262126987952,-0.439504559469803,-2.76787077145608
"KO:K10773",0.350372307719602,0.745753012990797,0.16523273778352,0.947724362287559,0.958422907742903,0.457580528837639,0.00928792569659443,0.0525427083078044
"KO:K10775",0.0372589964354821,0.132945314168962,0.358650547081828,2.17342790377377,0.0144710129407204,0.0261945447109878,0.41574516350342,2.58588075123224
"KO:K10778",0.00571935457392536,0.0268636351199525,0.463896016879827,2.96221107421454,0.00508314875805693,0.0124086247067843,0.469556243550052,3.00849872427293
"KO:K10780",0.553740979825164,0.956641237994878,-0.105207963769756,-0.598467466376486,0.373154062207667,0.255883416913703,-0.157672492272997,-0.903228375471111
"KO:K10794",0.275903858946864,0.635251012132561,0.192301320671542,1.1085098515621,0.071211223069586,0.0798269565143666,0.313282222299586,1.86613286781486
"KO:K10804",0.00657277826973912,0.0300348063623103,-0.457097501043152,-2.90722476260001,0.141502214164285,0.130345836470166,-0.257497965430544,-1.50746182030729
