"","p.Weighted","q.Weighted","cor.Weighted","Z.Weighted","p.Standard","q.Standard","cor.Standard","Z.Standard"
"KO:K05994",0.930258685834919,0.999845537267913,-0.0155917593594399,-0.088211033022851,0.98333024261973,0.483937268994815,0.00372251701932855,0.0210578821210381
"KO:K05995",0.968156275486832,0.999845537267913,-0.00711231554095133,-0.0402343500323798,0.98464779877052,0.483937268994815,-0.00342825800216721,-0.0193932698123443
"KO:K06001",0.0018565324381008,0.0126433448113192,-0.514389629662835,-3.39316050833481,0.00637051525230659,0.0194013554363408,-0.458637178189892,-2.91962042283998
"KO:K06006",0.877785342882996,0.999845537267913,0.0273922604792548,0.155012191617232,0.886900193665441,0.459714850214239,0.0253356189203843,0.143365923772968
"KO:K06013",0.804254906345471,0.999845537267913,0.0441350915913022,0.249909299015863,0.624375121192938,0.381487256262762,0.0870729541614687,0.494436912968901
"KO:K06015",0.701316267640134,0.999845537267913,-0.0682534709029067,-0.387002421623897,0.55468320062163,0.355866949459294,-0.104959441012559,-0.597037997286039
"KO:K06016",0.775711016882208,0.999845537267913,-0.0507281207981606,-0.287331525029347,0.28156066943798,0.234717402443961,-0.190093040960284,-1.09530024360654
"KO:K06019",0.582671200851106,0.999845537267913,0.0976635302404336,0.555122122476665,0.152190728378416,0.160599454971963,0.250995186136714,1.46679782605101
"KO:K06020",0.00179922788051234,0.0123180354010342,-0.515693148965688,-3.40486894873449,0.00562829852081448,0.0177260501112936,-0.464671877902917,-2.96852819354325
"KO:K06023",0.024561937137026,0.11494867923427,-0.384970729539389,-2.35957892833529,0.0202982225873249,0.0440572021774201,-0.396378663479159,-2.4423132450183
"KO:K06024",0.0235520424712889,0.110623229789387,-0.387515213487692,-2.37791987408747,0.0263091035465828,0.0526248148187386,-0.380765520636702,-2.3294053693557
"KO:K06033",0.00107948495584953,0.00780411232074054,-0.536235952298892,-3.59379595972546,0.0293291494942474,0.0566097856289358,-0.374009724429512,-2.28128311895843
"KO:K06034",0.0191226733120151,0.092509811590585,-0.399872507604876,-2.46791689879643,0.0327021478563019,0.0604123576085646,-0.367107391534946,-2.23255306627128
"KO:K06039",0.610691285191155,0.999845537267913,-0.0905137198739603,-0.514133330981288,0.142536012475246,0.153484406727892,-0.25685367433367,-1.50342319023762
"KO:K06041",0.421861405945315,0.920602058746591,-0.142368406556458,-0.813645329764297,0.292206693555595,0.238869432913035,-0.186013486466671,-1.07094212965151
"KO:K06042",0.914650237625802,0.999845537267913,0.0190928486968583,0.10802515365623,0.349147936209783,0.268515353407738,0.16564728911227,0.950169098957875
"KO:K06044",8.22452857374145e-07,1.20719879633516e-05,0.733013397220594,6.09594734095862,0.00221062339297928,0.0090055741488774,0.507036761497861,3.32770827713109
"KO:K06045",0.908411662908044,0.999845537267913,0.0204941014799904,0.115956498944027,0.879605390604743,0.457236168355899,0.026981321899639,0.152684992269368
"KO:K06048",0.0711268324340923,0.273668299806327,0.313371004756823,1.86671929988126,0.0500162351539242,0.0784928785693022,0.338765486073245,2.03678006530846
"KO:K06075",2.93526339323336e-06,3.80406208989273e-05,0.707124990708902,5.65714561310507,2.83881575180445e-05,0.000393153546920872,0.65298419101218,4.87717878394057
"KO:K06076",9.99431415849017e-07,1.44507340911005e-05,-0.729228836435479,-6.02852939566051,0.000363846114835642,0.00233223113979046,-0.576041764541949,-3.98642467434191
"KO:K06077",0.768947565963302,0.999845537267913,-0.0522997754125,-0.296257656054699,0.90535748400046,0.464205996390025,-0.0211805392698787,-0.119842108089159
"KO:K06078",0.657352400071304,0.999845537267913,-0.0789044535258819,-0.447746986300569,0.200355502804858,0.190574544581734,-0.225200332622278,-1.30751220344923
"KO:K06113",0.749810912233735,0.999845537267913,-0.0567682134982952,-0.321648204578537,0.174432499211139,0.175202784549593,-0.238455163817917,-1.38897310933897
"KO:K06118",0.0769080960161972,0.289619895104727,0.307469903875448,1.82785787822078,0.011172317445113,0.0290777834317724,0.429854108952425,2.69312932196521
"KO:K06131",2.53283838347329e-09,6.21186628858165e-08,0.82191727962577,8.16258810646189,0.00019588767441947,0.00150077816539994,0.596632587454359,4.20561061710348
"KO:K06132",0.999452113848126,0.999845537267913,-0.000122339775566848,-0.000692058284476295,0.718976089512558,0.410656527949293,-0.0640419532338454,-0.363021202631741
"KO:K06133",0.0488504164882535,0.203982073159464,0.340401124981757,2.04789945725244,0.0533862893569739,0.0824723470422918,0.334202451297307,2.00586941834174
"KO:K06134",0.637599920763166,0.999845537267913,-0.0837769791266184,-0.475586069122038,0.584601659719983,0.367524560987341,-0.0971661909847123,-0.552268219398274
"KO:K06135",0.0001831926705822,0.00160241895825287,-0.598779669775391,-4.22918089376485,0.00130642720142182,0.00604570450709257,-0.528713101564524,-3.52362258011627
"KO:K06136",0.0375597795551799,0.163001571678901,-0.358122493978177,-2.16975670960525,0.0127534696105642,0.0315896737708866,-0.422707376427678,-2.63851167329746
"KO:K06137",0.829646803660043,0.999845537267913,0.0383184590681527,0.216921249717118,0.177464294343751,0.176380519350156,0.23683604778572,1.37897947764144
"KO:K06138",0.795790352354193,0.999845537267913,-0.0460838266780216,-0.260966748090087,0.620449272641527,0.381487256262762,-0.0880568605798956,-0.500067362748706
"KO:K06139",0.445520415726896,0.949088296284619,-0.135294294012982,-0.77244235632902,0.0610293956846677,0.0898321328600631,-0.324645061306727,-1.94163676730779
"KO:K06140",0.185268474299671,0.559559889252709,0.232756493349519,1.35385307145409,0.00708393814782871,0.0209682550209672,0.453379864771785,2.87743045262845
"KO:K06142",0.000115563810343167,0.00105119663164265,-0.613141064896483,-4.3905901979427,0.00193390692274109,0.00810754070049637,-0.512684283691937,-3.37789104534211
"KO:K06143",0.0551915849770099,0.226794689062475,-0.331851684322834,-1.9900071843619,0.0706277041971524,0.0987111190599268,-0.313897796302734,-1.87020001740204
"KO:K06145",0.0708813846604848,0.273298871203362,-0.313629694160891,-1.86842832271798,0.012912463997675,0.0318587214488632,-0.42203080040085,-2.63337244914711
"KO:K06147",7.14377268451472e-08,1.28754042569742e-06,0.775606887201925,6.95085892252542,0.00106865988641336,0.00519900768935815,0.536628513337265,3.59749034562044
"KO:K06148",0.0366929573479067,0.160118479417949,-0.359653721773383,-2.18040889584781,0.0484567132078944,0.077389683603965,-0.340960533785906,-2.05170724439972
"KO:K06149",0.0365271729800618,0.159574741034656,-0.359949911445175,-2.18247170869461,0.0374582643394401,0.0662472153890964,-0.358300329256127,-2.1709928103328
"KO:K06151",0.000848738354272349,0.0063005002352593,-0.545475552862845,-3.68163378670969,0.0173186433229175,0.0394944527676554,-0.405599037147688,-2.51016012821352
