"","Label","Pyr","Flux","Time","Condition"
"121","S2P8","C2",0.00632,-0.12279,"Pre-Drought"
"122","S2P4","C2",0.0025,-0.16826,"Pre-Drought"
"123","S2P6","C2",0.01517,-0.1369,"Pre-Drought"
"124","S3P2","C2",-0.00133,-0.16334,"Pre-Drought"
"125","S3P4","C2",-0.00278,-0.14403,"Pre-Drought"
"126","S3P6","C2",-0.00158,-0.17293,"Pre-Drought"
"127","S1P1","C1",0.00738,-0.10471,"Pre-Drought"
"128","S1P3","C1",-0.0146,-0.04495,"Pre-Drought"
"129","S1P5","C1",0.00911,-1.48253,"Pre-Drought"
"130","S2P1","C1",-0.0026,-0.12216,"Pre-Drought"
"131","S2P3","C1",0.0202,-0.07897,"Pre-Drought"
"132","S2P7","C1",0.00141,-0.08367,"Pre-Drought"
"133","S3P1","C1",-0.00265,-0.1727,"Pre-Drought"
"134","S3P3","C1",0.00635,-0.12685,"Pre-Drought"
"135","S3P5","C1",-0.0077,-0.11728,"Pre-Drought"
"136","S1P2","C2",0.00567,-1.48236,"Pre-Drought"
"137","S1P4","C2",-0.00609,-0.07598,"Pre-Drought"
"138","S1P6","C2",0.00761,-0.00735,"Pre-Drought"
"139","S2P8","C2",0.01461,-0.04801,"Pre-Drought"
"140","S2P4","C2",0.01858,-0.09343,"Pre-Drought"
"141","S2P6","C2",-0.02039,-0.06207,"Pre-Drought"
"142","S3P2","C2",0.00257,-0.08854,"Pre-Drought"
"143","S3P4","C2",-0.01681,-0.06925,"Pre-Drought"
"144","S3P6","C2",0.000115,-0.09814,"Pre-Drought"
"145","S1P1","C1",0.0024,-0.02986,"Pre-Drought"
"146","S1P3","C1",-0.00774,-0.00755,"Pre-Drought"
"147","S1P5","C1",0.0053,-1.46832,"Pre-Drought"
"148","S2P1","C1",0.000711,-0.04726,"Pre-Drought"
"149","S2P3","C1",-0.00389,-0.02704,"Pre-Drought"
"150","S2P7","C1",0.00738,-0.00747,"Pre-Drought"
"151","S3P1","C1",-0.00167,-0.09791,"Pre-Drought"
"152","S3P3","C1",-0.00449,-0.05207,"Pre-Drought"
"153","S3P5","C1",0.00275,-0.04241,"Pre-Drought"
"154","S1P2","C2",0.00263,-1.46814,"Pre-Drought"
"155","S1P4","C2",0.0125,-0.00652,"Pre-Drought"
"156","S1P6","C2",-0.02331,0.01405,"Pre-Drought"
