"","Label","Time","Time_Flux"
"2125","S1P4.C2","Flux",0.09008
"2126","S1P2.W","time",1.67236
"2127","S1P2.W","Flux",0.00034
"2128","S1P4.W","time",1.67948
"2129","S1P4.W","Flux",-0.000543
"2130","S1P5.C1","time",0.34767
"2131","S1P5.C1","Flux",-0.00287
"2132","S1P2.C2","time",0.34785
"2133","S1P2.C2","Flux",0.0755
"2134","S1P4.C2","time",1.36601
"2135","S1P4.C2","Flux",0.09
"2136","S1P2.W","time",1.7315
"2137","S1P2.W","Flux",-0.00341
"2138","S1P4.W","time",1.73862
"2139","S1P4.W","Flux",-0.00125
"2140","S1P5.C1","time",0.37656
"2141","S1P5.C1","Flux",0.00567
"2142","S1P2.C2","time",0.37672
"2143","S1P2.C2","Flux",0.0963
"2144","S1P4.C2","time",1.40169
"2145","S1P4.C2","Flux",0.05637
"2146","S1P2.W","time",1.79767
"2147","S1P2.W","Flux",-0.00558
"2148","S1P4.W","time",1.80479
"2149","S1P4.W","Flux",-0.000734
"2150","S1P5.C1","time",0.39079
"2151","S1P5.C1","Flux",-0.01165
"2152","S1P2.C2","time",0.39096
"2153","S1P2.C2","Flux",0.10445
"2154","S1P4.C2","time",1.44237
"2155","S1P4.C2","Flux",0.07586
"2156","S1P2.W","time",1.85679
"2157","S1P2.W","Flux",0.00247
"2158","S1P4.W","time",1.8639
"2159","S1P4.W","Flux",0.00717
"2160","S1P5.C1","time",0.41215
"2161","S1P5.C1","Flux",0.00166
"2162","S1P2.C2","time",0.41231
"2163","S1P2.C2","Flux",0.11919
"2164","S1P4.C2","time",1.47804
"2165","S1P4.C2","Flux",0.06385
"2166","S1P2.W","time",1.91595
"2167","S1P2.W","Flux",0.00886
"2168","S1P4.W","time",1.92306
"2169","S1P4.W","Flux",0.000365
"2170","S1P5.C1","time",0.42638
"2171","S1P5.C1","Flux",0.00386
"2172","S1P2.C2","time",0.42655
"2173","S1P2.C2","Flux",0.10744
"2174","S1P4.C2","time",1.51875
"2175","S1P4.C2","Flux",0.06276
"2176","S1P5.C1","time",0.45475
"2177","S1P5.C1","Flux",-0.00687
"2178","S1P2.C2","time",0.45491
"2179","S1P2.C2","Flux",0.11494
"2180","S1P4.C2","time",1.55442
"2181","S1P5.C1","time",0.46897
"2182","S1P5.C1","Flux",-0.000467
"2183","S1P2.C2","time",0.46914
"2184","S1P2.C2","Flux",0.09397
"2185","S1P4.C2","time",1.59515
"2186","S1P5.C1","time",0.49034
"2187","S1P5.C1","Flux",-0.000604
"2188","S1P2.C2","time",0.49051
"2189","S1P2.C2","Flux",0.13836
"2190","S1P4.C2","time",1.63087
"2191","S1P5.C1","time",0.50457
"2192","S1P5.C1","Flux",-0.000627
"2193","S1P2.C2","time",0.50473
"2194","S1P2.C2","Flux",0.10117
"2195","S1P4.C2","time",1.67155
"2196","S1P5.C1","time",0.53296
"2197","S1P5.C1","Flux",-8.23e-05
"2198","S1P2.C2","time",0.53313
"2199","S1P2.C2","Flux",0.09463
"2200","S1P4.C2","time",1.70721
"2201","S1P4.C2","Flux",0.06395
"2202","S1P5.C1","time",0.54719
"2203","S1P2.C2","time",0.54735
"2204","S1P4.C2","time",1.74793
"2205","S1P4.C2","Flux",0.07657
"2206","S1P5.C1","time",0.56853
"2207","S1P2.C2","time",0.56869
"2208","S1P4.C2","time",1.78362
"2209","S1P4.C2","Flux",0.05604
"2210","S1P5.C1","time",0.58275
"2211","S1P2.C2","time",0.58292
"2212","S1P4.C2","time",1.82433
"2213","S1P4.C2","Flux",0.05646
"2214","S1P5.C1","time",0.61113
"2215","S1P2.C2","time",0.61131
"2216","S1P4.C2","time",1.86
"2217","S1P4.C2","Flux",-0.00511
"2218","S1P5.C1","time",0.62537
"2219","S1P2.C2","time",0.62553
"2220","S1P4.C2","time",1.90069
"2221","S1P4.C2","Flux",0.06421
"2222","S1P5.C1","time",0.64671
"2223","S1P2.C2","time",0.64687
"2224","S1P4.C2","time",1.93635
"2225","S1P4.C2","Flux",0.06575
"2226","S1P5.C1","time",0.66094
"2227","S1P2.C2","time",0.66111
"2228","S1P5.C1","time",0.68932
"2229","S1P2.C2","time",0.68948
"2230","S1P5.C1","time",0.70354
"2231","S1P2.C2","time",0.70372
"2232","S1P5.C1","time",0.72491
"2233","S1P5.C1","Flux",-0.00222
"2234","S1P2.C2","time",0.72508
"2235","S1P2.C2","Flux",0.14484
"2236","S1P5.C1","time",0.73914
"2237","S1P5.C1","Flux",-0.01806
"2238","S1P2.C2","time",0.73931
"2239","S1P2.C2","Flux",0.14325
"2240","S1P5.C1","time",0.76752
"2241","S1P5.C1","Flux",-0.02018
"2242","S1P2.C2","time",0.7677
"2243","S1P5.C1","time",0.78176
"2244","S1P2.C2","time",0.78192
"2245","S1P5.C1","time",0.80313
"2246","S1P2.C2","time",0.80329
"2247","S1P5.C1","time",0.81735
"2248","S1P2.C2","time",0.81752
"2249","S1P5.C1","time",0.84576
"2250","S1P2.C2","time",0.84594
"2251","S1P5.C1","time",0.86001
