"","X1","X2","X3"
"333","S3P1.C1",-0.00454,-0.00731
"334",NA,NA,NA
"335","S3P3.C1",-0.0024,-0.00703
"336",NA,NA,NA
"337","S3P5.C1",0.01305,0.03475
"338",NA,NA,NA
"339",NA,NA,NA
"340","S1P4.C2",-0.01218,0.0363
"341",NA,NA,NA
"342","S1P6.C2",-0.00387,0.05686
"343",NA,NA,NA
"344","S2P8.C2",-0.00082,0.04244
"345",NA,NA,NA
"346","S2P4.C2",-0.00539,0.03558
"347",NA,NA,NA
"348","S2P6.C2",-0.00163,0.01428
"349",NA,NA,NA
"350","S3P2.C2",0.00152,0.03495
"351",NA,NA,NA
"352","S3P4.C2",0.00151,0.03561
"353",NA,NA,NA
"354","S3P6.C2",0.01021,0.01455
"355",NA,NA,NA
"356","S1P1.C1",0.01453,0.0361
"357",NA,NA,NA
"358","S1P3.C1",-0.00396,0.05667
"359",NA,NA,NA
"360",NA,NA,NA
"361","S2P1.C1",0.00076,0.03539
"362",NA,NA,NA
"363","S2P3.C1",-0.00761,0.02591
"364",NA,NA,NA
"365","S2P7.C1",-0.01169,0.05667
"366",NA,NA,NA
"367","S3P1.C1",0.00451,0.01405
"368",NA,NA,NA
"369","S3P3.C1",-0.01034,0.01434
"370",NA,NA,NA
"371","S3P5.C1",0.00395,0.05618
"372",NA,NA,NA
"373",NA,NA,NA
"374","S1P4.C2",0.01912,0.0577
"375",NA,NA,NA
"376","S1P6.C2",0.00122,0.08181
"377",NA,NA,NA
"378","S2P8.C2",0.00124,0.06381
"379",NA,NA,NA
"380","S2P4.C2",-0.00121,0.05697
"381",NA,NA,NA
"382","S2P6.C2",0.000404,0.03568
"383",NA,NA,NA
"384","S3P2.C2",0.00151,0.05638
"385",NA,NA,NA
"386",NA,NA,NA
"387","S3P6.C2",0.00275,0.03595
"388",NA,NA,NA
"389","S1P1.C1",-0.00759,0.0575
"390",NA,NA,NA
"391","S1P3.C1",-0.00043,0.08161
"392",NA,NA,NA
"393",NA,NA,NA
"394","S2P1.C1",-0.00282,0.05678
"395",NA,NA,NA
"396","S2P3.C1",-0.00323,0.0473
"397",NA,NA,NA
"398","S2P7.C1",-0.0031,0.0816
"399",NA,NA,NA
"400","S3P1.C1",-0.0031,0.03544
"401",NA,NA,NA
"402","S3P3.C1",-0.0056,0.03574
"403",NA,NA,NA
"404","S3P5.C1",-0.00557,0.07759
"405",NA,NA,NA
"406",NA,NA,NA
"407","S1P4.C2",0.00156,0.08265
"408",NA,NA,NA
"409","S1P6.C2",-0.00801,0.10321
"410",NA,NA,NA
"411","S2P8.C2",0.00449,0.08874
"412",NA,NA,NA
"413","S2P4.C2",0.01133,0.0819
"414",NA,NA,NA
"415","S2P6.C2",-0.01173,0.05706
"416",NA,NA,NA
"417","S3P2.C2",-0.00576,0.0778
"418",NA,NA,NA
"419","S3P4.C2",-0.01579,0.08193
"420",NA,NA,NA
"421","S3P6.C2",-0.00144,0.06083
"422",NA,NA,NA
"423","S1P1.C1",-0.00186,0.08245
"424",NA,NA,NA
"425","S1P3.C1",-0.00833,0.10301
"426",NA,NA,NA
"427",NA,NA,NA
"428","S2P1.C1",-0.0168,0.08171
"429",NA,NA,NA
"430","S2P3.C1",0.00462,0.06868
"431",NA,NA,NA
"432","S2P7.C1",0.01024,0.10296
"433",NA,NA,NA
"434",NA,NA,NA
"435","S3P3.C1",-0.01317,0.06062
"436",NA,NA,NA
"437","S3P5.C1",0.01337,0.10253
"438",NA,NA,NA
"439",NA,NA,NA
"440","S1P4.C2",0.01076,0.10404
"441",NA,NA,NA
"442","S1P6.C2",-0.01322,0.12461
"443",NA,NA,NA
"444","S2P8.C2",-0.00103,0.1101
"445",NA,NA,NA
"446","S2P4.C2",1.55e-05,0.1033
"447",NA,NA,NA
"448","S2P6.C2",-0.00271,0.07846
"449",NA,NA,NA
"450","S3P2.C2",0.00487,0.10272
"451",NA,NA,NA
"452","S3P4.C2",0.00487,0.10334
"453",NA,NA,NA
"454","S3P6.C2",0.00621,0.08222
"455",NA,NA,NA
"456","S1P1.C1",-0.00536,0.10384
"457",NA,NA,NA
"458","S1P3.C1",-0.00406,0.12441
"459",NA,NA,NA
"460",NA,NA,NA
"461","S2P1.C1",-0.0065,0.10311
"462",NA,NA,NA
"463","S2P3.C1",0.01234,0.09008
