"","Label","Time","Time_Flux"
"1896","S2P8.C2","Flux",-0.00384
"1897","S2P4.C2","time",1.5139
"1898","S2P4.C2","Flux",-0.00612
"1899","S2P6.C2","time",1.56904
"1900","S2P6.C2","Flux",-0.03254
"1901","S3P2.C2","time",1.50716
"1902","S3P2.C2","Flux",-0.01289
"1903","S3P4.C2","time",1.50694
"1904","S3P4.C2","Flux",-0.01168
"1905","S3P6.C2","time",1.62366
"1906","S3P6.C2","Flux",0.00136
"1907","S1P1.C1","time",1.49323
"1908","S1P1.C1","Flux",0.00607
"1909","S1P3.C1","time",1.52836
"1910","S1P3.C1","Flux",-0.01213
"1911","S1P5.C1","time",-0.78801
"1912","S1P5.C1","Flux",0.01733
"1913","S2P1.C1","time",1.43889
"1914","S2P1.C1","Flux",-0.01905
"1915","S2P3.C1","time",1.54148
"1916","S2P3.C1","Flux",0.01081
"1917","S2P7.C1","time",0.99315
"1918","S2P7.C1","Flux",0.000219
"1919","S3P1.C1","time",1.41993
"1920","S3P1.C1","Flux",-0.00115
"1921","S3P3.C1","time",1.56302
"1922","S3P3.C1","Flux",-0.00689
"1923","S3P5.C1","time",1.50699
"1924","S3P5.C1","Flux",-0.01639
"1925","S1P2.C2","time",-0.75931
"1926","S1P2.C2","Flux",0.00532
"1927","S1P4.C2","time",1.56832
"1928","S1P4.C2","Flux",-0.01579
"1929","S1P6.C2","time",1.63896
"1930","S1P6.C2","Flux",-0.00183
"1931","S2P8.C2","time",1.00028
"1932","S2P8.C2","Flux",0.0103
"1933","S2P4.C2","time",1.54956
"1934","S2P4.C2","Flux",0.00435
"1935","S2P6.C2","time",1.60466
"1936","S2P6.C2","Flux",0.00121
"1937","S3P2.C2","time",1.54281
"1938","S3P2.C2","Flux",0.0052
"1939","S3P4.C2","time",1.54256
"1940","S3P4.C2","Flux",0.00811
"1941","S3P6.C2","time",1.66639
"1942","S3P6.C2","Flux",-0.003
"1943","S1P1.C1","time",1.53244
"1944","S1P1.C1","Flux",-0.00901
"1945","S1P3.C1","time",1.564
"1946","S1P3.C1","Flux",0.00624
"1947","S1P5.C1","time",-0.77376
"1948","S1P5.C1","Flux",0.00163
"1949","S2P1.C1","time",1.47455
"1950","S2P1.C1","Flux",-0.01291
"1951","S2P3.C1","time",1.58066
"1952","S2P3.C1","Flux",-0.0064
"1953","S2P7.C1","time",1.01453
"1954","S2P7.C1","Flux",-0.00311
"1955","S3P1.C1","time",1.45553
"1956","S3P1.C1","Flux",0.00524
"1957","S3P3.C1","time",1.60925
"1958","S3P3.C1","Flux",0.00643
"1959","S3P5.C1","time",1.54264
"1960","S3P5.C1","Flux",-0.02446
"1961","S1P2.C2","time",-0.74502
"1962","S1P2.C2","Flux",0.01818
"1963","S1P4.C2","time",1.60757
"1964","S1P4.C2","Flux",-0.00275
"1965","S1P6.C2","time",1.67806
"1966","S1P6.C2","Flux",-0.00656
"1967","S2P8.C2","time",1.02166
"1968","S2P8.C2","Flux",-0.0265
"1969","S2P4.C2","time",1.58872
"1970","S2P6.C2","time",1.64381
"1971","S2P6.C2","Flux",-0.00272
"1972","S3P2.C2","time",1.58196
"1973","S3P2.C2","Flux",0.00298
"1974","S3P4.C2","time",1.59373
"1975","S3P4.C2","Flux",0.00482
"1976","S3P6.C2","time",1.71267
"1977","S3P6.C2","Flux",-0.00419
"1978","S1P1.C1","time",1.56813
"1979","S1P1.C1","Flux",-2.2e-05
"1980","S1P3.C1","time",1.60315
"1981","S1P3.C1","Flux",0.01824
"1982","S1P5.C1","time",-0.75949
"1983","S1P5.C1","Flux",-0.00489
"1984","S2P1.C1","time",1.51373
"1985","S2P1.C1","Flux",-0.00294
"1986","S2P3.C1","time",1.61631
"1987","S2P3.C1","Flux",0.00115
"1988","S2P7.C1","time",1.03588
"1989","S2P7.C1","Flux",0.00319
"1990","S3P1.C1","time",1.50678
"1991","S3P1.C1","Flux",0.01004
"1992","S3P3.C1","time",1.65194
"1993","S3P3.C1","Flux",0.0093
"1994","S3P5.C1","time",1.58177
"1995","S3P5.C1","Flux",0.0126
"1996","S1P2.C2","time",-0.73075
"1997","S1P2.C2","Flux",0.00737
"1998","S1P4.C2","time",1.64316
"1999","S1P4.C2","Flux",0.01816
"2000","S1P6.C2","time",1.71366
"2001","S1P6.C2","Flux",0.00542
"2002","S2P8.C2","time",1.04301
"2003","S2P8.C2","Flux",-0.00297
"2004","S2P4.C2","time",1.62437
"2005","S2P4.C2","Flux",0.00936
"2006","S2P6.C2","time",1.6794
"2007","S2P6.C2","Flux",-0.01644
"2008","S3P2.C2","time",1.61762
"2009","S3P2.C2","Flux",0.00204
"2010","S3P4.C2","time",1.62934
"2011","S3P4.C2","Flux",-0.00345
"2012","S3P6.C2","time",1.75541
"2013","S3P6.C2","Flux",-0.0121
"2014","S1P1.C1","time",1.60741
"2015","S1P1.C1","Flux",-0.00185
"2016","S1P3.C1","time",1.6388
"2017","S1P5.C1","time",-0.74522
"2018","S1P5.C1","Flux",0.01274
"2019","S2P1.C1","time",1.54939
"2020","S2P1.C1","Flux",-0.00463
"2021","S2P3.C1","time",1.65544
"2022","S2P3.C1","Flux",0.000965
"2023","S2P7.C1","time",1.06082
"2024","S2P7.C1","Flux",0.0014
"2025","S3P1.C1","time",1.54238
"2026","S3P1.C1","Flux",0.00919
