"","Label","Pyr","Flux","Time","Condition"
"1309","S1P5","C1",-0.84063,-0.19707,"Pre-Drought"
"1310","S2P1","C1",18.48883,11.7448,"Pre-Drought"
"1311","S2P7","C1",-0.83306,1.88108,"Pre-Drought"
"1312","S1P2","C2",-13.36559,-0.16487,"Pre-Drought"
"1313","S2P8","C2",-31.36994,1.88821,"Pre-Drought"
"1314","S1P5","C1",9.30162,-0.17931,"Pre-Drought"
"1315","S2P1","C1",-3.06291,11.8373,"Pre-Drought"
"1316","S2P7","C1",-18.30957,1.90244,"Pre-Drought"
"1317","S1P2","C2",11.43645,-0.15064,"Pre-Drought"
"1318","S2P8","C2",-19.66725,1.90957,"Pre-Drought"
"1319","S1P5","C1",1.89191,-0.16507,"Pre-Drought"
"1320","S2P1","C1",-1.13917,11.92984,"Pre-Drought"
"1321","S1P2","C2",11.63546,-0.1364,"Pre-Drought"
"1322","S2P8","C2",33.48942,1.93097,"Pre-Drought"
"1323","S1P5","C1",1.98582,-0.15083,"Pre-Drought"
"1324","S2P1","C1",1.5665,12.02241,"Pre-Drought"
"1325","S1P2","C2",5.03019,-0.12216,"Pre-Drought"
"1326","S1P5","C1",11.2768,-0.1366,"Pre-Drought"
"1327","S2P1","C1",10.58323,12.11506,"Pre-Drought"
"1328","S2P7","C1",-3.48416,1.97013,"Pre-Drought"
"1329","S1P2","C2",12.5768,-0.10792,"Pre-Drought"
"1330","S2P8","C2",-35.84909,1.97726,"Pre-Drought"
"1331","S1P5","C1",10.09254,-0.12236,"Pre-Drought"
"1332","S2P1","C1",28.60996,12.20766,"Pre-Drought"
"1333","S1P2","C2",-13.57675,-0.09015,"Pre-Drought"
"1334","S2P8","C2",-0.7637,1.99862,"Pre-Drought"
"1335","S1P5","C1",2.94117,-0.10811,"Pre-Drought"
"1336","S2P1","C1",0.46665,12.30024,"Pre-Drought"
"1337","S2P7","C1",-12.45806,2.01278,"Pre-Drought"
"1338","S1P2","C2",14.21632,-0.07589,"Pre-Drought"
"1339","S1P5","C1",17.22623,-0.09035,"Pre-Drought"
"1340","S2P1","C1",9.73375,12.99633,"Pre-Drought"
"1341","S1P2","C2",-2.99701,-0.06161,"Pre-Drought"
"1342","S1P5","C1",9.11482,-0.07609,"Pre-Drought"
"1343","S2P1","C1",-3.14096,13.08892,"Pre-Drought"
"1344","S1P2","C2",-6.89893,-0.04735,"Pre-Drought"
"1345","S1P5","C1",0.59917,-0.06181,"Pre-Drought"
"1346","S2P1","C1",5.34709,13.18146,"Pre-Drought"
"1347","S1P2","C2",11.42852,-0.03307,"Pre-Drought"
"1348","S1P5","C1",3.138,-0.04753,"Pre-Drought"
"1349","S2P1","C1",-20.28435,13.274,"Pre-Drought"
"1350","S1P2","C2",-20.46979,-0.01878,"Pre-Drought"
"1351","S1P5","C1",17.06254,-0.03326,"Pre-Drought"
"1352","S2P1","C1",6.61879,13.3665,"Pre-Drought"
"1353","S1P2","C2",1.94722,-0.000972,"Pre-Drought"
"1354","S1P5","C1",6.52519,-0.01898,"Pre-Drought"
"1355","S2P1","C1",4.25042,13.45898,"Pre-Drought"
"1356","S1P2","C2",3.04192,0.01329,"Pre-Drought"
"1357","S1P5","C1",5.77916,-0.00117,"Pre-Drought"
"1358","S2P1","C1",11.64312,13.55154,"Pre-Drought"
"1359","S1P2","C2",15.04262,0.02757,"Pre-Drought"
"1360","S1P5","C1",-10.74923,0.01309,"Pre-Drought"
