"","Label","Pyr","Flux","Time","Condition"
"1044","S3P3","C1",0.00132,1.78721,"Pre-Drought"
"1045","S3P5","C1",-0.00687,1.69222,"Pre-Drought"
"1046","S1P2","C2",0.00389,-0.68439,"Pre-Drought"
"1047","S1P4","C2",0.01839,1.75726,"Pre-Drought"
"1048","S1P6","C2",0.008,1.82757,"Pre-Drought"
"1049","S2P8","C2",-0.00954,1.11071,"Pre-Drought"
"1050","S2P4","C2",-0.00427,1.73838,"Pre-Drought"
"1051","S2P6","C2",0.00101,1.79334,"Pre-Drought"
"1052","S3P2","C2",0.01295,1.73159,"Pre-Drought"
"1053","S3P4","C2",0.00072,1.76736,"Pre-Drought"
"1054","S3P6","C2",0.00346,1.89063,"Pre-Drought"
"1055","S1P1","C1",0.01694,1.71785,"Pre-Drought"
"1056","S1P3","C1",0.00206,1.75262,"Pre-Drought"
"1057","S1P5","C1",0.01747,-0.69888,"Pre-Drought"
"1058","S2P1","C1",0.00394,1.66338,"Pre-Drought"
"1059","S2P3","C1",-0.00711,1.76581,"Pre-Drought"
"1060","S2P7","C1",0.01468,1.12493,"Pre-Drought"
"1061","S3P1","C1",0.005,1.68041,"Pre-Drought"
"1062","S3P3","C1",-0.00725,1.82994,"Pre-Drought"
"1063","S3P5","C1",0.000953,1.73138,"Pre-Drought"
"1064","S1P2","C2",-0.00792,-0.6701,"Pre-Drought"
"1065","S1P4","C2",0.00672,1.79291,"Pre-Drought"
"1066","S1P6","C2",0.000662,1.86315,"Pre-Drought"
"1067","S2P8","C2",-0.01734,1.13206,"Pre-Drought"
"1068","S2P4","C2",-0.00392,1.77404,"Pre-Drought"
"1069","S2P6","C2",0.01325,1.82895,"Pre-Drought"
"1070","S3P2","C2",0.00535,1.76723,"Pre-Drought"
"1071","S3P4","C2",0.00806,1.80319,"Pre-Drought"
"1072","S3P6","C2",-0.00164,1.93334,"Pre-Drought"
"1073","S1P1","C1",0.00691,1.75706,"Pre-Drought"
"1074","S1P3","C1",0.00589,1.78823,"Pre-Drought"
"1075","S1P5","C1",-0.00581,-0.68461,"Pre-Drought"
"1076","S2P1","C1",0.00187,1.69904,"Pre-Drought"
"1077","S2P3","C1",-0.01079,1.80497,"Pre-Drought"
"1078","S2P7","C1",0.00267,1.14985,"Pre-Drought"
"1079","S3P1","C1",0.00241,1.71602,"Pre-Drought"
"1080","S3P3","C1",0.01518,1.87617,"Pre-Drought"
"1081","S3P5","C1",-0.00726,1.76704,"Pre-Drought"
"1082","S1P2","C2",-5.87e-05,-0.65588,"Pre-Drought"
"1083","S1P4","C2",-0.00888,1.83211,"Pre-Drought"
"1084","S1P6","C2",0.00713,1.90225,"Pre-Drought"
"1085","S2P8","C2",-0.00868,1.15698,"Pre-Drought"
"1086","S2P4","C2",0.00417,1.81322,"Pre-Drought"
"1087","S2P6","C2",0.01111,1.86811,"Pre-Drought"
"1088","S3P2","C2",0.00417,1.80638,"Pre-Drought"
"1089","S3P4","C2",0.00288,1.85612,"Pre-Drought"
"1090","S3P6","C2",0.01288,1.97963,"Pre-Drought"
"1091","S1P1","C1",0.01585,1.79271,"Pre-Drought"
"1092","S1P3","C1",0.00309,1.8274,"Pre-Drought"
"1093","S1P5","C1",-0.00888,-0.6703,"Pre-Drought"
"1094","S2P1","C1",0.00571,1.73821,"Pre-Drought"
"1095","S2P3","C1",-0.00549,1.84057,"Pre-Drought"
"1096","S2P7","C1",-0.00781,1.1691,"Pre-Drought"
"1097","S3P1","C1",-0.0022,1.7672,"Pre-Drought"
"1098","S3P3","C1",0.00976,1.9189,"Pre-Drought"
"1099","S3P5","C1",0.00412,1.80619,"Pre-Drought"
"1100","S1P2","C2",-0.00504,-0.64166,"Pre-Drought"
"1101","S1P4","C2",-0.000476,1.86778,"Pre-Drought"
"1102","S1P6","C2",-0.00673,1.93792,"Pre-Drought"
"1103","S2P8","C2",0.00692,1.17623,"Pre-Drought"
"1104","S2P4","C2",-0.00353,1.84884,"Pre-Drought"
"1105","S2P6","C2",0.00282,1.90374,"Pre-Drought"
"1106","S3P2","C2",0.00578,1.84204,"Pre-Drought"
"1107","S3P4","C2",-0.000305,1.89184,"Pre-Drought"
"1108","S3P6","C2",0.00194,2.02236,"Pre-Drought"
"1109","S1P1","C1",0.01219,1.83191,"Pre-Drought"
"1110","S1P3","C1",0.00953,1.863,"Pre-Drought"
"1111","S1P5","C1",0.00446,-0.65606,"Pre-Drought"
"1112","S2P1","C1",0.00403,1.77385,"Pre-Drought"
"1113","S2P3","C1",0.000755,1.87972,"Pre-Drought"
"1114","S2P7","C1",-0.00048,1.19045,"Pre-Drought"
"1115","S3P1","C1",0.00145,1.80303,"Pre-Drought"
"1116","S3P3","C1",0.01306,1.96519,"Pre-Drought"
"1117","S3P5","C1",0.00886,1.84185,"Pre-Drought"
"1118","S1P2","C2",0.0086,-0.62392,"Pre-Drought"
"1119","S1P4","C2",0.000254,1.90696,"Pre-Drought"
"1120","S2P8","C2",-0.00616,1.19758,"Pre-Drought"
"1121","S2P4","C2",0.00291,1.88801,"Pre-Drought"
"1122","S2P6","C2",0.00216,1.94289,"Pre-Drought"
"1123","S3P2","C2",0.00355,1.88122,"Pre-Drought"
"1124","S3P4","C2",-0.00153,1.94097,"Pre-Drought"
"1125","S3P6","C2",0.01595,2.06867,"Pre-Drought"
"1126","S1P1","C1",0.00929,1.86758,"Pre-Drought"
"1127","S1P3","C1",-5e-04,1.90208,"Pre-Drought"
"1128","S1P5","C1",0.0045,-0.64183,"Pre-Drought"
"1129","S2P1","C1",0.00387,1.81303,"Pre-Drought"
"1130","S2P3","C1",0.00142,1.91535,"Pre-Drought"
"1131","S2P7","C1",-0.00141,1.21184,"Pre-Drought"
"1132","S3P1","C1",0.00388,1.85595,"Pre-Drought"
"1133","S3P3","C1",-0.00501,2.00792,"Pre-Drought"
"1134","S3P5","C1",0.00537,1.88102,"Pre-Drought"
"1135","S1P2","C2",0.00697,-0.60971,"Pre-Drought"
"1136","S1P4","C2",-0.00341,1.9426,"Pre-Drought"
"1137","S2P8","C2",0.000167,1.21897,"Pre-Drought"
"1138","S2P4","C2",0.0144,1.92365,"Pre-Drought"
"1139","S3P2","C2",0.00316,1.9169,"Pre-Drought"
"1140","S3P6","C2",-0.00125,2.11141,"Pre-Drought"
"1141","S1P1","C1",0.00194,1.90677,"Pre-Drought"
"1142","S1P3","C1",-0.00464,1.93772,"Pre-Drought"
"1143","S1P5","C1",-0.00546,-0.62409,"Pre-Drought"
"1144","S2P1","C1",-0.01758,1.84867,"Pre-Drought"
"1145","S2P3","C1",-0.000718,1.95451,"Pre-Drought"
"1146","S2P7","C1",-0.00626,1.23319,"Pre-Drought"
"1147","S3P1","C1",-0.00367,1.89168,"Pre-Drought"
"1148","S3P3","C1",-0.000852,2.05422,"Pre-Drought"
"1149","S3P5","C1",-0.000679,1.91668,"Pre-Drought"
"1150","S1P2","C2",0.00499,-0.5955,"Pre-Drought"
"1151","S2P8","C2",0.00377,1.24032,"Pre-Drought"
"1152","S2P4","C2",-0.00107,1.96277,"Pre-Drought"
"1153","S3P2","C2",0.00218,1.95606,"Pre-Drought"
"1154","S3P6","C2",-0.000773,2.17693,"Pre-Drought"
"1155","S1P1","C1",0.01173,1.94243,"Pre-Drought"
"1156","S1P3","C1",0.00847,1.97691,"Pre-Drought"
"1157","S1P5","C1",0.00124,-0.60988,"Pre-Drought"
"1158","S2P1","C1",0.00398,1.88784,"Pre-Drought"
"1159","S2P7","C1",-0.00139,1.2581,"Pre-Drought"
"1160","S3P1","C1",0.00243,1.94081,"Pre-Drought"
"1161","S3P3","C1",0.01143,2.09697,"Pre-Drought"
"1162","S3P5","C1",0.0057,1.95587,"Pre-Drought"
"1163","S1P2","C2",0.00265,-0.58131,"Pre-Drought"
"1164","S2P8","C2",-0.00931,1.26524,"Pre-Drought"
"1165","S3P6","C2",0.01377,2.21968,"Pre-Drought"
"1166","S1P3","C1",0.00997,4.0574,"Pre-Drought"
"1167","S1P5","C1",-0.00203,-0.59567,"Pre-Drought"
"1168","S2P1","C1",-0.00182,1.92347,"Pre-Drought"
"1169","S2P7","C1",0.00269,1.27944,"Pre-Drought"
"1170","S3P1","C1",-0.00637,1.97646,"Pre-Drought"
"1171","S3P3","C1",-0.00429,2.16249,"Pre-Drought"
"1172","S1P2","C2",-0.000751,-0.56709,"Pre-Drought"
"1173","S2P8","C2",0.01081,1.28657,"Pre-Drought"
"1174","S3P6","C2",-0.003,2.26593,"Pre-Drought"
"1175","S1P3","C1",0.00711,4.07171,"Pre-Drought"
"1176","S1P5","C1",0.00435,-0.58146,"Pre-Drought"
"1177","S2P1","C1",-0.01208,1.96259,"Pre-Drought"
"1178","S2P7","C1",0.01574,1.30082,"Pre-Drought"
"1179","S3P3","C1",-0.00619,2.20523,"Pre-Drought"
"1180","S1P2","C2",0.00283,-0.55289,"Pre-Drought"
"1181","S2P8","C2",0.00598,1.30795,"Pre-Drought"
"1182","S3P6","C2",0.01033,2.30863,"Pre-Drought"
"1183","S1P3","C1",0.00143,4.08598,"Pre-Drought"
"1184","S1P5","C1",0.00308,-0.56726,"Pre-Drought"
"1185","S2P1","C1",-0.01171,9.36006,"Pre-Drought"
"1186","S2P7","C1",-0.00637,1.32218,"Pre-Drought"
"1187","S3P3","C1",0.02237,2.2515,"Pre-Drought"
"1188","S1P2","C2",0.00687,-0.53514,"Pre-Drought"
"1189","S2P8","C2",0.00316,1.32928,"Pre-Drought"
"1190","S3P6","C2",0.00581,2.35485,"Pre-Drought"
"1191","S1P3","C1",0.00121,4.10027,"Pre-Drought"
"1192","S1P5","C1",0.00141,-0.55306,"Pre-Drought"
"1193","S2P1","C1",0.01077,9.45264,"Pre-Drought"
"1194","S2P7","C1",-0.00298,1.34705,"Pre-Drought"
"1195","S3P3","C1",0.000363,2.29421,"Pre-Drought"
"1196","S1P2","C2",0.0026,-0.52093,"Pre-Drought"
"1197","S2P8","C2",0.000616,1.35416,"Pre-Drought"
"1198","S3P6","C2",0.000596,2.39752,"Pre-Drought"
"1199","S1P3","C1",-0.00355,4.11455,"Pre-Drought"
"1200","S1P5","C1",-0.00555,-0.53531,"Pre-Drought"
"1201","S2P1","C1",-0.00303,9.54519,"Pre-Drought"
"1202","S2P7","C1",0.01259,1.36839,"Pre-Drought"
"1203","S3P3","C1",0.00522,2.34043,"Pre-Drought"
"1204","S1P2","C2",0.00588,-0.50672,"Pre-Drought"
"1205","S2P8","C2",-0.00804,1.3755,"Pre-Drought"
"1206","S3P6","C2",0.00224,2.4438,"Pre-Drought"
"1207","S1P3","C1",0.0124,4.12883,"Pre-Drought"
"1208","S1P5","C1",0.01973,-0.52109,"Pre-Drought"
"1209","S2P1","C1",-0.00573,9.63778,"Pre-Drought"
"1210","S2P7","C1",-0.000173,1.38975,"Pre-Drought"
"1211","S3P3","C1",-0.00566,2.38311,"Pre-Drought"
"1212","S1P2","C2",-0.00154,-0.49245,"Pre-Drought"
"1213","S2P8","C2",0.00165,1.39685,"Pre-Drought"
"1214","S3P6","C2",-0.000911,2.48657,"Pre-Drought"
"1215","S1P3","C1",0.01029,4.14313,"Pre-Drought"
"1216","S1P5","C1",0.01353,-0.50689,"Pre-Drought"
"1217","S2P1","C1",-4e-04,9.73039,"Pre-Drought"
"1218","S2P7","C1",-0.0075,1.41106,"Pre-Drought"
"1219","S3P3","C1",-0.00487,2.42932,"Pre-Drought"
"1220","S1P2","C2",0.00448,-0.47819,"Pre-Drought"
"1221","S2P8","C2",-0.00194,1.41817,"Pre-Drought"
"1222","S3P6","C2",0.00143,2.53287,"Pre-Drought"
"1223","S1P3","C1",-0.00568,4.15745,"Pre-Drought"
"1224","S1P5","C1",0.00445,-0.49266,"Pre-Drought"
"1225","S2P1","C1",0.00389,9.82293,"Pre-Drought"
"1226","S2P7","C1",0.00379,1.43595,"Pre-Drought"
"1227","S3P3","C1",0.00355,2.47209,"Pre-Drought"
"1228","S1P2","C2",0.01187,-0.46398,"Pre-Drought"
"1229","S2P8","C2",0.00169,1.44306,"Pre-Drought"
"1230","S3P6","C2",0.00407,2.5756,"Pre-Drought"
"1231","S1P3","C1",0.01094,4.17178,"Pre-Drought"
"1232","S1P5","C1",0.00189,-0.47837,"Pre-Drought"
"1233","S2P1","C1",-0.01117,9.9155,"Pre-Drought"
"1234","S2P7","C1",0.000469,1.45728,"Pre-Drought"
"1235","S3P3","C1",-0.000587,2.51843,"Pre-Drought"
"1236","S1P2","C2",0.00175,-0.44625,"Pre-Drought"
"1237","S2P8","C2",-0.00354,1.46441,"Pre-Drought"
"1238","S3P6","C2",0.0163,2.62189,"Pre-Drought"
"1239","S1P5","C1",0.00437,-0.46416,"Pre-Drought"
"1240","S2P1","C1",-0.00216,10.05635,"Pre-Drought"
"1241","S2P7","C1",0.00247,1.4787,"Pre-Drought"
"1242","S3P3","C1",-0.02302,2.56116,"Pre-Drought"
"1243","S1P2","C2",-0.00724,-0.43201,"Pre-Drought"
"1244","S2P8","C2",0.00834,1.48583,"Pre-Drought"
"1245","S3P6","C2",-0.00825,2.66463,"Pre-Drought"
"1246","S1P5","C1",0.00521,-0.44641,"Pre-Drought"
"1247","S2P1","C1",0.00187,10.15161,"Pre-Drought"
"1248","S2P7","C1",-0.000515,1.50006,"Pre-Drought"
"1249","S3P3","C1",0.00266,2.60743,"Pre-Drought"
"1250","S1P2","C2",-0.01807,-0.41777,"Pre-Drought"
"1251","S2P8","C2",-0.00294,1.50719,"Pre-Drought"
"1252","S3P6","C2",0.00591,2.71088,"Pre-Drought"
"1253","S1P5","C1",-0.00332,-0.43221,"Pre-Drought"
"1254","S2P1","C1",0.00415,10.24424,"Pre-Drought"
"1255","S2P7","C1",-0.00141,1.525,"Pre-Drought"
"1256","S3P3","C1",0.00983,2.65017,"Pre-Drought"
"1257","S1P2","C2",0.01242,-0.40352,"Pre-Drought"
"1258","S2P8","C2",0.01544,1.53213,"Pre-Drought"
"1259","S3P6","C2",0.00677,2.75362,"Pre-Drought"
"1260","S1P5","C1",-0.00504,-0.41797,"Pre-Drought"
"1261","S2P1","C1",-9.58e-05,10.33694,"Pre-Drought"
"1262","S2P7","C1",0.01902,1.54639,"Pre-Drought"
"1263","S3P3","C1",0.01835,2.69646,"Pre-Drought"
"1264","S1P2","C2",0.02719,-0.38924,"Pre-Drought"
"1265","S2P8","C2",0.00803,1.55352,"Pre-Drought"
"1266","S3P6","C2",0.00533,2.79988,"Pre-Drought"
"1267","S1P5","C1",0.0086,-0.4037,"Pre-Drought"
"1268","S2P1","C1",-0.00337,10.42949,"Pre-Drought"
"1269","S2P7","C1",-0.00155,1.56777,"Pre-Drought"
"1270","S3P3","C1",0.0048,2.73918,"Pre-Drought"
"1271","S1P2","C2",-0.00439,-0.37498,"Pre-Drought"
"1272","S2P8","C2",0.00124,1.5749,"Pre-Drought"
"1273","S3P6","C2",-0.0158,2.84262,"Pre-Drought"
"1274","S1P5","C1",-0.01592,-0.38943,"Pre-Drought"
"1275","S2P1","C1",-0.00349,10.52207,"Pre-Drought"
