"","Condition","Site","Set","Time","fCO2_13_C1","fCO2_13_C2","fCO2_13_py_C1","fCO2_13_py_C2","C1_C2_diff_fCO2_13_py","C1_C2_ratio_sum_fCO2_13_py"
"30","drought","Site2","Set1","12",753.180900637352,NA,458.66082473414,NA,NA,NA
"31","drought","Site2","Set1","18",514.744885673275,NA,296.221037287244,NA,NA,NA
"32","drought","Site2","Set1","24",456.186297732194,NA,237.256815635694,NA,NA,NA
"33","drought","Site2","Set1","30",615.244199456275,NA,296.949769180509,NA,NA,NA
"34","drought","Site2","Set1","36",523.649319626972,NA,231.482796762589,NA,NA,NA
"35","drought","Site2","Set1","42",380.035292604577,NA,142.555003760073,NA,NA,NA
"36","drought","Site2","Set1","48",363.580887574082,NA,106.797658096141,NA,NA,NA
"37","drought","Site2","Set2","3",421.147707153948,220.241160910524,361.165679616345,34.9636827671621,326.201996849183,0.911736705007713
"38","drought","Site2","Set2","6",452.122182026656,271.14787112835,379.63602165383,77.9285508161341,301.707470837696,0.829688407921377
"39","drought","Site2","Set2","12",351.181404111228,293.828483194207,279.793638294957,86.9822032395338,192.811435055423,0.762846421739164
"40","drought","Site2","Set2","18",261.683306774422,236.932768239868,201.038998184629,81.1752259589338,119.863772225696,0.712363095073338
"41","drought","Site2","Set2","24",213.838434181614,245.09185735824,158.194688244685,73.9302423358703,84.2644459088142,0.681506669055463
"42","drought","Site2","Set2","30",206.449139884353,277.763474022602,146.783910639435,82.7923027585214,63.9916078809137,0.639368985431405
"43","drought","Site2","Set2","36",184.587952143093,271.834508719403,117.975890405498,66.1134075096572,51.8624828958409,0.64086229749147
"44","drought","Site2","Set2","42",143.134445060776,183.652428378698,81.313221923948,44.1461812926095,37.1670406313386,0.648123774218756
"45","drought","Site2","Set2","48",123.395560194309,213.758403698349,59.3308209981613,32.5993479138545,26.7314730843067,0.645390100990083
"46","drought","Site2","Set3","3",359.137807090484,168.314599040675,298.790602421684,79.3187007067573,219.471901714927,0.790222826969657
"47","drought","Site2","Set3","6",383.370997357381,210.628104583934,323.248211466851,123.96899529046,199.279216176391,0.722799137829834
"48","drought","Site2","Set3","12",263.279660100245,137.210424009118,213.069030343525,82.8115238817353,130.25750646179,0.720118396768011
"49","drought","Site2","Set3","18",174.657371684489,115.489841976423,131.401480477066,68.6286899345325,62.7727905425331,0.656908306415394
"50","drought","Site2","Set3","24",140.63594726173,117.766595581523,97.4762488874287,69.4696213975778,28.0066274898509,0.583879365934715
"51","drought","Site2","Set3","30",154.513898384026,178.032990717227,101.196581456903,106.080085565591,-4.88350410868811,0.488219841193804
"52","drought","Site2","Set3","36",138.603777544318,149.979053009756,88.9804537508724,92.4477630276728,-3.46730927680046,0.490444404573979
