S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.40251,0.00549,0.38751,-0.00362,-0.30572,,0.39601,0.00848,0.41454,0.00179,0.35509,-0.01343,0.38725,0.01961,0.38642,0.00284,0.47883,,-0.30554,,-0.19067,,0.43038,0.10245,0.35528,0.05584,0.39618,0.19457,0.41473,-0.00519,0.47904,0.14591,0.38741,0.28419,0.38661,0.0658,0.33176,-0.01498,0.33888,0.00834
0.44519,0.01282,0.43021,0.02165,-0.29148,,0.43867,0.00816,0.45725,0.0016,0.39071,-0.01088,0.42795,0.01664,0.429,-0.0028,0.52152,,-0.29131,,-0.11238,,0.466,0.11373,0.39089,0.08413,0.43884,0.18733,0.45744,,0.52171,0.17438,0.42811,0.24447,0.42919,0.07087,0.36017,-0.00112,0.3673,0.00606
0.48086,,0.46581,0.01908,-0.27725,,0.47435,,0.49292,0.00839,0.43339,0.00363,0.46361,0.01243,0.46459,0.00403,0.55713,,-0.27707,,-0.03403,,0.50873,0.10492,0.43356,0.09031,0.47453,0.19064,0.49311,0.01804,0.55734,0.17578,0.46377,0.26347,0.46478,0.09611,0.38155,-0.01992,0.38867,0.00107
0.52355,0.00544,0.50854,0.01237,-0.26301,,0.51705,-5.94E-05,0.53561,0.00734,0.469,0.0142,0.50433,0.01732,0.50721,0.00319,0.59984,-0.00226,-0.26284,,5.21E-04,,0.54436,0.12334,0.46919,0.0834,0.51722,0.2339,0.53581,0.00996,0.60003,,0.50449,0.28332,0.5074,0.06997,0.40292,0.00267,0.41005,0.0042
0.55922,4.24E-04,0.54418,,-0.24877,,0.55272,,0.5713,0.00106,0.51169,-0.00217,0.53999,0.02775,0.54279,-0.00529,0.63549,,-0.2486,,0.02187,,0.58706,,0.51186,0.0845,0.55289,0.21274,0.57149,0.01745,0.63566,,0.54015,0.27353,0.54297,0.0724,0.42428,0.00637,0.43141,0.0013
0.60186,0.00453,0.58686,,-0.23454,,0.59539,,0.61397,0.00954,0.5473,0.00496,0.58073,0.02398,0.58542,-0.0019,0.67809,,-0.23436,,0.04328,-0.00315,0.62271,,0.54747,0.0869,0.59558,,0.61418,,0.67829,0.20714,0.58089,,0.58559,,0.45272,0.00916,0.45985,0.00571
0.63756,0.01268,0.62252,0.01206,-0.21328,,0.63111,,0.64958,0.00696,0.58992,-0.00671,0.6164,,0.62101,-0.005,0.71373,,-0.2131,,0.06463,-0.00211,0.66541,0.14786,0.59008,,0.63131,,0.64976,0.01611,0.71392,0.19247,0.6166,,0.62119,,0.4741,-0.00628,0.48122,0.01253
0.6802,-8.65E-04,0.66522,0.00999,-0.19904,,0.67377,,0.69226,-0.00662,0.62546,6.84E-04,0.65712,0.0103,0.66372,-0.00627,0.75635,,-0.19887,,0.09302,0.01022,0.70102,0.13614,0.62566,,0.67398,,0.69247,0.01584,0.75655,0.23551,0.65728,0.34084,0.6639,0.06606,0.49549,-0.00137,0.50262,0.01523
0.71583,,0.70084,,-0.18479,,0.70944,,0.72794,0.00829,0.66815,-0.00126,0.69278,0.02196,0.69938,-0.00516,0.79199,,-0.18462,,0.11439,0.01872,0.74369,0.16752,0.66833,0.07063,0.70962,,0.72814,,0.79219,0.25901,0.69294,0.32934,0.69956,0.08258,0.51685,0.0024,0.52398,7.87E-04
0.75846,0.00997,0.74351,0.01096,-0.17056,,0.75212,,0.77064,,0.70378,0.00305,0.73351,0.01945,0.74206,-0.00217,0.83464,,-0.17038,,0.13575,-0.0017,0.77927,0.15428,0.70396,0.09044,0.75229,,0.77084,0.01736,0.83484,0.19824,0.73367,0.30905,0.74225,0.08403,0.54524,0.002,0.55236,0.00219
0.7941,,0.7791,0.00364,-0.15632,,0.78777,,0.8063,0.00747,0.74646,-6.55E-04,0.76918,,0.77772,0.00381,0.87028,,-0.15615,,0.15711,-8.26E-04,0.82191,0.17327,0.74662,0.07229,0.78794,,0.80649,0.00741,0.87047,0.2348,0.76934,0.33846,0.77791,0.08769,0.5666,0.00134,0.57373,0.00374
0.83676,,0.82172,0.01398,-0.14208,,0.83041,,0.84902,0.01298,0.78206,0.00957,0.8099,0.00777,0.82037,-0.01041,0.91292,0.01077,-0.14191,,0.18553,0.01651,0.85755,0.15534,0.78223,0.07425,0.83058,,0.8492,0.01263,0.91312,0.24271,0.81006,0.29537,0.82056,0.08351,0.58796,,0.59509,
