S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.60186,0.02094,0.58686,,-0.23454,-0.00144,0.59539,,0.61397,,0.5473,0.02759,0.58073,0.03361,0.58542,0.01527,0.67809,0.00456,-0.23436,0.00336,0.04328,-0.00713,0.62271,,0.54747,0.03246,0.59558,,0.61418,,0.67829,0.00148,0.58089,,0.58559,,0.45272,0.01237,0.45985,0.00222
0.63756,0.0254,0.62252,,-0.21328,0.00149,0.63111,,0.64958,0.02413,0.58992,0.00932,0.6164,,0.62101,,0.71373,,-0.2131,,0.06463,-7.12E-04,0.66541,0.02226,0.59008,,0.63131,,0.64976,0.00723,0.71392,,0.6166,,0.62119,,0.4741,0.00896,0.48122,-0.00194
0.6802,0.0135,0.66522,,-0.19904,,0.67377,,0.69226,0.03548,0.62546,,0.65712,0.02838,0.66372,0.00469,0.75635,-0.00385,-0.19887,,0.09302,-0.01448,0.70102,0.01818,0.62566,,0.67398,,0.69247,-0.00248,0.75655,,0.65728,,0.6639,,0.49549,,0.50262,9.14E-04
0.71583,0.01781,0.70084,0.05084,-0.18479,,0.70944,,0.72794,0.04294,0.66815,,0.69278,0.02783,0.69938,5.12E-04,0.79199,,-0.18462,,0.11439,0.00471,0.74369,-9.38E-05,0.66833,0.01647,0.70962,,0.72814,-3.31E-04,0.79219,,0.69294,,0.69956,,0.51685,,0.52398,
0.75846,0.01615,0.74351,0.04712,-0.17056,,0.75212,,0.77064,0.03588,0.70378,0.01833,0.73351,0.02733,0.74206,,0.83464,,-0.17038,-0.00798,0.13575,0.0039,0.77927,0.02249,0.70396,0.03192,0.75229,,0.77084,-0.00847,0.83484,0.00783,0.73367,0.01554,0.74225,0.00775,0.54524,0.01184,0.55236,
0.7941,0.03253,0.7791,0.04585,-0.15632,-0.00733,0.78777,,0.8063,0.02244,0.74646,,0.76918,0.0236,0.77772,-0.00163,0.87028,,-0.15615,0.00871,0.15711,0.02738,0.82191,0.02083,0.74662,,0.78794,,0.80649,-4.75E-04,0.87047,0.00865,0.76934,0.00694,0.77791,0.00923,0.5666,3.13E-04,0.57373,-0.00722
0.83676,0.01761,0.82172,0.03255,-0.14208,,0.83041,,0.84902,0.02905,0.78206,,0.8099,0.02608,0.82037,,0.91292,,-0.14191,,0.18553,0.01141,0.85755,-7.98E-04,0.78223,,0.83058,,0.8492,,0.91312,,0.81006,0.0276,0.82056,,0.58796,,0.59509,
0.8724,0.01842,0.85736,0.04169,-0.12081,0.00198,0.86605,,0.88469,0.0365,0.82473,,0.84558,0.02268,0.85601,-3.43E-04,0.94856,-0.0035,-0.12064,1.44E-04,0.20691,0.00573,0.90022,0.02462,0.82491,0.01416,0.86623,,0.88488,0.0035,0.94875,0.00778,0.84574,0.02151,0.85619,,0.60932,,0.61644,
0.91507,0.0089,0.90003,,-0.10657,,0.90869,,0.92742,0.03146,0.86036,,0.88627,0.01327,0.89866,,1.00681,-0.00425,-0.1064,,0.2283,-7.40E-04,0.93578,0.01447,0.86053,,0.90887,,0.92758,0.01522,1.02126,0.01513,0.88644,0.00922,0.89884,,0.63767,,0.64478,
0.95073,0.0118,0.9356,,-0.09234,,0.94436,,0.96304,0.02974,0.90302,,0.92193,,0.93425,,1.04956,-0.00389,-0.09216,-0.0045,0.24968,0.00982,1.02119,0.01837,0.90319,,0.94454,,0.96324,0.00414,1.06404,0.00752,0.92211,0.02637,0.93443,,0.659,,0.66612,
