S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.28212,0.00475,0.3026,0.00721,-1.26178,0.00532,0.28127,0.00241,0.26822,0.00306,0.30252,-0.00353,0.25998,-0.02098,0.26025,-0.00523,0.30227,-0.0101,-1.26161,0.00904,0.33061,0.00103,0.32416,-0.00435,0.30966,0.01691,0.30286,0.00388,0.28152,0.01112,0.30247,-2.04E-04,0.30292,0.011,0.37954,0.02856
0.29477,0.00291,0.32397,0.00887,-1.24755,0.0145,0.30267,0.00441,0.29314,-0.01094,0.32389,-0.00248,0.28135,-0.00676,0.34375,-0.00756,0.32558,0.00119,-1.24737,0.00187,0.34993,0.00617,0.34215,0.00322,0.33103,0.00279,0.32426,0.01234,0.30757,0.01279,0.32579,0.00655,0.32431,0.00629,0.41865,0.01892
0.33043,0.00788,0.34196,0.01251,-1.22977,0.00352,0.32407,0.0078,0.3192,0.00279,0.3488,-0.00331,0.30275,0.00921,0.37933,-0.00267,0.36125,-0.00219,-1.22959,0.00491,0.38561,0.01608,0.37781,0.01052,0.35594,-0.00261,0.34347,0.01342,0.34316,-0.00443,0.36145,0.01731,0.34922,0.05099,0.45426,0.01732
0.34973,-0.00753,0.37762,0.01008,-1.21551,0.02355,0.34326,0.00965,0.3548,0.00253,0.37016,0.00796,0.32414,0.00558,0.41844,7.44E-04,0.40043,0.00792,-1.21531,0.01425,0.4248,0.01059,0.41703,-0.00974,0.37727,0.01215,0.3791,0.00802,0.39405,-0.01901,0.4006,0.00987,0.36887,0.02627,0.49346,0.01199
0.38542,0.00108,0.41683,-0.0048,-1.20125,0.01611,0.37892,0.00544,0.40569,0.00111,0.3915,0.00562,0.34906,-0.00901,0.45405,-0.00311,0.43609,-0.00308,-1.20104,0.00348,0.46047,-0.00803,0.45263,0.00898,0.39861,0.00899,0.41819,0.00395,0.42963,0.00978,0.4363,0.00324,0.40442,0.0269,0.52911,0.02115
0.42461,-0.00126,0.45247,0.01452,-1.18696,-0.01538,0.41803,0.0031,0.44126,0.01316,0.41285,0.00227,0.36872,-0.0043,0.49325,0.01154,0.47529,0.00291,-1.18678,-4.52E-04,0.49965,-0.00585,0.49179,0.01184,0.41995,0.00381,0.45376,-0.00595,0.48088,0.01017,0.47547,-0.00169,0.44353,0.02878,0.56826,0.0167
0.46028,0.00693,0.4916,-0.00764,-1.17272,0.01109,0.45358,0.01551,0.4925,-0.00705,0.43779,-0.00624,0.40426,-0.01487,0.5289,0.00797,0.51091,0.00976,-1.17252,0.0137,0.53531,0.00718,0.52743,0.01577,0.44492,0.01678,0.49292,0.00325,0.51648,0.00136,0.5111,-0.00324,0.47916,0.01644,0.6039,0.00709
0.49946,-1.02E-04,0.52723,0.00744,-1.15844,-0.0057,0.49273,-0.00908,0.52811,-0.00594,0.45918,0.00618,0.44337,-0.00271,0.56806,-0.01022,0.5501,0.00168,-1.15825,-0.00256,0.57449,-0.002,0.56659,0.01571,0.46632,0.00209,0.52856,-0.00103,0.56767,-0.0055,0.55029,0.00598,0.51837,0.01695,0.643,0.00861
0.53512,-0.01659,0.5664,-0.01096,-1.14065,5.71E-05,0.52838,0.01533,0.57931,-1.08E-04,0.48056,-0.00201,0.47899,-0.01258,0.60369,0.00443,0.58575,-0.00194,-1.14046,0.00866,0.61014,0.00632,0.60221,0.01,0.4877,0.00238,0.56771,-0.00424,0.60326,-0.00442,0.58594,-2.17E-04,0.55405,0.0297,0.67859,0.00611
0.57429,0.00343,0.60204,-0.00983,-1.12638,0.00406,0.56753,-9.11E-04,0.6149,-0.00126,0.50192,6.94E-04,0.51819,-0.00661,0.64279,0.01667,0.62495,0.00437,-1.12619,-0.0076,0.64929,0.01087,0.64137,0.00882,0.50906,-0.00294,0.60334,-0.00661,0.6545,0.00241,0.62514,0.00387,0.59331,-0.004,0.71773,0.02075
0.60994,0.00846,0.64118,0.01068,-1.11214,-0.00455,0.60317,0.01869,0.66611,-0.01342,0.52686,-7.33E-04,0.55388,0.01153,0.67838,-6.07E-04,0.66054,0.00647,-1.11194,0.00127,0.68497,7.78E-04,0.67696,-5.15E-04,0.534,0.00894,0.6425,0.00397,0.69012,0.01398,0.66074,0.00115,0.62891,0.00373,0.75333,0.00543
0.6491,-0.00539,0.67679,0.00237,-1.09789,0.0024,0.64233,0.00411,0.70174,5.74E-04,0.54823,0.00471,0.59311,0.02854,0.71752,0.00425,0.69971,-0.0041,-1.0977,0.00472,0.72416,0.0233,0.71612,0.01258,0.55537,0.00128,0.67815,0.01873,0.7413,-0.00196,0.69988,0.01313,0.66813,0.03606,0.7925,0.01057
0.68477,-0.00197,0.71596,-9.15E-05,-1.08365,0.00824,0.67797,-0.00739,0.75292,-0.01028,0.56962,-0.00526,0.62876,-0.02864,0.75313,-0.00273,0.73531,0.00495,-1.08346,-0.00497,0.75979,-0.00222,0.75174,0.01259,0.57676,0.00757,0.7173,0.00414,0.77691,0.00467,0.7355,0.00881,0.70377,0.0363,0.82811,0.00975
0.72396,-0.00387,0.75157,0.00547,-1.06941,-0.0031,0.71714,9.45E-04,0.78853,0.00318,0.59098,0.01297,0.66795,0.00399,0.79229,0.01945,0.77448,0.00819,-1.0692,-0.01459,0.79897,-0.00224,0.79089,0.00481,0.59809,6.00E-04,0.75297,0.0017,0.8281,0.01398,0.77468,2.57E-04,0.74299,0.03411,0.86721,0.01419
0.75959,0.00941,0.79073,-0.01701,-1.05161,-0.00245,0.75279,6.82E-04,0.83972,-6.51E-04,0.61587,-0.02111,0.7036,-0.00274,0.82791,-0.00293,0.81014,0.00163,-1.05141,-0.00343,0.83462,0.01018,0.82649,0.01758,0.62299,0.00481,0.79212,2.13E-04,0.86568,0.004,0.81032,9.06E-04,0.77863,0.03417,0.90284,-0.00351
0.79877,0.00516,0.82633,0.00158,-1.03736,0.00579,0.79194,0.00762,0.8773,-0.0025,0.63719,,0.74282,0.01416,0.867,0.00354,0.84935,-0.00232,-1.03716,-4.70E-04,0.87376,0.00279,0.86565,0.00418,0.64431,0.01492,0.82779,-0.00627,0.91491,0.01318,0.84953,-8.73E-04,0.81784,0.01783,0.94201,0.01813
0.83443,-0.00368,0.86547,0.00973,-1.02311,-0.00679,0.8276,0.01738,0.92653,-6.03E-04,0.65855,-0.00563,0.77847,-0.0049,0.90263,0.00379,0.88497,-0.00769,-1.02291,0.00266,0.90942,0.00546,0.90126,0.00615,0.66568,0.00158,0.86696,0.00231,0.95056,0.00161,0.88516,0.00805,0.85351,0.04098,1.00041,0.01633
