S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.8724,19.64546,0.85736,21.78435,-0.12081,-0.0492,0.86605,,0.88469,21.64772,0.82473,16.43235,0.84558,5.84726,0.85601,-24.78718,0.94856,-19.14965,-0.12064,-2.09725,0.20691,15.43681,0.90022,117.90565,0.82491,67.72787,0.86623,,0.88488,8.68478,0.94875,39.6424,0.84574,85.7816,0.85619,107.42651,0.60932,,0.61644,
0.91507,-3.31375,0.90003,13.85564,-0.10657,58.67251,0.90869,,0.92742,14.08049,0.86036,-1.00947,0.88627,-4.62258,0.89866,,1.00681,-13.50999,-0.1064,2.71016,0.2283,4.77235,0.93578,50.39217,0.86053,192.14905,0.90887,,0.92758,46.0235,1.02126,55.89794,0.88644,33.22513,0.89884,,0.63767,,0.64478,
0.95073,-4.85935,0.9356,4.16681,-0.09234,18.19419,0.94436,,0.96304,1.99452,0.90302,7.15197,0.92193,-5.14479,0.93425,,1.04956,-20.71352,-0.09216,-21.69291,0.24968,16.22883,1.02119,74.38589,0.90319,149.90485,0.94454,,0.96324,10.94643,1.06404,24.05645,0.92211,90.65861,0.93443,,0.659,,0.66612,
1.00676,-8.72685,0.97824,24.81031,-0.0781,62.95579,1.01458,,1.00683,5.82229,0.93861,4.78755,0.96266,-13.25783,0.99479,13.85152,1.0994,-4.42828,-0.07793,-7.07429,0.28872,30.61113,1.06388,79.06417,0.93877,100.66686,1.029,88.48107,1.02123,39.54908,1.11385,15.32533,0.96282,107.27915,1.00922,86.43338,0.68038,,0.6875,
1.04949,-36.66296,1.00678,29.44159,-0.06387,8.15088,1.05734,-10.58293,1.04953,5.7483,0.98123,-7.82938,1.00693,-10.02541,1.03751,-13.52073,1.14216,-34.06965,-0.0637,-47.79278,0.3244,29.48915,1.11361,84.44862,1.02123,156.15103,1.07176,58.58273,1.06391,43.93565,1.15661,5.181,1.02138,34.38052,1.05196,64.17348,0.70174,,0.70885,
1.09922,1.14275,1.04948,20.14438,-0.04964,27.46368,1.10708,-18.27616,1.09926,-14.18346,1.00682,13.41018,1.04972,0.62945,1.08728,11.86724,1.19193,-9.74408,-0.04948,-23.58817,0.36705,21.45625,1.15631,134.82031,1.06398,89.96109,1.1215,63.98959,1.11366,,1.20639,9.1844,1.06414,12.97612,1.10169,26.46993,0.73014,,0.73728,
1.14197,-29.49679,1.09921,6.06485,-4.86E-04,44.46381,1.1498,-2.44138,1.14196,,1.04956,13.45168,1.09953,-11.65094,1.12999,-0.09247,1.23472,18.43803,-3.24E-04,38.52492,0.40271,52.48122,1.20608,73.38107,1.11377,105.03641,1.16424,19.45554,1.15638,,1.24918,14.53592,1.11392,39.32688,1.14444,93.9071,0.75149,,0.75861,
1.19175,-16.45311,1.1419,10.95602,0.01374,19.52728,1.19959,-4.85064,1.19175,,1.09935,-11.01317,1.14226,2.24635,1.17977,8.70558,1.29635,52.32743,0.0139,-56.84286,0.44538,37.79191,1.24881,71.3524,1.15652,83.48489,1.21404,87.03463,1.20617,,1.29655,1.07576,1.15669,26.69535,1.19419,82.42741,0.77285,,0.77998,
1.23447,-0.53196,1.19168,21.0628,0.02795,-5.99225,1.24236,-9.51139,1.2345,,1.14209,23.02639,1.19208,6.09856,1.22248,25.73583,1.33197,-24.88363,0.02811,41.54522,0.48106,4.3754,1.28704,63.59158,1.20626,163.60102,1.25681,72.64372,1.24897,,1.33216,2.98317,1.20648,45.67494,1.2369,8.89212,0.79424,,0.80135,
1.2895,-10.18398,1.23439,4.09387,0.04218,-10.27477,1.30278,-11.48374,1.28792,,1.19183,20.96906,1.23486,23.40915,1.29109,16.33065,1.37462,-36.19632,0.04235,96.73233,0.52375,,1.32267,38.1159,1.24898,94.24923,1.30296,44.14495,1.28809,,1.37481,29.92126,1.24926,41.85937,1.29128,-7.45522,0.82263,,0.82975,
