S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.48086,91.90846,0.46581,70.80791,-0.27725,70.08968,0.47435,33.04572,0.49292,76.71054,0.43339,177.75342,0.46361,352.79001,0.46459,-30.86305,0.55713,,-0.27707,,-0.03403,-26.36447,0.50873,121.03878,0.43356,217.60779,0.47453,232.8218,0.49311,,0.55734,,0.46377,172.10657,0.46478,78.87295,0.38155,77.45278,0.38867,-30.85851
0.52355,96.36276,0.50854,216.0215,-0.26301,,0.51705,43.97086,0.53561,,0.469,188.77733,0.50433,294.03936,0.50721,10.98451,0.59984,,-0.26284,,5.21E-04,36.96204,0.54436,86.29186,0.46919,142.1401,0.51722,184.48298,0.53581,,0.60003,,0.50449,141.99987,0.5074,65.83325,0.40292,94.04324,0.41005,51.02284
0.55922,,0.54418,218.04196,-0.24877,,0.55272,,0.5713,,0.51169,144.92101,0.53999,,0.54279,,0.63549,,-0.2486,,0.02187,-6.24627,0.58706,,0.51186,167.49658,0.55289,,0.57149,,0.63566,,0.54015,153.21928,0.54297,139.17202,0.42428,26.69554,0.43141,43.21692
0.60186,,0.58686,,-0.23454,,0.59539,,0.61397,,0.5473,,0.58073,,0.58542,,0.67809,,-0.23436,,0.04328,-37.15851,0.62271,,0.54747,350.81423,0.59558,,0.61418,,0.67829,,0.58089,,0.58559,,0.45272,76.75054,0.45985,42.63806
0.63756,,0.62252,,-0.21328,47.25628,0.63111,,0.64958,,0.58992,,0.6164,,0.62101,,0.71373,,-0.2131,-155.11387,0.06463,27.19829,0.66541,,0.59008,,0.63131,,0.64976,,0.71392,,0.6166,,0.62119,,0.4741,44.28176,0.48122,20.81689
0.6802,,0.66522,,-0.19904,66.95807,0.67377,,0.69226,,0.62546,,0.65712,,0.66372,,0.75635,,-0.19887,-121.79414,0.09302,-26.22813,0.70102,,0.62566,,0.67398,,0.69247,,0.75655,165.12313,0.65728,,0.6639,49.84146,0.49549,96.0181,0.50262,-6.83531
0.71583,70.0529,0.70084,,-0.18479,,0.70944,,0.72794,117.67427,0.66815,,0.69278,,0.69938,,0.79199,307.05073,-0.18462,,0.11439,56.83381,0.74369,170.16932,0.66833,,0.70962,,0.72814,376.43502,0.79219,239.8964,0.69294,,0.69956,116.62406,0.51685,0.39183,0.52398,20.32615
0.75846,118.58958,0.74351,130.83197,-0.17056,-16.57263,0.75212,,0.77064,122.75115,0.70378,,0.73351,288.4976,0.74206,12.36673,0.83464,,-0.17038,140.4741,0.13575,-13.13438,0.77927,195.56214,0.70396,,0.75229,,0.77084,84.39197,0.83484,375.05894,0.73367,218.67318,0.74225,97.25437,0.54524,76.11219,0.55236,-55.8218
0.7941,51.56214,0.7791,131.92907,-0.15632,,0.78777,,0.8063,104.87053,0.74646,192.38638,0.76918,389.73975,0.77772,-18.91222,0.87028,,-0.15615,-117.5819,0.15711,36.21129,0.82191,45.04996,0.74662,405.21258,0.78794,,0.80649,-21.76917,0.87047,206.03974,0.76934,168.84399,0.77791,343.48633,0.5666,71.06841,0.57373,-24.69336
0.83676,127.52483,0.82172,225.59368,-0.14208,,0.83041,,0.84902,91.70057,0.78206,47.44085,0.8099,277.10418,0.82037,27.81771,0.91292,,-0.14191,105.56441,0.18553,52.19795,0.85755,258.64315,0.78223,252.715,0.83058,,0.8492,,0.91312,202.89984,0.81006,293.89311,0.82056,22.15147,0.58796,,0.59509,
