S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
1.0069,0.00899,1.00672,0.00811,-0.97076,0.00315,0.97728,-0.00553,1.09588,-0.00314,0.74757,0.00596,0.92818,0.00171,1.075,0.01535,1.04965,3.27E-05,-0.9563,-0.00407,1.11046,-0.01591,1.11016,-5.11E-04,0.7547,0.00586,1.06484,0.007,1.14133,-0.00126,1.06411,0.00477,1.05462,0.00904,1.17856,-0.00626
1.04969,0.0371,1.04944,0.00477,-0.95649,-0.00535,1.00757,0.00917,1.13868,0.01158,0.76892,0.0048,0.98723,-0.00215,1.1178,0.00317,1.09597,-0.00586,-0.94204,-0.00391,1.15325,0.00828,1.15297,-0.00265,0.77605,0.00889,1.11119,0.01793,1.18765,0.0047,1.11045,0.00269,1.0974,0.00664,1.22134,0.00363
1.09602,-0.00373,1.09572,-8.51E-04,-0.94223,0.00647,1.05038,0.00461,1.185,0.00699,0.79382,0.00319,1.04019,0.00117,1.16412,0.00195,1.13878,0.00187,-0.89126,-0.00387,1.19955,-0.01483,1.19931,0.00138,0.80095,0.01107,1.15398,-0.00705,1.23044,0.01018,1.15322,0.0122,1.14369,6.30E-04,1.26763,0.01158
1.13878,,1.13851,-5.85E-04,-0.92795,0.01147,1.09672,-0.01568,1.2278,-0.00759,0.81517,0.00311,1.08296,0.00135,1.20686,0.01345,1.18507,0.02191,-0.87701,-0.00996,1.24234,-0.00255,1.24209,0.01604,0.8223,0.00637,1.20032,-0.0115,1.27672,0.00293,1.1995,-0.01775,1.18647,-0.01871,1.31038,0.00866
1.18509,0.00458,1.18484,0.00918,-0.89146,0.00219,1.13954,0.00146,1.2741,0.01183,0.83655,-0.00533,1.12927,-0.00301,1.25317,-0.0132,1.22782,0.01143,-0.86273,0.00129,1.28867,0.00257,1.379,0.00511,0.84368,-0.00882,1.24311,0.00478,1.34462,-0.00863,1.24228,0.01232,1.23275,0.00402,1.35662,0.00475
1.22788,-0.00627,1.22764,-0.01671,-0.87721,8.80E-04,1.18587,0.01856,1.31684,0.00977,0.85791,0.00102,1.17205,-1.39E-04,1.29593,0.00811,1.27414,0.00398,-0.84848,-0.00124,1.33145,0.00862,1.41459,0.01281,0.86502,0.00436,1.30921,-0.0039,1.38025,-0.00476,1.2886,0.00146,1.27552,0.01753,1.39934,-0.00679
1.2742,-3.21E-04,1.27396,-0.01021,-0.86294,0.00125,1.22866,0.01048,1.35624,2.21E-04,0.88278,0.00334,1.21833,0.00613,1.3422,-0.00815,1.31694,0.00357,-0.83419,-0.00153,1.38308,-0.00471,1.45369,-0.01025,0.88991,0.0063,1.36419,-0.00916,1.41949,0.00316,1.35771,0.02271,1.33362,-8.27E-04,1.44567,0.00354
1.317,0.02491,1.37884,-0.00544,-0.84869,0.00528,1.275,-0.01363,1.3919,0.0059,0.90413,0.00994,1.2611,0.00863,1.38488,0.00383,1.35753,0.0061,-0.81991,0.00668,1.41868,-0.00264,1.48934,-0.01373,0.91127,0.00349,1.39985,-0.00683,1.45508,0.00251,1.39333,0.00502,1.36922,0.00901,1.48845,0.01019
1.38292,0.00265,1.41443,0.00385,-0.8344,-0.0206,1.30904,-0.01001,1.43111,0.01676,0.92551,-0.0077,1.30742,-0.00931,1.43122,-0.00101,1.39316,0.00272,-0.80208,-0.0024,1.4578,-0.0039,1.52854,0.00836,0.93264,-0.00194,1.43906,0.00107,1.49424,0.00495,1.43242,-0.00651,1.42009,-0.00891,1.53472,0.00827
1.4185,0.00664,1.45353,0.01002,-0.8201,-0.0035,1.36402,0.00191,1.46671,-0.01631,0.94686,-0.00674,1.33347,0.0102,1.47396,0.01387,1.43225,0.01177,-0.78781,0.00165,1.49343,0.00889,1.56419,-0.00846,0.95399,-0.00825,1.47472,0.02839,1.52986,-0.00995,1.468,0.01736,1.45569,-0.0187,1.57744,-0.01188
