S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.49946,-21.56619,0.52723,2.64017,-1.15844,-8.13447,0.49273,28.53035,0.52811,-6.47322,0.45918,-4.60648,0.44337,-15.9667,0.56806,-22.96376,0.5501,22.90442,-1.15825,0.58504,0.57449,5.97537,0.56659,-11.43277,0.46632,-15.5461,0.52856,-1.58876,0.56767,15.35327,0.55029,16.47765,0.51837,5.4501,0.643,3.3963
0.53512,-11.80854,0.5664,14.23825,-1.14065,-12.64807,0.52838,-14.19476,0.57931,-3.98639,0.48056,-6.08544,0.47899,7.56007,0.60369,,0.58575,15.72146,-1.14046,5.30838,0.61014,32.61957,0.60221,,0.4877,30.27448,0.56771,-13.40109,0.60326,-22.66846,0.58594,3.09274,0.55405,1.02803,0.67859,-21.59402
0.57429,2.92198,0.60204,-49.58928,-1.12638,-1.73516,0.56753,-1.30132,0.6149,16.25939,0.50192,-4.53687,0.51819,10.1011,0.64279,14.06125,0.62495,,-1.12619,18.28952,0.64929,20.90518,0.64137,-5.28698,0.50906,15.33372,0.60334,,0.6545,-4.94203,0.62514,5.83627,0.59331,-21.54714,0.71773,17.06438
0.60994,-6.87847,0.64118,-10.27493,-1.11214,-18.56043,0.60317,,0.66611,3.27269,0.52686,-2.40986,0.55388,2.1845,0.67838,-5.02323,0.66054,-16.04245,-1.11194,10.50079,0.68497,-24.33417,0.67696,-4.15991,0.534,30.54631,0.6425,-30.43909,0.69012,6.11767,0.66074,-11.0209,0.62891,,0.75333,-0.27514
0.6491,-22.6644,0.67679,1.02224,-1.09789,1.8606,0.64233,4.38771,0.70174,23.69637,0.54823,-21.74191,0.59311,,0.71752,0.74901,0.69971,11.93469,-1.0977,-17.31316,0.72416,18.75236,0.71612,-6.55504,0.55537,10.19522,0.67815,-5.30569,0.7413,1.07088,0.69988,-2.87667,0.66813,-1.71964,0.7925,9.17533
0.68477,1.17568,0.71596,17.22939,-1.08365,-13.22376,0.67797,33.22037,0.75292,-12.41417,0.56962,16.90113,0.62876,,0.75313,6.2066,0.73531,8.34025,-1.08346,-17.48312,0.75979,-29.73833,0.75174,,0.57676,-18.2689,0.7173,-8.85644,0.77691,-22.20906,0.7355,-15.52532,0.70377,-7.97367,0.82811,-8.16104
0.72396,-11.2799,0.75157,21.79069,-1.06941,15.10301,0.71714,20.86149,0.78853,11.60434,0.59098,18.64922,0.66795,-19.29219,0.79229,-20.74422,0.77448,0.65667,-1.0692,14.15909,0.79897,-6.30922,0.79089,-3.92908,0.59809,-5.65859,0.75297,3.41944,0.8281,-23.67677,0.77468,1.03737,0.74299,7.80699,0.86721,22.78918
0.75959,1.02993,0.79073,-15.10773,-1.05161,9.46765,0.75279,16.61619,0.83972,28.37232,0.61587,-3.48619,0.7036,-10.98595,0.82791,-7.93432,0.81014,-22.30094,-1.05141,-11.25456,0.83462,-1.72117,0.82649,-8.24757,0.62299,,0.79212,-23.86794,0.86568,29.792,0.81032,29.84039,0.77863,-1.08758,0.90284,-12.32574
0.79877,-2.9595,0.82633,-25.78756,-1.03736,15.03787,0.79194,5.51773,0.8773,-22.46898,0.63719,,0.74282,7.68399,0.867,-5.51643,0.84935,-49.39429,-1.03716,12.6058,0.87376,35.06729,0.86565,-21.50937,0.64431,21.25217,0.82779,4.69986,0.91491,42.30792,0.84953,-24.00447,0.81784,13.07965,0.94201,2.9238
0.83443,-1.36494,0.86547,-22.48115,-1.02311,-9.295,0.8276,-11.23694,0.92653,-7.37486,0.65855,-48.90228,0.77847,17.03967,0.90263,6.76189,0.88497,6.64413,-1.02291,-0.91109,0.90942,-9.24757,0.90126,41.12151,0.66568,-10.02131,0.86696,-3.24092,0.95056,-29.2208,0.88516,-36.09133,0.85351,-2.52269,1.00041,2.38405
0.87356,-8.64677,0.90111,-24.8079,-1.00883,5.63471,0.86679,2.59492,0.96218,-1.25513,0.67991,-0.68192,0.81766,-0.14031,0.94181,-2.04922,0.9242,10.06843,-0.99909,-0.72075,0.94854,13.62287,0.94044,-47.46685,0.68704,5.30191,0.90262,-6.77806,1.00938,7.67094,0.9244,5.88109,0.8927,27.51683,1.04316,-10.6908
0.90922,11.06222,0.94025,-14.33325,-0.99928,-52.67643,0.90243,21.84458,1.00672,-33.22497,0.70483,6.0403,0.85333,23.4187,0.98595,-9.88514,0.95986,15.18512,-0.98481,-18.996,1.02135,19.69539,1.02112,-16.90067,0.71196,-13.91643,0.94181,0.57976,1.0522,-10.5906,0.96006,-24.70171,0.92836,-25.37971,1.08949,-6.37656
