S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.63756,0.01277,0.62252,,-0.21328,,0.63111,,0.64958,0.01716,0.58992,,0.6164,,0.62101,,0.71373,,-0.2131,,0.06463,0.00496,0.66541,0.01962,0.59008,0.01151,0.63131,,0.64976,,0.71392,,0.6166,,0.62119,-0.00311,0.4741,,0.48122,0.00343
0.6802,,0.66522,,-0.19904,,0.67377,,0.69226,,0.62546,-0.01016,0.65712,0.05011,0.66372,0.00228,0.75635,,-0.19887,-0.00538,0.09302,-0.00507,0.70102,0.02163,0.62566,0.00937,0.67398,,0.69247,,0.75655,,0.65728,0.02777,0.6639,0.00933,0.49549,0.01172,0.50262,0.00633
0.71583,0.00877,0.70084,,-0.18479,-0.0349,0.70944,,0.72794,0.02272,0.66815,,0.69278,0.05251,0.69938,0.00223,0.79199,,-0.18462,,0.11439,0.0076,0.74369,0.02464,0.66833,0.04466,0.70962,,0.72814,,0.79219,,0.69294,,0.69956,,0.51685,0.0022,0.52398,0.00619
0.75846,,0.74351,,-0.17056,,0.75212,,0.77064,,0.70378,0.01709,0.73351,0.05823,0.74206,0.00233,0.83464,,-0.17038,,0.13575,-0.0028,0.77927,,0.70396,0.05599,0.75229,,0.77084,,0.83484,,0.73367,0.02676,0.74225,,0.54524,0.01575,0.55236,-8.79E-05
0.7941,,0.7791,,-0.15632,,0.78777,,0.8063,0.02421,0.74646,,0.76918,,0.77772,-9.30E-04,0.87028,,-0.15615,,0.15711,0.00668,0.82191,,0.74662,0.06222,0.78794,,0.80649,,0.87047,,0.76934,0.02103,0.77791,,0.5666,,0.57373,0.00862
0.83676,0.01492,0.82172,,-0.14208,,0.83041,,0.84902,0.02376,0.78206,,0.8099,0.04651,0.82037,,0.91292,,-0.14191,0.00686,0.18553,0.01073,0.85755,,0.78223,0.07027,0.83058,,0.8492,,0.91312,,0.81006,0.03383,0.82056,,0.58796,,0.59509,
0.8724,,0.85736,,-0.12081,,0.86605,,0.88469,0.03117,0.82473,0.02358,0.84558,0.04849,0.85601,,0.94856,2.36E-04,-0.12064,,0.20691,-0.00462,0.90022,0.02526,0.82491,0.06978,0.86623,,0.88488,,0.94875,0.02659,0.84574,0.01419,0.85619,,0.60932,,0.61644,
0.91507,,0.90003,,-0.10657,,0.90869,,0.92742,0.04081,0.86036,,0.88627,,0.89866,,1.00681,2.36E-04,-0.1064,,0.2283,-0.00751,0.93578,0.01379,0.86053,0.05839,0.90887,,0.92758,,1.02126,0.02605,0.88644,0.03836,0.89884,,0.63767,,0.64478,
0.95073,,0.9356,,-0.09234,,0.94436,,0.96304,0.04513,0.90302,,0.92193,,0.93425,,1.04956,-0.00309,-0.09216,,0.24968,0.00341,1.02119,0.0344,0.90319,0.08114,0.94454,,0.96324,,1.06404,0.04017,0.92211,0.01094,0.93443,,0.659,,0.66612,
1.00676,0.01085,0.97824,0.04273,-0.0781,-0.01731,1.01458,0.00433,1.00683,0.026,0.93861,0.02716,0.96266,0.06515,0.99479,0.01625,1.0994,-0.00815,-0.07793,,0.28872,-0.00973,1.06388,0.04836,0.93877,0.09252,1.029,0.06187,1.02123,0.00567,1.11385,0.03114,0.96282,0.03547,1.00922,0.045,0.68038,,0.6875,
1.04949,0.02353,1.00678,0.06295,-0.06387,,1.05734,,1.04953,0.03196,0.98123,0.02544,1.00693,0.08599,1.03751,0.00121,1.14216,-0.00251,-0.0637,,0.3244,0.01484,1.11361,0.04076,1.02123,0.08322,1.07176,0.06489,1.06391,,1.15661,0.04199,1.02138,0.06124,1.05196,0.02994,0.70174,,0.70885,
