S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.60994,,0.64118,,-1.11214,0.45245,0.60317,,0.66611,,0.52686,-3.56687,0.55388,,0.67838,,0.66054,,-1.11194,1.70306,0.68497,,0.67696,,0.534,11.47021,0.6425,,0.69012,,0.66074,,0.62891,,0.75333,3.70086
0.6491,,0.67679,,-1.09789,6.09237,0.64233,,0.70174,,0.54823,,0.59311,,0.71752,1.50654,0.69971,,-1.0977,2.93796,0.72416,23.8169,0.71612,26.27348,0.55537,,0.67815,,0.7413,-7.06937,0.69988,,0.66813,,0.7925,9.76858
0.68477,,0.71596,1.24906,-1.08365,13.35399,0.67797,,0.75292,-9.45525,0.56962,,0.62876,,0.75313,-1.94555,0.73531,1.51305,-1.08346,-9.13536,0.75979,-4.65887,0.75174,21.43156,0.57676,,0.7173,2.89274,0.77691,9.90866,0.7355,7.06347,0.70377,,0.82811,10.81504
0.72396,-6.17568,0.75157,4.74483,-1.06941,-2.8587,0.71714,0.67126,0.78853,-2.92248,0.59098,,0.66795,,0.79229,20.21892,0.77448,4.36765,-1.0692,-22.80577,0.79897,-3.55125,0.79089,14.1409,0.59809,,0.75297,3.14851,0.8281,31.65097,0.77468,3.15562,0.74299,22.40611,0.86721,23.86843
0.75959,10.31048,0.79073,-22.42412,-1.05161,-2.65077,0.75279,0.14256,0.83972,2.02571,0.61587,,0.7036,,0.82791,-6.99288,0.81014,-2.63741,-1.05141,-6.47961,0.83462,6.82138,0.82649,29.65846,0.62299,,0.79212,0.15852,0.86568,15.0702,0.81032,4.38116,0.77863,16.33365,0.90284,-10.28992
0.79877,6.24006,0.82633,-1.5449,-1.03736,10.09982,0.79194,7.79454,0.8773,-5.71685,0.63719,,0.74282,8.79444,0.867,7.15127,0.84935,-6.11247,-1.03716,-2.04459,0.87376,-0.30862,0.86565,7.2071,0.64431,,0.82779,-5.85029,0.91491,26.17074,0.84953,-3.48978,0.81784,9.04014,0.94201,29.14499
0.83443,-5.28219,0.86547,8.54386,-1.02311,-5.9648,0.8276,16.0921,0.92653,0.12592,0.65855,,0.77847,-5.79619,0.90263,-1.78964,0.88497,-18.53367,-1.02291,2.76994,0.90942,5.16821,0.90126,15.52774,0.66568,,0.86696,6.11955,0.95056,6.98718,0.88516,11.72355,0.85351,24.60563,1.00041,33.60787
0.87356,-2.82322,0.90111,0.98612,-1.00883,-5.32862,0.86679,7.98502,0.96218,7.39808,0.67991,,0.81766,22.31821,0.94181,14.42754,0.9242,-36.23308,-0.99909,13.04565,0.94854,10.54169,0.94044,47.71768,0.68704,,0.90262,7.79343,1.00938,10.98816,0.9244,-0.23404,0.8927,27.90704,1.04316,23.80895
0.90922,-5.71463,0.94025,-3.63606,-0.99928,0.92889,0.90243,-11.36961,1.00672,-20.79261,0.70483,,0.85333,14.23336,0.98595,3.74418,0.95986,30.52967,-0.98481,11.77373,1.02135,15.09503,1.02112,29.13962,0.71196,5.68639,0.94181,-8.50944,1.0522,9.46377,0.96006,-8.09405,0.92836,6.09559,1.08949,16.78375
0.94838,-18.67764,0.97589,12.14585,-0.98501,-11.64935,0.94162,11.58772,1.04954,1.75167,0.72618,-13.28458,0.89252,2.60842,1.0287,12.18504,1.00684,-9.78727,-0.97057,-0.88761,1.06413,3.09693,1.06388,36.46851,0.73332,-7.96986,1.02203,4.3882,1.09853,2.944,1.02131,-17.78942,1.00166,16.14557,1.13229,21.9928
1.0069,16.23498,1.00672,2.58076,-0.97076,11.26773,0.97728,-9.84796,1.09588,-1.13754,0.74757,-6.64387,0.92818,-8.53088,1.075,-1.18708,1.04965,-27.43869,-0.9563,-11.70479,1.11046,-0.9341,1.11016,46.02611,0.7547,10.11461,1.06484,24.38402,1.14133,-0.3234,1.06411,18.88165,1.05462,23.17365,1.17856,-2.05691
1.04969,-0.55641,1.04944,18.78508,-0.95649,-7.72736,1.00757,-5.6334,1.13868,-14.68561,0.76892,1.35053,0.98723,-7.47694,1.1178,16.95766,1.09597,12.49453,-0.94204,-13.80456,1.15325,5.58188,1.15297,16.44901,0.77605,20.27378,1.11119,9.93999,1.18765,23.50238,1.11045,2.23737,1.0974,5.06558,1.22134,14.05244
1.09602,-10.23341,1.09572,0.03927,-0.94223,1.79985,1.05038,-13.09373,1.185,12.96572,0.79382,6.75051,1.04019,1.38117,1.16412,18.80703,1.13878,-7.03185,-0.89126,9.5021,1.19955,-8.05391,1.19931,55.02382,0.80095,28.19033,1.15398,6.40277,1.23044,-10.47287,1.15322,17.65983,1.14369,11.45782,1.26763,24.98705
1.13878,-5.69204,1.13851,27.3327,-0.92795,-0.68355,1.09672,-1.76802,1.2278,-4.74556,0.81517,12.51363,1.08296,-19.61259,1.20686,-1.67212,1.18507,3.0276,-0.87701,-7.94901,1.24234,2.47571,1.24209,25.40677,0.8223,-6.80549,1.20032,26.55552,1.27672,-9.60575,1.1995,-21.66791,1.18647,-12.77929,1.31038,24.71373
1.18509,7.76653,1.18484,1.97132,-0.89146,-11.24004,1.13954,0.07887,1.2741,-17.56276,0.83655,-11.58883,1.12927,-5.73756,1.25317,-18.57502,1.22782,-3.66661,-0.86273,8.89058,1.28867,-9.74502,1.379,19.85554,0.84368,-4.58334,1.24311,-13.94899,1.34462,-6.682,1.24228,-4.58535,1.23275,-10.9463,1.35662,5.10708
1.22788,-0.61033,1.22764,7.798,-0.87721,4.76858,1.18587,4.52623,1.31684,6.07375,0.85791,-2.80136,1.17205,-0.91743,1.29593,3.45169,1.27414,-13.61196,-0.84848,-2.44708,1.33145,-6.64699,1.41459,17.42905,0.86502,-3.39898,1.30921,-0.4554,1.38025,8.05353,1.2886,10.66147,1.27552,26.78191,1.39934,5.09479
1.2742,-11.8159,1.27396,-22.12573,-0.86294,7.30527,1.22866,-1.47272,1.35624,-7.33876,0.88278,34.3045,1.21833,26.07771,1.3422,0.5123,1.31694,-8.59783,-0.83419,9.29642,1.38308,-9.71118,1.45369,0.88025,0.88991,8.04925,1.36419,6.82454,1.41949,-2.86911,1.35771,1.58037,1.33362,13.21356,1.44567,2.01914
1.317,2.42108,1.37884,-4.57371,-0.84869,4.38998,1.275,-10.93476,1.3919,16.6704,0.90413,-18.13324,1.2611,-9.47476,1.38488,-2.27412,1.35753,-5.62916,-0.81991,3.16657,1.41868,9.60427,1.48934,1.12191,0.91127,2.66599,1.39985,3.53121,1.45508,9.19949,1.39333,-7.48536,1.36922,4.35709,1.48845,0.14355
1.38292,3.73108,1.41443,-5.45436,-0.8344,2.66904,1.30904,-7.80983,1.43111,7.7163,0.92551,-4.86681,1.30742,0.14269,1.43122,10.66639,1.39316,-8.69415,-0.80208,-7.92406,1.4578,-1.91479,1.52854,11.65508,0.93264,32.13125,1.43906,16.43751,1.49424,-4.61829,1.43242,4.16625,1.42009,-1.35693,1.53472,
1.4185,-0.38684,1.45353,-7.76914,-0.8201,0.80701,1.36402,-0.29629,1.46671,-2.635,0.94686,-17.92064,1.33347,7.29496,1.47396,-11.72042,1.43225,-2.02689,-0.78781,-1.21015,1.49343,-2.24543,1.56419,,0.95399,12.7673,1.47472,2.33115,1.52986,,1.468,3.84377,1.45569,10.76726,1.57744,
